,system,class
171,An-26 transport aircraft,Aircraft
334,Il-22 airborne command post,Aircraft
335,Il-76 transport aircraft,Aircraft
458,MiG-29 fighter aircraft,Aircraft
459,MiG-31BM fighter aircraft,Aircraft
617,Su-24M strike aircraft,Aircraft
618,Su-24M/MR strike/tactical reconnaissance aircraft,Aircraft
619,Su-24MR tactical reconnaissance aircraft,Aircraft
621,Su-25 close air support aircraft,Aircraft
623,Su-27 fighter aircraft,Aircraft
624,Su-27 multirole aircraft,Aircraft
625,Su-30SM multirole aircraft,Aircraft
626,Su-34 strike aircraft,Aircraft
627,Su-34M strike aircraft,Aircraft
628,Su-35S multirole aircraft,Aircraft
689,Tu-22M3 strategic bomber,Aircraft
690,Tu-95MS strategic bomber,Aircraft
724,Unknown fighter/strike aircraft,Aircraft
736,Unknown Su-30/Su-34/Su-35,Aircraft
94,23mm 23 ItK 61,Anti-Aircraft Guns
95,23mm ZU-23,Anti-Aircraft Guns
96,23mm ZU-23-2,Anti-Aircraft Guns
102,2S1 with ZU-23 AA gun,Armoured Fighting Vehicles
211,BMM-4C Ambulance,Armoured Fighting Vehicles
212,BMM-70 Ambulance,Armoured Fighting Vehicles
213,BMM-80 ambulance,Armoured Fighting Vehicles
229,BMPT Terminator,Armoured Fighting Vehicles
238,BRDM-2,Armoured Fighting Vehicles
240,BRDM-2-based ZS-82 PsyOps vehicle,Armoured Fighting Vehicles
241,BRDM-2L1,Armoured Fighting Vehicles
242,BRDM-2RKhb chemical reconnaissance vehicle,Armoured Fighting Vehicles
252,BRM-1(K) reconnaissance vehicle,Armoured Fighting Vehicles
254,BRM-1K Obr. 2021,Armoured Fighting Vehicles
255,BRM-1K reconnaissance vehicle,Armoured Fighting Vehicles
272,BTR-80-based ZS-88 PsyOps vehicle,Armoured Fighting Vehicles
275,BTR-D,Armoured Fighting Vehicles
286,BTS-4 ARV with ZU-23 AA gun,Armoured Fighting Vehicles
317,GAZ-3344-20 'Aleut' articulated tracked carrier,Armoured Fighting Vehicles
468,MT-LB,Armoured Fighting Vehicles
471,MT-LB with 14.5mm 2M-7 naval gun mount,Armoured Fighting Vehicles
474,MT-LB with BPU-1 turret,Armoured Fighting Vehicles
475,MT-LB with ZU-23 AA gun,Armoured Fighting Vehicles
477,MT-LB-S Ambulance,Armoured Fighting Vehicles
479,MT-LBu,Armoured Fighting Vehicles
481,MT-LBVM and MT-LBVMK,Armoured Fighting Vehicles
482,MT-T multi-purpose tracked transporter,Armoured Fighting Vehicles
713,Unknown AFV,Armoured Fighting Vehicles
719,Unknown BTR-D/BMD-2,Armoured Fighting Vehicles
779,Vepr,Armoured Fighting Vehicles
780,Vityaz DT-10PM articulated tracked carrier,Armoured Fighting Vehicles
781,Vityaz DT-30 articulated tracked carrier,Armoured Fighting Vehicles
258,BTR-60PB,Armoured Personnel Carriers
263,BTR-7,Armoured Personnel Carriers
264,BTR-70,Armoured Personnel Carriers
267,BTR-70M,Armoured Personnel Carriers
269,BTR-80,Armoured Personnel Carriers
273,BTR-80M,Armoured Personnel Carriers
277,BTR-D,Armoured Personnel Carriers
279,BTR-MDM 'Rakushka',Armoured Personnel Carriers
280,BTR-MDM Rakushka,Armoured Personnel Carriers
311,FV103 Spartan,Armoured Personnel Carriers
330,GT-MU AFV converted to APC,Armoured Personnel Carriers
422,M113,Armoured Personnel Carriers
424,M113AS4,Armoured Personnel Carriers
425,M113G3DK/G4DK,Armoured Personnel Carriers
432,Mara-2M,Armoured Personnel Carriers
591,Remdiesel Z-STS Akhmat,Armoured Personnel Carriers
604,Sisu XA-185,Armoured Personnel Carriers
717,Unknown BTR,Armoured Personnel Carriers
718,Unknown BTR-80/BTR-82A,Armoured Personnel Carriers
769,Ural-4320VV,Armoured Personnel Carriers
777,VAB,Armoured Personnel Carriers
784,YPR-765,Armoured Personnel Carriers
44,152mm D-20 gun-howitzer,Artillery Support Vehicles And Equipment
74,1V1003 command and observation vehicle (for 1V198 artillery fire control system),Artillery Support Vehicles And Equipment
75,1V110 BM-21 Grad battery command vehicle,Artillery Support Vehicles And Equipment
76,1V119 artillery fire direction vehicle,Artillery Support Vehicles And Equipment
77,1V13 battery command and forward observer vehicle,Artillery Support Vehicles And Equipment
78,1V13(M) battery fire control center,Artillery Support Vehicles And Equipment
79,1V14 battery command and forward observer vehicle,Artillery Support Vehicles And Equipment
81,1V15 battery command and forward observer vehicle,Artillery Support Vehicles And Equipment
