"","Type","Model","Status","Lost by","Unit","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Damaged","Russia",NA,2023-11-29,"Pokrovsk raion","https://twitter.com/GloOouD/status/1729906105373847841","https://twitter.com/GloOouD/status/1729906105373847841",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"2","Anti-aircraft systems","9K35 'Strela-10'","Destroyed","Russia",NA,2023-11-28,"Pisky","https://i.postimg.cc/44vQFbbF/1023-Strela-10-destr-28-11-23.jpg","https://t.me/lost_warinua/57916","48.061327,37.701844",NA,"Russia","Anti-aircraft systems",48.061327,37.701844
"3","Engineering","BREM-1 armoured recovery vehicle","Abandoned","Russia",NA,2023-10-31,"Vodiane","https://i.postimg.cc/SKWv4Wbb/1026-t72bobr22022-destr-t72b-brem1-mtlb-aband-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940","48.1036599923,37.6239370381","Damaged","Russia","Engineering",48.1036599923,37.6239370381
"4","Engineering","BTS-4A armoured recovery vehicle","Abandoned","Russia",NA,2023-11-18,"Vodiane","https://i.postimg.cc/d1y9QMTL/1024-bts4-aband-18-11-23.jpg",NA,"48.10440113,37.63204809","Cope cage,Damaged,Loitering","Russia","Engineering",48.10440113,37.63204809
"5","Engineering","IMR-2(M) combat engineering vehicle","Abandoned","Russia","39th Separate Motor Rifle Brigade",2023-10-09,"Novomykhailivka","https://i.postimg.cc/FHkWFNbt/1034-imr2-dam-aband-09-10-23.jpg","https://t.me/lost_warinua/52099","47.82515,37.50934","Damaged","Russia","Engineering",47.82515,37.50934
"6","Engineering","UR-77 'Meteorit' mine clearing vehicle","Abandoned","Russia",NA,2023-10-10,"Vodiane","https://i.postimg.cc/LsHhHGmp/1015-brem1-dam-aband-10-10-23.jpg","https://t.me/lost_warinua/52166","48.098028,37.666286","Z,Damaged,Flipped","Russia","Engineering",48.098028,37.666286
"7","Engineering","BREM-1 armoured recovery vehicle","Destroyed","Russia",NA,2023-11-08,"Verkhniotoretske","https://twitter.com/bayraktar_1love/status/1729783853332464119","https://t.me/lost_warinua/56076","48.2345,37.850583","Cope cage,Loitering","Russia","Engineering",48.2345,37.850583
"8","Engineering","IMR-1 combat engineering vehicle","Destroyed","Russia",NA,2023-11-11,"Vodiane","https://i.postimg.cc/TYh4HR88/1007-2x-Destroyed-IMR-2-12-11-23.jpg","https://twitter.com/OSINTua/status/1723747905251467694","48.10885,37.64036",NA,"Russia","Engineering",48.10885,37.64036
"9","Engineering","UR-77 'Meteorit' mine clearing vehicle","Destroyed","Russia","114th Separate Motor Rifle Brigade (DNR)",2023-10-18,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/W1Xf9h6W/1028-ur77-destr-18-10-23.jpg","https://t.me/lost_warinua/54652","48.210451691948435,37.7051226470504","Shattered,Cope cage,Loitering","Russia","Engineering",48.2104516919484,37.7051226470504
"10","Engineering","UR-77 'Meteorit' mine clearing vehicle","Destroyed","Russia",NA,2023-10-11,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/5tmS9XQK/1002-btr80-destr-11-10-23.jpg","https://t.me/lost_warinua/53193","48.209231,37.710366",NA,"Russia","Engineering",48.209231,37.710366
"11","Armoured Fighting Vehicles","BMP-1 or 2","Abandoned","Russia",NA,2023-10-30,"Sieverne","https://i.postimg.cc/d1SSvC9q/1033-unkn-bmp1-2-aband-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940",NA,"Damaged","Russia","Armor",NA,NA
"12","Armoured Fighting Vehicles","BMP-1 or 2","Abandoned","Russia",NA,2023-10-24,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/fW0ms66W/1026-bmp1-dam-aband-24-10-23.jpg","https://t.me/lost_warinua/57030","48.22286043,37.72601312","Damaged","Russia","Armor",48.22286043,37.72601312
