"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","bright_ti4","bright_ti5"
"7412028",49.8744,32.66188,NA,0.42,0.37,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.86,"N",299.32,280.16
"7412031",48.47203,34.96699,NA,0.51,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.2,"N",306.37,286.43
"7412032",48.53288,34.64466,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.89,"N",309.53,282.54
"7412033",48.53339,34.62367,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.31,"N",298.17,282.29
"7412034",48.52658,34.65581,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.23,"N",306.7,284.27
"7412035",48.51995,34.63139,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.98,"N",318.44,284.02
"7412036",48.47465,34.63056,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.51,"N",311.56,285.02
"7412037",47.87564,35.15995,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,8.04,"N",330.59,286.52
"7412038",47.87047,35.16493,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.31,"N",306.22,286.17
"7412039",47.86239,35.14597,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.53,"N",302.09,286.15
"7412040",47.85869,35.14424,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.53,"N",320.43,284.67
"7412042",47.88329,33.3983,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.38,"N",299.22,285.12
"7412043",47.87481,33.44008,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.96,"N",300.67,285.93
"7412044",47.87238,33.45203,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.48,"N",298.5,283.95
"7412045",47.87011,33.44448,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,4.54,"N",327.49,285.02
"7412046",47.87982,33.39672,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.74,"N",299.51,287.42
"7412047",47.87618,33.41463,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.22,"N",307.79,287.78
"7412048",47.86889,33.45047,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,7.02,"N",318.53,287.78
"7412049",47.86783,33.43695,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,4.54,"N",314.29,285
"7412050",47.84242,33.38538,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.04,"N",308.77,286.6
"7412051",47.63368,34.32545,NA,0.5,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.45,"N",296.46,284
"7412052",47.63008,34.32378,NA,0.5,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.44,"N",304.43,284.86
"7412060",44.77199,33.86073,NA,0.55,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.21,"N",304.44,285.71
"7412288",49.8744,32.66188,NA,0.42,0.37,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.86,"N",299.32,280.16
"7412291",48.47203,34.96699,NA,0.51,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.2,"N",306.37,286.43
"7412292",48.53288,34.64466,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.89,"N",309.53,282.54
"7412293",48.53339,34.62367,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.31,"N",298.17,282.29
"7412294",48.52658,34.65581,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.23,"N",306.7,284.27
"7412295",48.51995,34.63139,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.98,"N",318.44,284.02
"7412296",48.47465,34.63056,NA,0.49,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.51,"N",311.56,285.02
"7412297",47.87564,35.15995,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,8.04,"N",330.59,286.52
"7412298",47.87047,35.16493,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.31,"N",306.22,286.17
"7412299",47.86239,35.14597,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.53,"N",302.09,286.15
"7412300",47.85869,35.14424,NA,0.53,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.53,"N",320.43,284.67
"7412302",47.88329,33.3983,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.38,"N",299.22,285.12
"7412303",47.87481,33.44008,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.96,"N",300.67,285.93
"7412304",47.87238,33.45203,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.48,"N",298.5,283.95
"7412305",47.87011,33.44448,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,4.54,"N",327.49,285.02
"7412306",47.87982,33.39672,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.74,"N",299.51,287.42
"7412307",47.87618,33.41463,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.22,"N",307.79,287.78
"7412308",47.86889,33.45047,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,7.02,"N",318.53,287.78
"7412309",47.86783,33.43695,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,4.54,"N",314.29,285
"7412310",47.84242,33.38538,NA,0.46,0.39,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.04,"N",308.77,286.6
"7412311",47.63368,34.32545,NA,0.5,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,0.45,"N",296.46,284
"7412312",47.63008,34.32378,NA,0.5,0.41,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,1.44,"N",304.43,284.86
"7412320",44.77199,33.86073,NA,0.55,0.42,2023-06-01,9,1,NA,"nominal","2.0NRT",NA,2.21,"N",304.44,285.71
"7415273",47.0192,33.36963,NA,0.49,0.48,2023-06-01,956,1,NA,"nominal","2.0NRT",NA,3.02,"D",331.31,299.21
"7415274",47.62672,34.32567,NA,0.43,0.46,2023-06-01,956,1,NA,"nominal","2.0NRT",NA,3.41,"D",333.67,299.47
"7415275",47.87513,35.15924,NA,0.39,0.44,2023-06-01,956,1,NA,"nominal","2.0NRT",NA,8.82,"D",342.33,299.06
"7415280",48.41605,33.37165,NA,0.45,0.47,2023-06-01,956,1,NA,"nominal","2.0NRT",NA,28.39,"D",348.87,310.03
"7415283",49.49204,34.86863,NA,0.55,0.43,2023-06-01,956,1,NA,"nominal","2.0NRT",NA,2.74,"D",336.41,306.02
"7415372",46.34937,32.8036,NA,0.44,0.63,2023-06-01,1136,1,NA,"nominal","2.0NRT",NA,14.12,"D",335.9,300.06
"7415373",46.34921,32.79771,NA,0.44,0.63,2023-06-01,1136,1,NA,"nominal","2.0NRT",NA,14.12,"D",356.42,307.42
"7415374",46.34895,32.803,NA,0.45,0.63,2023-06-01,1136,1,NA,"nominal","2.0NRT",NA,8.11,"D",337.25,300.05
"7415375",46.34882,32.7971,NA,0.44,0.63,2023-06-01,1136,1,NA,"nominal","2.0NRT",NA,26.82,"D",353.28,307.78
"7415376",46.35477,32.80278,NA,0.45,0.63,2023-06-01,1136,1,NA,"nominal","2.0NRT",NA,8.11,"D",332.77,302.37
"7415377",46.569,32.77383,NA,0.44,0.63,2023-06-01,1136,1,NA,"low","2.0NRT",NA,1.81,"D",331.33,301.94
"7415378",46.56853,32.77024,NA,0.44,0.63,2023-06-01,1136,1,NA,"nominal","2.0NRT",NA,1.82,"D",329.78,303.72
"7419562",48.49694,38.80742,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.77,"N",295.45,283.37
"7419563",48.49344,38.80573,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.82,"N",300.13,283.22
"7419564",48.48321,38.78053,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.72,"N",298.53,283.65
"7419565",48.48096,38.7727,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.72,"N",299.26,284.31
"7419566",48.4797,38.77889,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.72,"N",304.23,286.21
"7419567",48.46822,38.75993,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.43,"N",313.08,287.29
"7419568",48.46471,38.75829,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.04,"N",303.86,286.59
"7419569",48.46089,38.77684,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,2.12,"N",315.45,284.2
"7419570",48.4612,38.75664,NA,0.47,0.4,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.04,"N",299.63,285.89
"7419571",48.28711,38.09058,NA,0.45,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.85,"N",300.26,284.16
"7419572",48.22374,38.23729,NA,0.46,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.94,"N",298.65,284.39
"7419573",48.21437,38.24619,NA,0.46,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,2.23,"N",320.73,283.7
"7419574",49.302,31.35181,NA,0.41,0.37,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,2.24,"N",321.08,285.84
"7419575",48.09982,37.92831,NA,0.45,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.27,"N",300.04,284.09
"7419576",48.06057,37.95575,NA,0.45,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.82,"N",312.66,286.62
"7419577",47.97087,37.82618,NA,0.45,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.3,"N",299.52,283.69
"7419578",47.96743,37.82466,NA,0.45,0.39,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.26,"N",296.11,282.99
"7419579",48.53521,34.64528,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.42,"N",306.9,289.47
"7419580",48.533,34.61715,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.91,"N",300.25,286.63
"7419581",48.52699,34.65309,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.94,"N",304.15,287.24
"7419582",48.47398,34.967,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.51,"N",302.29,284.99
"7419583",48.52288,34.657,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.94,"N",306.93,284.95
"7419584",48.47073,34.96574,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,0.51,"N",300.66,284.86
"7419585",48.52565,34.61982,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.12,"N",307.11,286.19
"7419586",48.51982,34.634,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.29,"N",320.29,285.53
"7419587",48.52068,34.62887,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,1.29,"N",304.29,285.97
"7419588",48.47224,34.63162,NA,0.39,0.36,2023-06-01,2350,1,NA,"nominal","2.0NRT",NA,3.35,"N",333.22,288.85
"7419594",47.87926,35.19254,NA,0.4,0.37,2023-06-01,2352,1,NA,"nominal","2.0NRT",NA,0.39,"N",295.16,282.12
"7419595",47.87486,35.15781,NA,0.39,0.37,2023-06-01,2352,1,NA,"nominal","2.0NRT",NA,0.5,"N",304.24,280.84
"7419596",47.87069,35.16169,NA,0.39,0.37,2023-06-01,2352,1,NA,"nominal","2.0NRT",NA,0.5,"N",299.75,278
"7419597",47.86959,35.15463,NA,0.39,0.37,2023-06-01,2352,1,NA,"nominal","2.0NRT",NA,1.09,"N",300.3,281.66
