"","Type","Model","Status","Lost by","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Vergilevka",NA,"https://t.me/gostrikartuzy/241","50.293444,36.528833","Improvised,◇,✕","Russia","Armor",50.293444,36.528833
"2","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Vergilevka",NA,"https://t.me/gostrikartuzy/241","50.293444,36.528833","Turretless,Flipped,Improvised","Russia","Armor",50.293444,36.528833
"3","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Krasne",NA,"https://t.me/lost_warinua/76225","50.311978,36.465578","Cope cage","Russia","Armor",50.311978,36.465578
"4","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Krasne",NA,"https://t.me/lost_warinua/76225","50.311851,36.465534","Cope cage","Russia","Armor",50.311851,36.465534
"5","Engineering","IMR-2(M) combat engineering vehicle","Damaged","Russia",2024-05-11,"Vergilevka",NA,"https://t.me/Centr_omega_NGU/2856","50.293444,36.528833","Cope cage","Russia","Engineering",50.293444,36.528833
"6","Armoured Fighting Vehicles","YPR-765","Destroyed","Ukraine",2024-05-11,"Vovchansk",NA,"https://t.me/lost_warinua/76421","50.304472,36.931944",NA,"Ukraine","Armor",50.304472,36.931944
"7","MLRS","Unknown MRL","Damaged","Ukraine",2024-05-11,"Tsyrkuny",NA,"https://t.me/lost_warinua/76341","50.093937,36.401336",NA,"Ukraine","Artillery",50.093937,36.401336
"8","MLRS","M1152 HMMWV with 128mm RAK-12 MLRS","Destroyed","Ukraine",2024-05-13,"Symynivka",NA,"https://t.me/lost_warinua/76616","50.228944,36.910139",NA,"Ukraine","Artillery",50.228944,36.910139
"9","Self-propelled artillery","155mm 2S22 'Bohdana' 3.0","Destroyed","Ukraine",2024-05-11,"Borshchova",NA,"https://t.me/lost_warinua/76479","50.166603,36.425508","Cope cage","Ukraine","Artillery",50.166603,36.425508
"10","Self-propelled artillery","155mm 2S22 'Bohdana' 3.0","Destroyed","Ukraine",2024-05-10,"Borshchova","https://i.postimg.cc/kD30TkL6/2014-155mm-2-S22-Bohdana-3-0-destr-10-05-24.jpg","https://t.me/lost_warinua/76284","50.160463,36.413223","Loitering","Ukraine","Artillery",50.160463,36.413223
"11","Tanks","T-64BV Zr. 2017","Destroyed","Ukraine",2024-05-11,"Lyptsi",NA,"https://t.me/lost_warinua/76375",NA,NA,"Ukraine","Armor",NA,NA
