"","Type","Model","Status","Lost by","Unit","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Anti-aircraft systems","9A34M/35M TELAR (for 9K35 'Strela-10')","Damaged","Russia",NA,2023-10-27,"Chelburda","https://i.postimg.cc/pLPqmSX0/1054-strela10-destr-27-10-23.jpg","https://t.me/lost_warinua/54554","46.601424,32.953585",NA,"Russia","Anti-aircraft systems",46.601424,32.953585
"2","Anti-aircraft systems","96K6 'Pantsir-S1'","Destroyed","Russia",NA,2023-11-17,"Chaplynka","https://i.postimg.cc/cCM7f15J/1016-pantsir-destr-17-11-23.jpg","https://t.me/SJTF_Odes/2894","46.338667,33.503083",NA,"Russia","Anti-aircraft systems",46.338667,33.503083
"3","Anti-aircraft systems","9A317M TELAR (for 9K317M 'Buk-M3')","Destroyed","Russia",NA,2023-11-29,"Kherson oblast","https://twitter.com/bayraktar_1love/status/1729859704615055612","https://t.me/lost_warinua/57979",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"4","Anti-aircraft systems","9A331 TLAR (for 9K331 'Tor-M1')","Destroyed","Russia",NA,2024-02-22,"Mykhailivka","https://twitter.com/NOELreports/status/1760691588013908096","https://t.me/lost_warinua/66540","46.297885,32.633993",NA,"Russia","Anti-aircraft systems",46.297885,32.633993
"5","Anti-aircraft systems","9A33BM TELAR (for 9K33M3 'Osa-AKM')","Destroyed","Russia","31st Separate Air Assault Brigade",2024-01-14,"Radensk","https://i.postimg.cc/PxSwRqXm/1009-9-A33-BM-OSA-AKM-TELAR-destr-16-01-24.jpg","https://t.me/lost_warinua/62701","46.532509,32.955766",NA,"Russia","Anti-aircraft systems",46.532509,32.955766
"6","Anti-aircraft systems","9A33BM TELAR (for 9K33M3 'Osa-AKM')","Destroyed","Russia",NA,2024-01-06,"Velyki Kopani","https://i.postimg.cc/ZnCNYwmY/1000-9-A33-BM-OSA-AKM-TELAR-destr-06-01-24.jpg","https://t.me/lost_warinua/63543","46.50075,32.961333",NA,"Russia","Anti-aircraft systems",46.50075,32.961333
"7","Anti-aircraft systems","9A33BM TELAR (for 9K33M3 'Osa-AKM')","Destroyed","Russia",NA,2024-01-05,"Nova Zburivka","https://i.postimg.cc/Dz8NvP3K/1009-9-K33-M3-OSA-AKM-destr-08-01-24.jpg","https://t.me/lost_warinua/61754","46.412917,32.420028",NA,"Russia","Anti-aircraft systems",46.412917,32.420028
"8","Anti-aircraft systems","9A33BM TELAR (for 9K33M3 'Osa-AKM')","Destroyed","Russia",NA,2023-12-30,"Radensk","https://twitter.com/NOELreports/status/1741044540050448593","https://t.me/lost_warinua/61218","46.536639,32.940194",NA,"Russia","Anti-aircraft systems",46.536639,32.940194
"9","Anti-aircraft systems","9A34M/35M TELAR (for 9K35 'Strela-10')","Destroyed","Russia",NA,2024-02-22,"Mykhailivka","https://twitter.com/NOELreports/status/1760691588013908096","https://t.me/lost_warinua/66534","46.294954,32.606669",NA,"Russia","Anti-aircraft systems",46.294954,32.606669
"10","Anti-aircraft systems","9A34M/35M TELAR (for 9K35 'Strela-10')","Destroyed","Russia",NA,2024-01-04,"Chelburda","https://i.postimg.cc/JnNJwB4s/1012-9-K35-Strela-10-destr-04-01-24.jpg","https://t.me/lost_warinua/61714","46.589944,32.942722","V","Russia","Anti-aircraft systems",46.589944,32.942722
