"","Type","Model","Status","Lost by","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Armoured fighting vehicles","BMP-1 or 2","Destroyed","Russia",2024-08-24,"Sukhaya","https://i.postimg.cc/BZhPVpch/1003-BMP-1-or-2-destr-24-08-24.jpg","https://t.me/ssternenko/32819","51.454861,34.619083","Turretless,Cope cage,Expanded cabin,Improvised","Russia","Armoured fighting vehicles",51.454861,34.619083
"2","Armoured fighting vehicles","BMP-2M 'Berezhok'","Destroyed","Russia",2024-08-24,"Sukhaya","https://i.postimg.cc/9Frw59Lc/1002-BMP-2-M-Berezhok-destr-24-08-24.jpg","https://t.me/ssternenko/32819","51.454861,34.619083","Cope cage","Russia","Armoured fighting vehicles",51.454861,34.619083
"3","Armoured fighting vehicles","BMP-3","Destroyed","Russia",2024-08-13,"Martynovka","https://i.postimg.cc/Ghwy103y/1034-BMP-3-destr-13-08-24.jpg",NA,"51.264867,35.370483","Turretless","Russia","Armoured fighting vehicles",51.264867,35.370483
"4","Armoured fighting vehicles","BMP-3 688A-sb6-2KP","Destroyed","Russia",2024-08-13,"Martynovka","https://i.postimg.cc/KcgMVcbb/1035-BMP-3-688-A-sb6-2-KP-destr-13-08-24.jpg",NA,"51.264050,35.370500","Turretless","Russia","Armoured fighting vehicles",51.26405,35.3705
"5","Armoured fighting vehicles","BTR-82A(M)","Destroyed","Russia",2024-08-21,"Ozerki","https://i.postimg.cc/ZqQFVWzN/1017-BTR-82-A-M-destr-21-08-24.jpg","https://t.me/lost_warinua/87292","51.036764,35.471903","Cope cage","Russia","Armoured fighting vehicles",51.036764,35.471903
"6","Armoured fighting vehicles","BTR-82A(M)","Destroyed","Russia",2024-08-14,"Cherkasskaya Konopelka","https://i.postimg.cc/5ypKK3rf/1014-BTR-82-A-M-destr-14-08-24.jpg","https://t.me/lost_warinua/86494","51.15064,35.35105",NA,"Russia","Armoured fighting vehicles",51.15064,35.35105
"7","Armoured fighting vehicles","BTR-82AT","Destroyed","Russia",2024-08-19,"Kursk oblast","https://i.postimg.cc/5tpf4h4G/1019-BTR-82-AT-destr-19-08-24.jpg","https://t.me/lost_warinua/87058",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"8","Armoured fighting vehicles","BTR-82AT","Destroyed","Russia",2024-08-17,"Kulbaki","https://i.postimg.cc/633tyMTQ/1007-BTR-82-AT-destr-17-08-24.jpg","https://t.me/lost_warinua/86903","51.218952,34.812160","Cope cage","Russia","Armoured fighting vehicles",51.218952,34.81216
"9","Drones","Orlan-10'","Captured","Russia",2024-08-12,"Kursk oblast","https://i.postimg.cc/G2zzBcM9/1031-Orlan-10-capt-12-08-24.jpg","https://t.me/lost_warinua/86192",NA,NA,"Russia","Drones",NA,NA
"10","Engineering","KrAZ-255 (for PMP floating bridge system)","Abandoned","Russia",2024-08-28,"Budki","https://i.postimg.cc/Nfp4rvFW/1009-Kr-AZ-255-for-PMP-floating-bridge-system-dam-aband-28-08-24.jpg","https://t.me/WarArchive_ua/19435","51.404440,34.556835","Z,Damaged","Russia","Engineering",51.40444,34.556835
