"","system","country","origin","status","url","class","Date"
"1","100mm MT-12 anti-tank gun","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/MGrVpjLq/n2.png","Towed Artillery","03/06/2022"
"2","100mm MT-12 anti-tank gun","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/rwkdKVj0/g5d.png","Towed Artillery","03/06/2022"
"3","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/SKhJwYXP/4703.png","Heavy Mortars","03/06/2022"
"4","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Xv95D8vY/579.png","Heavy Mortars","03/06/2022"
"5","120mm 2B11/2S12A","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/x11CC0NR/550.png","Heavy Mortars","03/06/2022"
"6","120mm 2S9 Nona","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/KcgFMz7v/543.png","Self-Propelled Artillery","03/06/2022"
"7","120mm 2S9 Nona","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/TPknCLcF/55433.jpg ","Self-Propelled Artillery","03/06/2022"
"8","120mm 2S9 Nona","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/bwPz8VWX/6522.jpg","Self-Propelled Artillery","03/06/2022"
"9","122mm 2B17 Tornado-G","Russia","Russia","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/fbsfnMYf/bb3.jpg","Multiple Rocket Launchers","03/06/2022"
"10","122mm 2S1 Gvozdika","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/kG6swKK7/760.png","Self-Propelled Artillery","03/06/2022"
"11","122mm 2S1 Gvozdika","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/MKTfGGmK/334.png","Self-Propelled Artillery","03/06/2022"
"12","122mm 2S1 Gvozdika","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","03/06/2022"
"13","122mm 2S1 Gvozdika","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/43cbmftq/4466.png","Self-Propelled Artillery","03/06/2022"
"14","122mm 2S1 Gvozdika","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/v80csqYp/f67.png","Self-Propelled Artillery","03/06/2022"
"15","122mm 2S1 Gvozdika","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/R0r6NcvQ/5577.png","Self-Propelled Artillery","03/06/2022"
"16","122mm 2S1 Gvozdika","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/qBYJLRq1/63.png ","Self-Propelled Artillery","03/06/2022"
"17","122mm 2S1 Gvozdika","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://postimg.cc/dh3pzgQm","Self-Propelled Artillery","03/06/2022"
"18","122mm BM-21 'Grad'","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/D0J34rK1/v554.png","Multiple Rocket Launchers","03/06/2022"
"19","122mm BM-21 'Grad'","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/xCF0twG5/b6.png","Multiple Rocket Launchers","03/06/2022"
"20","122mm BM-21 'Grad'","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Pf9Tm660/b7.png","Multiple Rocket Launchers","03/06/2022"
"21","122mm BM-21 'Grad'","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/1t68G6Ls/Screenshot-8400.png","Multiple Rocket Launchers","03/06/2022"
"22","122mm BM-21 'Grad'","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/T3WhvbLL/v54.png","Multiple Rocket Launchers","03/06/2022"
"23","122mm BM-21 'Grad'","Russia","Soviet Union","damaged","https://web.archive.org/web/20220306205522/https://i.postimg.cc/s2wR9DPH/768.png","Multiple Rocket Launchers","03/06/2022"
"24","122mm BM-21 'Grad'","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Dz8rx8Cw/54220.jpg","Multiple Rocket Launchers","03/06/2022"
"25","122mm BM-21 'Grad'","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/B65zvHbK/b6.png","Multiple Rocket Launchers","03/06/2022"
"26","122mm BM-21 'Grad'","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/DZ0Q5pHc/6652.png","Multiple Rocket Launchers","03/06/2022"
"27","122mm BM-21 'Grad'","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/BvrV7rWP/v66.png","Multiple Rocket Launchers","03/06/2022"
"28","122mm BM-21 'Grad'","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/x16gjzR1/442.png","Multiple Rocket Launchers","03/06/2022"
"29","122mm BM-21 'Grad'","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/8c0jfFn1/b6.png","Multiple Rocket Launchers","03/06/2022"
"30","122mm D-30 howitzer","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/8cPPbrHy/3dg.jpg","Towed Artillery","03/06/2022"
"31","122mm D-30 howitzer 2A18","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/3wSr3YWv/g66.png","Towed Artillery","03/06/2022"
"32","122mm D-30 howitzer 2A18","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Fs5rrPFD/g66.png","Towed Artillery","03/06/2022"
"33","122mm D-30 howitzer 2A18","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/DzQV61cq/dbb.png","Towed Artillery","03/06/2022"
"34","122mm D-30 howitzer 2A18","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/zXqyhypY/Screenshot-8404.png","Towed Artillery","03/06/2022"
"35","122mm D-30 howitzer 2A18","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/DwP0wn1y/Screenshot-8485.png","Towed Artillery","03/06/2022"
"36","122mm D-30 howitzer 2A18","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://postimg.cc/hzvFw3c2","Towed Artillery","03/06/2022"
"37","152mm 2A65 Msta-B howitzer","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png","Towed Artillery","03/06/2022"
"38","152mm 2A65 Msta-B howitzer","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/05cN22jz/Screenshot-8075.png","Towed Artillery","03/06/2022"
"39","152mm 2A65 Msta-B howitzer","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/2Sv4t0Pb/b90.png","Towed Artillery","03/06/2022"
"40","152mm 2A65 Msta-B howitzer","Russia","Soviet Union","damaged","https://web.archive.org/web/20220306205522/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png","Towed Artillery","03/06/2022"
"41","152mm 2A65 Msta-B howitzer","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/gj9TG17c/Screenshot-8228.png","Towed Artillery","03/06/2022"
