"country","year","month","losses","year_fct","category"
"Russia",2022,2,8,"2022","Artillery"
"Russia",2022,3,136,"2022","Artillery"
"Russia",2022,4,76,"2022","Artillery"
"Russia",2022,5,27,"2022","Artillery"
"Russia",2022,6,37,"2022","Artillery"
"Russia",2022,7,33,"2022","Artillery"
"Russia",2022,8,22,"2022","Artillery"
"Russia",2022,9,104,"2022","Artillery"
"Russia",2022,10,101,"2022","Artillery"
"Russia",2022,11,68,"2022","Artillery"
"Russia",2022,12,30,"2022","Artillery"
"Russia",2023,1,46,"2023","Artillery"
"Russia",2023,2,48,"2023","Artillery"
"Russia",2023,3,48,"2023","Artillery"
"Russia",2023,4,32,"2023","Artillery"
"Russia",2023,5,55,"2023","Artillery"
"Russia",2023,6,65,"2023","Artillery"
"Russia",2023,7,93,"2023","Artillery"
"Russia",2023,8,67,"2023","Artillery"
"Russia",2023,9,69,"2023","Artillery"
"Russia",2023,10,91,"2023","Artillery"
"Russia",2023,11,42,"2023","Artillery"
"Russia",2023,12,54,"2023","Artillery"
"Russia",2024,1,44,"2024","Artillery"
"Russia",2024,2,33,"2024","Artillery"
"Russia",2024,3,46,"2024","Artillery"
"Russia",2024,4,33,"2024","Artillery"
"Russia",2024,5,41,"2024","Artillery"
"Russia",2024,6,43,"2024","Artillery"
"Russia",2024,7,45,"2024","Artillery"
"Russia",2024,8,53,"2024","Artillery"
"Russia",2024,9,33,"2024","Artillery"
"Russia",2024,10,32,"2024","Artillery"
"Russia",2024,11,20,"2024","Artillery"
"Russia",2024,12,16,"2024","Artillery"
"Russia",2025,1,41,"2025","Artillery"
"Russia",2025,2,39,"2025","Artillery"
"Russia",2025,3,30,"2025","Artillery"
"Russia",2025,4,33,"2025","Artillery"
"Russia",2025,5,37,"2025","Artillery"
"Russia",2025,6,24,"2025","Artillery"
"Russia",2025,7,21,"2025","Artillery"
"Russia",2025,8,34,"2025","Artillery"
"Russia",2025,9,32,"2025","Artillery"
"Russia",2025,10,35,"2025","Artillery"
"Russia",2025,11,14,"2025","Artillery"
"Russia",2025,12,13,"2025","Artillery"
"Russia",2026,1,10,"2026","Artillery"
"Russia",2026,2,12,"2026","Artillery"
"Russia",2026,3,35,"2026","Artillery"
"Russia",2026,4,10,"2026","Artillery"
"Russia",2026,5,24,"2026","Artillery"
"Russia",2026,6,0,"2026","Artillery"
"Ukraine",2022,2,5,"2022","Artillery"
"Ukraine",2022,3,47,"2022","Artillery"
"Ukraine",2022,4,15,"2022","Artillery"
"Ukraine",2022,5,18,"2022","Artillery"
"Ukraine",2022,6,10,"2022","Artillery"
"Ukraine",2022,7,17,"2022","Artillery"
"Ukraine",2022,8,16,"2022","Artillery"
"Ukraine",2022,9,7,"2022","Artillery"
"Ukraine",2022,10,31,"2022","Artillery"
"Ukraine",2022,11,29,"2022","Artillery"
"Ukraine",2022,12,23,"2022","Artillery"
"Ukraine",2023,1,31,"2023","Artillery"
"Ukraine",2023,2,24,"2023","Artillery"
"Ukraine",2023,3,31,"2023","Artillery"
"Ukraine",2023,4,20,"2023","Artillery"
"Ukraine",2023,5,28,"2023","Artillery"
"Ukraine",2023,6,16,"2023","Artillery"
"Ukraine",2023,7,34,"2023","Artillery"
"Ukraine",2023,8,38,"2023","Artillery"
"Ukraine",2023,9,14,"2023","Artillery"
"Ukraine",2023,10,24,"2023","Artillery"
"Ukraine",2023,11,19,"2023","Artillery"
"Ukraine",2023,12,24,"2023","Artillery"
"Ukraine",2024,1,19,"2024","Artillery"
"Ukraine",2024,2,22,"2024","Artillery"
"Ukraine",2024,3,28,"2024","Artillery"
"Ukraine",2024,4,26,"2024","Artillery"
"Ukraine",2024,5,36,"2024","Artillery"
"Ukraine",2024,6,17,"2024","Artillery"
"Ukraine",2024,7,27,"2024","Artillery"
"Ukraine",2024,8,19,"2024","Artillery"
"Ukraine",2024,9,18,"2024","Artillery"
"Ukraine",2024,10,22,"2024","Artillery"
"Ukraine",2024,11,13,"2024","Artillery"
"Ukraine",2024,12,10,"2024","Artillery"
"Ukraine",2025,1,19,"2025","Artillery"
"Ukraine",2025,2,20,"2025","Artillery"
"Ukraine",2025,3,35,"2025","Artillery"
"Ukraine",2025,4,34,"2025","Artillery"
"Ukraine",2025,5,31,"2025","Artillery"
"Ukraine",2025,6,28,"2025","Artillery"
"Ukraine",2025,7,25,"2025","Artillery"
"Ukraine",2025,8,15,"2025","Artillery"
"Ukraine",2025,9,38,"2025","Artillery"
"Ukraine",2025,10,32,"2025","Artillery"
"Ukraine",2025,11,40,"2025","Artillery"
"Ukraine",2025,12,43,"2025","Artillery"
"Ukraine",2026,1,15,"2026","Artillery"
"Ukraine",2026,2,33,"2026","Artillery"
"Ukraine",2026,3,41,"2026","Artillery"
"Ukraine",2026,4,35,"2026","Artillery"
"Ukraine",2026,5,36,"2026","Artillery"
"Ukraine",2026,6,0,"2026","Artillery"
