"country","year","month","losses","year_fct","category"
"Russia",2022,2,74,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,3,420,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,4,355,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,5,189,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,6,109,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,7,119,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,8,103,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,9,368,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,10,366,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,11,203,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2022,12,114,"2022","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,1,148,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,2,160,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,3,149,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,4,75,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,5,96,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,6,105,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,7,155,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,8,135,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,9,119,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,10,187,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,11,122,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2023,12,206,"2023","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,1,151,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,2,181,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,3,207,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,4,198,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,5,212,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,6,182,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,7,162,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,8,135,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,9,185,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,10,276,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,11,273,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2024,12,210,"2024","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,1,202,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,2,145,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,3,152,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,4,252,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,5,140,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,6,56,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,7,46,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,8,26,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,9,60,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,10,129,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,11,57,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2025,12,74,"2025","Infantry carriers (IFV+APC+IMV)"
"Russia",2026,1,28,"2026","Infantry carriers (IFV+APC+IMV)"
"Russia",2026,2,15,"2026","Infantry carriers (IFV+APC+IMV)"
"Russia",2026,3,48,"2026","Infantry carriers (IFV+APC+IMV)"
"Russia",2026,4,17,"2026","Infantry carriers (IFV+APC+IMV)"
"Russia",2026,5,18,"2026","Infantry carriers (IFV+APC+IMV)"
"Russia",2026,6,0,"2026","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,2,16,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,3,121,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,4,103,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,5,56,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,6,27,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,7,52,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,8,70,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,9,66,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,10,220,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,11,63,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2022,12,125,"2022","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,1,71,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,2,45,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,3,54,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,4,26,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,5,73,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,6,84,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,7,117,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,8,97,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,9,65,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,10,51,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,11,33,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2023,12,52,"2023","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,1,39,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,2,66,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,3,45,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,4,52,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,5,66,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,6,70,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,7,45,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,8,99,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,9,101,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,10,112,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,11,106,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2024,12,138,"2024","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,1,147,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,2,116,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,3,216,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,4,183,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,5,147,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,6,105,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,7,124,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,8,62,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,9,110,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,10,143,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,11,191,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2025,12,167,"2025","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2026,1,113,"2026","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2026,2,78,"2026","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2026,3,146,"2026","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2026,4,135,"2026","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2026,5,123,"2026","Infantry carriers (IFV+APC+IMV)"
"Ukraine",2026,6,0,"2026","Infantry carriers (IFV+APC+IMV)"
