"year","week","detections","frp","year_fct"
2022,8,14,65.47,"2022"
2022,9,18,38.98,"2022"
2022,10,20,138.33,"2022"
2022,11,188,2286.32,"2022"
2022,12,2776,27577.2,"2022"
2022,13,1366,9868.48000000003,"2022"
2022,14,1001,7261.73,"2022"
2022,15,297,1502.44,"2022"
2022,16,96,172.14,"2022"
2022,17,316,1363.93,"2022"
2022,18,914,4943.67999999999,"2022"
2022,19,1497,7233.44999999999,"2022"
2022,20,316,1686.97,"2022"
2022,21,322,826.94,"2022"
2022,22,322,1198.79,"2022"
2022,23,918,4906.91000000001,"2022"
2022,24,611,3419.62,"2022"
2022,25,717,3664.93,"2022"
2022,26,818,3612.94,"2022"
2022,27,2622,22605.03,"2022"
2022,28,661,4954.19,"2022"
2022,29,630,5580.01,"2022"
2022,30,746,6717.7,"2022"
2022,31,1511,10418.84,"2022"
2022,32,1748,16295.73,"2022"
2022,33,1288,13720.67,"2022"
2022,34,2415,21663.33,"2022"
2022,35,1138,7971.89999999998,"2022"
2022,36,481,2930.63,"2022"
2022,37,202,797.12,"2022"
2022,38,185,740.6,"2022"
2022,39,84,239.88,"2022"
2022,40,93,266.11,"2022"
2022,41,97,298.83,"2022"
2022,42,182,607.23,"2022"
2022,43,15,120.77,"2022"
2022,44,36,104.68,"2022"
2022,45,24,61.41,"2022"
2022,46,66,373.65,"2022"
2022,47,2,2.93,"2022"
2022,48,48,293.12,"2022"
2022,49,103,953.16,"2022"
2022,50,6,5.63,"2022"
2022,51,19,198.76,"2022"
2022,52,13,21.79,"2022"
2023,1,15,40.17,"2023"
2023,2,5,38.63,"2023"
2023,3,11,22.09,"2023"
2023,4,68,369.33,"2023"
2023,5,6,23.31,"2023"
2023,6,35,220.49,"2023"
2023,7,8,18.49,"2023"
2023,8,24,107.19,"2023"
2023,9,79,546.77,"2023"
2023,10,123,902.54,"2023"
2023,11,190,1329.11,"2023"
2023,12,588,4113.94,"2023"
2023,13,95,594.61,"2023"
2023,14,34,94.09,"2023"
2023,15,236,1724.06,"2023"
2023,16,147,897.04,"2023"
2023,17,86,288.2,"2023"
2023,18,179,1068.8,"2023"
2023,19,168,905.87,"2023"
2023,20,294,1153.38,"2023"
2023,21,92,148.14,"2023"
2023,22,125,282.22,"2023"
2023,23,321,1516.56,"2023"
2023,24,122,221.54,"2023"
2023,25,344,1688.68,"2023"
2023,26,130,280.96,"2023"
2023,27,320,1641.3,"2023"
2023,28,193,532.04,"2023"
2023,29,160,472.62,"2023"
2023,30,344,3847.58,"2023"
2023,31,655,5366.11,"2023"
2023,32,1259,9308.45999999999,"2023"
2023,33,1758,14147,"2023"
2023,34,1050,9365.90000000001,"2023"
2023,35,1565,12190.69,"2023"
2023,36,807,5400.19000000001,"2023"
2023,37,497,2814.58,"2023"
2023,38,1173,9892.84,"2023"
2023,39,2544,25222.33,"2023"
2023,40,861,6195.72,"2023"
2023,41,258,1818.89,"2023"
2023,42,344,3091.87,"2023"
2023,43,74,640.26,"2023"
2023,44,217,1680.77,"2023"
2023,45,113,283.72,"2023"
2023,46,48,163.83,"2023"
2023,47,5,21.7,"2023"
2023,48,16,104.36,"2023"
2023,49,8,34.15,"2023"
2023,50,12,19.69,"2023"
2023,51,9,13.37,"2023"
2023,52,22,119.16,"2023"
2024,1,8,27.93,"2024"
2024,2,6,35.59,"2024"
2024,3,19,36.01,"2024"
2024,4,5,21.75,"2024"
2024,5,24,50.99,"2024"
2024,6,6,19.73,"2024"
2024,7,36,200.3,"2024"
2024,8,33,283.6,"2024"
2024,9,1170,11173.67,"2024"
2024,10,760,5931.52,"2024"
2024,11,492,4174.34,"2024"
2024,12,53,744.55,"2024"
2024,13,1536,15530.38,"2024"
2024,14,1971,14664.35,"2024"
2024,15,2355,20321.42,"2024"
2024,16,288,1545.18,"2024"
2024,17,169,873.929999999999,"2024"
2024,18,700,5213.93,"2024"
2024,19,1127,9663.28000000001,"2024"
2024,20,174,540.06,"2024"
2024,21,1346,12425,"2024"
2024,22,1329,18943.25,"2024"
2024,23,461,2882.31,"2024"
2024,24,539,4181.22,"2024"
2024,25,392,1252.36,"2024"
2024,26,576,2002.38,"2024"
2024,27,2045,17943.21,"2024"
2024,28,2687,22407.0100000001,"2024"
2024,29,3507,28530.38,"2024"
2024,30,2268,17781.73,"2024"
2024,31,2072,14475.75,"2024"
2024,32,1013,5100.32000000001,"2024"
2024,33,2142,17812.9,"2024"
2024,34,3388,34044.28,"2024"
2024,35,5474,59763.1000000002,"2024"
2024,36,3731,36057.03,"2024"
2024,37,3034,26089.9,"2024"
2024,38,3590,32184.78,"2024"
2024,39,2752,20903.4099999999,"2024"
2024,40,3972,32214.29,"2024"
2024,41,739,4086.5,"2024"
2024,42,7,12.09,"2024"
2024,43,167,446.42,"2024"
2024,44,143,312.55,"2024"
2024,45,22,102.27,"2024"
2024,46,45,126.13,"2024"
2024,47,40,122.91,"2024"
2024,48,4,15.73,"2024"
2024,50,7,45.06,"2024"
2024,51,43,73.78,"2024"
2024,52,2,7.74,"2024"
2025,1,40,89.87,"2025"
2025,2,29,135.06,"2025"
2025,3,19,50.16,"2025"
2025,4,3,5.96,"2025"
2025,5,18,53.06,"2025"
2025,6,45,299.1,"2025"
2025,7,80,618.8,"2025"
2025,8,32,268.21,"2025"
2025,9,79,597.77,"2025"
2025,10,836,7176.65999999998,"2025"
2025,11,551,5654.89999999999,"2025"
2025,12,432,3536.54,"2025"
2025,13,178,1595.43,"2025"
2025,14,140,937.9,"2025"
2025,15,253,1412.99,"2025"
2025,16,1332,19599.33,"2025"
2025,17,477,2446.98,"2025"
2025,18,885,6406.69999999999,"2025"
2025,19,93,251.43,"2025"
2025,20,136,293.92,"2025"
2025,21,289,828.2,"2025"
2025,22,261,1541.01,"2025"
2025,23,839,5095.34,"2025"
2025,24,337,1297.24,"2025"
2025,25,229,810.07,"2025"
2025,26,256,1374.96,"2025"
2025,27,1165,6280.13,"2025"
2025,28,2134,19917.76,"2025"
2025,29,1511,11131.47,"2025"
2025,30,4184,37297.3500000001,"2025"
2025,31,3595,34611.8,"2025"
2025,32,1330,7997.14999999998,"2025"
2025,33,2345,17638.42,"2025"
2025,34,1818,13685.84,"2025"
2025,35,2389,23157.7500000001,"2025"
2025,36,1135,9768.8,"2025"
2025,37,2055,16867.8100000001,"2025"
2025,38,1214,9068.60000000001,"2025"
2025,39,925,6986.20999999999,"2025"
2025,40,827,8965.98,"2025"
2025,41,74,147.69,"2025"
2025,42,57,216.46,"2025"
2025,43,96,224.41,"2025"
2025,44,97,240.81,"2025"
2025,45,12,31.07,"2025"
2025,46,51,122.5,"2025"
2025,47,54,83.96,"2025"
2025,48,11,29.56,"2025"
2025,49,15,25.56,"2025"
2025,50,14,45.89,"2025"
2025,52,5,18.85,"2025"
2026,1,15,54.7,"2026"
2026,3,3,67.8,"2026"
2026,4,8,19.87,"2026"
2026,5,5,19,"2026"
2026,6,9,48.08,"2026"
2026,7,2,2.69,"2026"
2026,8,16,50.99,"2026"
2026,9,53,103.51,"2026"
2026,10,330,2166.02,"2026"
2026,11,765,5014.09,"2026"
2026,12,211,1382.43,"2026"
2026,13,262,1614.43,"2026"
2026,14,466,4420.38,"2026"
2026,15,156,623.75,"2026"
2026,16,163,562.6,"2026"
2026,17,89,467.17,"2026"
2026,18,561,3021.51,"2026"
2026,19,598,2764.45,"2026"
2026,20,162,454.96,"2026"
2026,21,400,2390.3,"2026"
2026,22,115,244.3,"2026"
