"","system","country","origin","status","url","class","Date"
"1","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://postimg.cc/dh3pzgQm","Self-Propelled Artillery","02/27/2022"
"2","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","02/27/2022"
"3","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/DZ0Q5pHc/6652.png","Multiple Rocket Launchers","02/27/2022"
"4","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/xCF0twG5/b6.png","Multiple Rocket Launchers","02/27/2022"
"5","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/B65zvHbK/b6.png","Multiple Rocket Launchers","02/27/2022"
"6","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/8c0jfFn1/b6.png","Multiple Rocket Launchers","02/27/2022"
"7","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/gj9TG17c/Screenshot-8228.png","Towed Artillery","02/27/2022"
"8","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png","Towed Artillery","02/27/2022"
"9","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/05cN22jz/Screenshot-8075.png","Towed Artillery","02/27/2022"
"10","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/zfBM7CWN/Screenshot-8227.png","Towed Artillery","02/27/2022"
"11","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png","Towed Artillery","02/27/2022"
"12","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://postimg.cc/q6CYJkkd","Towed Artillery","02/27/2022"
"13","1L22 'Parol'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://postimg.cc/9Dcvz02c","Radars","02/27/2022"
"14","1L22 'Parol'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/SRjk0C96/6659.png","Radars","02/27/2022"
"15","2K22M1 Tunguska",NA,"Russia","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/9MqLyHJZ/764.png","Self-Propelled Anti-Aircraft Guns","02/27/2022"
"16","5P85D (launcher for S-300PS)",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/50rg9crH/4488.png","Surface-To-Air Missile Systems","02/27/2022"
"17","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/xChnM7jX/n2.png ","Trucks, Vehicles, and Jeeps","02/27/2022"
