"","system","country","origin","status","url","class","Date"
"1","100mm MT-12 anti-tank gun",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/MGrVpjLq/n2.png","Towed Artillery","03/02/2022"
"2","120mm 2B11/2S12",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/SKhJwYXP/4703.png","Heavy Mortars","03/02/2022"
"3","120mm 2B11/2S12A",NA,"Russia","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/x11CC0NR/550.png","Heavy Mortars","03/02/2022"
"4","120mm 2S9 Nona",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/KcgFMz7v/543.png","Self-Propelled Artillery","03/02/2022"
"5","120mm 2S9 Nona",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/TPknCLcF/55433.jpg ","Self-Propelled Artillery","03/02/2022"
"6","122mm 2B17 Tornado-G",NA,"Russia","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/fbsfnMYf/bb3.jpg","Multiple Rocket Launchers","03/02/2022"
"7","122mm 2S1 Gvozdika",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/R0r6NcvQ/5577.png","Self-Propelled Artillery","03/02/2022"
"8","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/v80csqYp/f67.png","Self-Propelled Artillery","03/02/2022"
"9","122mm 2S1 Gvozdika",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/43cbmftq/4466.png","Self-Propelled Artillery","03/02/2022"
"10","122mm 2S1 Gvozdika",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/MKTfGGmK/334.png","Self-Propelled Artillery","03/02/2022"
"11","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://postimg.cc/dh3pzgQm","Self-Propelled Artillery","03/02/2022"
"12","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","03/02/2022"
"13","122mm BM-21 'Grad'",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/1t68G6Ls/Screenshot-8400.png","Multiple Rocket Launchers","03/02/2022"
"14","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/B65zvHbK/b6.png","Multiple Rocket Launchers","03/02/2022"
"15","122mm BM-21 'Grad'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220302205559/https://i.postimg.cc/s2wR9DPH/768.png","Multiple Rocket Launchers","03/02/2022"
"16","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/DZ0Q5pHc/6652.png","Multiple Rocket Launchers","03/02/2022"
"17","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/8c0jfFn1/b6.png","Multiple Rocket Launchers","03/02/2022"
"18","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/xCF0twG5/b6.png","Multiple Rocket Launchers","03/02/2022"
"19","122mm D-30 howitzer 2A18",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/zXqyhypY/Screenshot-8404.png","Towed Artillery","03/02/2022"
"20","122mm D-30 howitzer 2A18",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/DwP0wn1y/Screenshot-8485.png","Towed Artillery","03/02/2022"
"21","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/05cN22jz/Screenshot-8075.png","Towed Artillery","03/02/2022"
"22","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/zfBM7CWN/Screenshot-8227.png","Towed Artillery","03/02/2022"
"23","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://postimg.cc/q6CYJkkd","Towed Artillery","03/02/2022"
"24","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png","Towed Artillery","03/02/2022"
"25","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/gj9TG17c/Screenshot-8228.png","Towed Artillery","03/02/2022"
"26","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","damaged","https://web.archive.org/web/20220302205559/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png","Towed Artillery","03/02/2022"
"27","152mm 2S19 Msta-S",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/LsDFt0xm/aa3.jpg","Self-Propelled Artillery","03/02/2022"
"28","152mm 2S19 Msta-S",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/SKkpzp7Z/aa2.jpg","Self-Propelled Artillery","03/02/2022"
"29","152mm 2S19 Msta-S",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/Y08W5pnP/557723.png","Self-Propelled Artillery","03/02/2022"
"30","152mm 2S19 Msta-S",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/VkNQR04y/2r.jpg","Self-Propelled Artillery","03/02/2022"
"31","152mm 2S19 Msta-S",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/2Sk1L977/66534.jpg","Self-Propelled Artillery","03/02/2022"
"32","152mm 2S3 Akatsiya",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/zD2FmSBx/j76.png","Self-Propelled Artillery","03/02/2022"
"33","152mm 2S3 Akatsiya",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/sxhcr26w/668.png","Self-Propelled Artillery","03/02/2022"
"34","152mm 2S3 Akatsiya",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220302205559/https://i.postimg.cc/XqKGyZDp/Screenshot-8354.png","Self-Propelled Artillery","03/02/2022"
"35","1L22 'Parol'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220302205559/https://postimg.cc/9Dcvz02c","Radars","03/02/2022"
"36","1L22 'Parol'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220302205559/https://i.postimg.cc/SRjk0C96/6659.png","Radars","03/02/2022"
"37","1V119 artillery battalion fire direction vehicle",NA,"Soviet Union","captured","https://web.archive.org/web/20220302205559/https://i.postimg.cc/tgYSCmW7/g76.png","Armoured Fighting Vehicles","03/02/2022"
