"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"1",66.20071,70.98581,333.67,0.53,0.67,2022-03-14,26,1,"VIIRS","n","2.0NRT",246.37,5.5,"N"
"2",66.9532,75.53798,354.44,0.56,0.69,2022-03-14,26,1,"VIIRS","n","2.0NRT",251.47,17.77,"N"
"3",66.95766,75.53161,333.19,0.56,0.69,2022-03-14,26,1,"VIIRS","n","2.0NRT",249.49,17.77,"N"
"4",66.28103,78.74995,350.74,0.68,0.74,2022-03-14,26,1,"VIIRS","n","2.0NRT",253.61,15.29,"N"
"5",66.83363,77.27277,353.66,0.6,0.7,2022-03-14,26,1,"VIIRS","n","2.0NRT",250.78,22.93,"N"
"6",66.96078,75.54579,347.17,0.56,0.69,2022-03-14,26,1,"VIIRS","n","2.0NRT",252.15,17.77,"N"
"7",66.9563,75.55222,340.12,0.56,0.69,2022-03-14,26,1,"VIIRS","n","2.0NRT",261.02,17.77,"N"
"8",66.57846,77.53372,328.75,0.63,0.72,2022-03-14,26,1,"VIIRS","n","2.0NRT",246.55,4.06,"N"
"9",66.20921,77.23744,367,0.65,0.73,2022-03-14,26,1,"VIIRS","h","2.0NRT",252.03,10.86,"N"
"10",66.19865,77.25124,321.33,0.66,0.73,2022-03-14,26,1,"VIIRS","n","2.0NRT",245.09,9.49,"N"
"11",66.21263,77.24367,339.38,0.65,0.73,2022-03-14,26,1,"VIIRS","n","2.0NRT",245.69,5.16,"N"
"12",66.19896,77.24236,343.36,0.66,0.73,2022-03-14,26,1,"VIIRS","n","2.0NRT",247.52,13.68,"N"
"13",66.20956,77.22872,334.63,0.65,0.73,2022-03-14,26,1,"VIIRS","n","2.0NRT",246.85,5.16,"N"
"14",68.41412,83.62326,320.09,0.56,0.68,2022-03-14,26,1,"VIIRS","n","2.0NRT",229.58,3.49,"N"
"15",66.6638,80.46282,353.13,0.67,0.74,2022-03-14,26,1,"VIIRS","n","2.0NRT",247.3,10.64,"N"
"16",66.28831,78.74896,327.63,0.68,0.74,2022-03-14,26,1,"VIIRS","n","2.0NRT",247.6,14.31,"N"
"17",66.28649,78.74318,334.96,0.68,0.74,2022-03-14,26,1,"VIIRS","n","2.0NRT",249.54,15.29,"N"
"18",66.28277,78.75572,351.9,0.68,0.74,2022-03-14,26,1,"VIIRS","n","2.0NRT",254.68,14.31,"N"
"19",68.57152,80.32211,367,0.5,0.66,2022-03-14,26,1,"VIIRS","h","2.0NRT",241.34,8.54,"N"
"20",66.66937,80.45638,345.29,0.67,0.74,2022-03-14,26,1,"VIIRS","n","2.0NRT",243.53,10.64,"N"
"21",67.82045,80.10572,336.29,0.56,0.69,2022-03-14,26,1,"VIIRS","n","2.0NRT",243.52,3.95,"N"
"22",61.06609,63.94901,320.57,0.77,0.78,2022-03-14,28,1,"VIIRS","n","2.0NRT",250.93,3.06,"N"
"23",62.00136,65.86021,367,0.75,0.77,2022-03-14,28,1,"VIIRS","h","2.0NRT",256.25,13.21,"N"
"24",67.17988,56.63242,327.41,0.53,0.5,2022-03-14,28,1,"VIIRS","n","2.0NRT",256.37,2.47,"N"
"25",68.61708,57.96954,355.21,0.48,0.48,2022-03-14,28,1,"VIIRS","n","2.0NRT",262.57,9.68,"N"
"26",58.68346,17.12778,311.8,0.42,0.45,2022-03-14,33,1,"VIIRS","n","2.0NRT",269.22,4.44,"N"
"27",54.44526,28.39499,317.28,0.41,0.37,2022-03-14,33,1,"VIIRS","n","2.0NRT",266.52,1.29,"N"
"28",54.44198,28.39321,314.71,0.41,0.37,2022-03-14,33,1,"VIIRS","n","2.0NRT",267.55,1.29,"N"
"29",58.36061,12.37711,298.95,0.62,0.54,2022-03-14,33,1,"VIIRS","n","2.0NRT",270.67,1.35,"N"
"30",58.36064,12.38254,297.69,0.62,0.54,2022-03-14,33,1,"VIIRS","n","2.0NRT",270.17,1.59,"N"
"31",57.81828,4.52416,337.16,0.6,0.71,2022-03-14,33,1,"VIIRS","n","2.0NRT",273.09,4.78,"N"
"32",57.06463,9.97351,316.34,0.37,0.58,2022-03-14,33,1,"VIIRS","n","2.0NRT",275.68,2.54,"N"
"33",57.06297,9.97849,319.22,0.37,0.58,2022-03-14,33,1,"VIIRS","n","2.0NRT",278.48,1.71,"N"
"34",57.06451,9.97984,296.5,0.37,0.58,2022-03-14,33,1,"VIIRS","n","2.0NRT",274.04,1.85,"N"
"35",57.06312,9.97217,303.29,0.37,0.58,2022-03-14,33,1,"VIIRS","n","2.0NRT",275.13,1.71,"N"
