"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",65.95471,151.26364,328.09,0.35,0.57,"2023-08-08",20,1,"nominal","2.0NRT",284.02,3.43,"D"
"2",66.02079,151.2919,325.94,0.35,0.56,"2023-08-08",20,1,"nominal","2.0NRT",282.67,3.95,"D"
"3",66.05554,151.30432,331.3,0.34,0.56,"2023-08-08",20,1,"nominal","2.0NRT",284.2,2.83,"D"
"4",66.03926,151.24641,349.34,0.35,0.56,"2023-08-08",20,1,"nominal","2.0NRT",286.6,6.56,"D"
"5",45.79092,29.60479,297.49,0.43,0.46,"2023-08-08",35,1,"nominal","2.0NRT",286.24,0.38,"N"
"6",45.37593,30.92987,342.63,0.51,0.49,"2023-08-08",35,1,"nominal","2.0NRT",293.28,6.18,"N"
"7",45.64505,28.98094,300.61,0.41,0.45,"2023-08-08",35,1,"nominal","2.0NRT",286.43,0.48,"N"
"8",45.64244,28.97806,300.04,0.41,0.45,"2023-08-08",35,1,"nominal","2.0NRT",286.79,0.65,"N"
"9",41.1732,32.62927,304.43,0.4,0.6,"2023-08-08",37,1,"nominal","2.0NRT",290.07,1.13,"N"
"10",41.26546,31.42226,314.81,0.35,0.56,"2023-08-08",37,1,"nominal","2.0NRT",292.93,1.01,"N"
"11",41.26443,31.42616,303.72,0.35,0.56,"2023-08-08",37,1,"nominal","2.0NRT",293.38,1.01,"N"
"12",41.25669,31.4137,307.4,0.35,0.56,"2023-08-08",37,1,"nominal","2.0NRT",291.8,0.76,"N"
"13",42.26754,26.86975,301.61,0.39,0.44,"2023-08-08",37,1,"nominal","2.0NRT",287.42,0.71,"N"
"14",40.76427,32.21687,305.28,0.39,0.59,"2023-08-08",37,1,"nominal","2.0NRT",286.8,1.21,"N"
"15",40.76822,32.21609,298.95,0.39,0.59,"2023-08-08",37,1,"nominal","2.0NRT",284.83,1.4,"N"
"16",40.75614,31.78072,301.73,0.37,0.58,"2023-08-08",37,1,"nominal","2.0NRT",288.68,0.83,"N"
"17",41.79884,26.70075,301.33,0.4,0.44,"2023-08-08",37,1,"nominal","2.0NRT",288.86,0.86,"N"
"18",41.02022,28.55576,313.59,0.5,0.49,"2023-08-08",37,1,"nominal","2.0NRT",293.79,2.05,"N"
"19",41.01852,28.55399,305.5,0.51,0.49,"2023-08-08",37,1,"nominal","2.0NRT",292.68,1.23,"N"
"20",39.5759,29.86248,298.22,0.32,0.55,"2023-08-08",37,1,"nominal","2.0NRT",288.12,0.75,"N"
"21",39.48693,30.0402,302.72,0.33,0.55,"2023-08-08",37,1,"nominal","2.0NRT",288.92,1.27,"N"
"22",39.86774,26.24352,308.22,0.41,0.45,"2023-08-08",37,1,"nominal","2.0NRT",293.82,1.08,"N"
"23",38.66036,30.6192,310.98,0.37,0.58,"2023-08-08",37,1,"nominal","2.0NRT",290.63,1.33,"N"
"24",38.15386,30.85168,309.73,0.39,0.59,"2023-08-08",37,1,"nominal","2.0NRT",292.81,1.42,"N"
"25",38.14977,30.84534,305.86,0.39,0.59,"2023-08-08",37,1,"nominal","2.0NRT",288.92,0.63,"N"
