,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
1,65.76813,24.19203,324.63,0.44,0.38,2025-04-05,39,N20,VIIRS,n,2.0NRT,260.5,2.51,N
2,65.56498,22.21448,312.14,0.47,0.4,2025-04-05,39,N20,VIIRS,n,2.0NRT,270.29,1.91,N
3,65.56395,22.22447,313.56,0.47,0.4,2025-04-05,39,N20,VIIRS,n,2.0NRT,270.55,1.91,N
4,64.6635,21.28125,299.1,0.48,0.4,2025-04-05,39,N20,VIIRS,n,2.0NRT,271.12,1.18,N
5,64.64623,24.42638,302.95,0.42,0.38,2025-04-05,39,N20,VIIRS,n,2.0NRT,266.32,1.17,N
6,55.15032,31.29595,295.89,0.56,0.43,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.22,0.97,N
7,55.16523,31.28759,301.89,0.56,0.43,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.14,1.06,N
8,54.43203,34.24918,316.95,0.5,0.49,2025-04-05,41,N20,VIIRS,n,2.0NRT,271.04,5.13,N
9,54.43014,34.25617,336.62,0.5,0.49,2025-04-05,41,N20,VIIRS,n,2.0NRT,274.31,7.47,N
10,54.43614,34.25241,311.99,0.5,0.49,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.46,1.54,N
11,54.66018,33.59161,308.24,0.46,0.47,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.22,1.84,N
12,54.76775,33.22937,295.46,0.45,0.47,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.06,1.36,N
13,54.76936,33.22306,311.57,0.45,0.47,2025-04-05,41,N20,VIIRS,n,2.0NRT,268.51,1.77,N
14,54.66183,33.59319,296.2,0.46,0.47,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.34,0.53,N
15,54.76867,33.22295,312.69,0.45,0.47,2025-04-05,41,N20,VIIRS,n,2.0NRT,268.82,2.47,N
16,55.01332,32.48045,299.06,0.41,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,265.41,0.41,N
17,55.13765,32.08499,300.12,0.4,0.44,2025-04-05,41,N20,VIIRS,n,2.0NRT,265.58,0.51,N
18,55.02913,32.6363,311.28,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,268.04,1.49,N
19,55.03296,32.63925,318.71,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,265.71,1.49,N
20,55.03111,32.63787,323.23,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,266.18,2.9,N
21,55.03647,32.63475,304.79,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,265.76,0.97,N
22,54.91374,33.20559,299.03,0.44,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,266.45,2.34,N
23,54.91212,33.21183,333.17,0.44,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,268.51,2.34,N
24,54.93869,33.12693,295.95,0.44,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,264.63,0.51,N
25,55.07177,32.63963,308.48,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.84,2.23,N
26,55.07483,32.62741,318.28,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,270.31,3.07,N
27,55.07635,32.62134,329.14,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.42,3.07,N
28,55.07558,32.64258,327.74,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,270.51,2.23,N
29,55.07711,32.63649,324.91,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.87,2.23,N
30,55.08093,32.63944,336.05,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,271.84,6.52,N
31,55.08245,32.63338,345.3,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,272.35,9.45,N
32,54.37753,35.35846,295.14,0.55,0.51,2025-04-05,41,N20,VIIRS,n,2.0NRT,268.65,1.07,N
33,54.37968,35.35084,304.01,0.55,0.51,2025-04-05,41,N20,VIIRS,n,2.0NRT,270.87,1.55,N
34,54.93721,33.31517,302.5,0.44,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,268.44,1.08,N
35,54.93885,33.30877,316.11,0.44,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.22,2.17,N
36,55.13393,32.70103,304.45,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.45,1.17,N
37,55.13602,32.70352,297.45,0.42,0.45,2025-04-05,41,N20,VIIRS,n,2.0NRT,269.87,0.48,N
38,55.07597,32.99394,302,0.43,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.32,1.58,N
39,55.07756,32.98774,321.5,0.43,0.46,2025-04-05,41,N20,VIIRS,n,2.0NRT,267.77,2.44,N
