"","Type","Model","Status","Lost by","Unit","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Damaged","Russia",NA,2023-11-29,"Pokrovsk raion","https://twitter.com/GloOouD/status/1729906105373847841","https://twitter.com/GloOouD/status/1729906105373847841",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"2","Anti-aircraft systems","Launcher for Buk","Damaged","Russia",NA,2023-12-09,"Makiivka","https://twitter.com/bayraktar_1love/status/1733474129150419358","https://t.me/lost_warinua/59144","48.112139,38.048583","Loitering,Improvised","Russia","Anti-aircraft systems",48.112139,38.048583
"3","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Destroyed","Russia",NA,2024-01-01,"Donetsk","https://twitter.com/666_mancer/status/1742077561918628255","https://twitter.com/vkrainets/status/1741857036428509562","48.003272,37.729352","Improvised","Russia","Anti-aircraft systems",48.003272,37.729352
"4","Anti-aircraft systems","9A316 TEL (for Buk-M2)","Destroyed","Russia",NA,2024-01-01,"Hirne","https://i.postimg.cc/ZRt3DLZk/1043-9-A316-TEL-for-Buk-M2-destr-01-01-24.jpg","https://t.me/lost_warinua/61319","48.048363,38.198177","Turretless,Improvised","Russia","Anti-aircraft systems",48.048363,38.198177
"5","Anti-aircraft systems","9K35 'Strela-10'","Destroyed","Russia",NA,2023-11-28,"Pisky","https://i.postimg.cc/44vQFbbF/1023-Strela-10-destr-28-11-23.jpg","https://t.me/lost_warinua/57916","48.061327,37.701844","Turretless,Improvised","Russia","Anti-aircraft systems",48.061327,37.701844
"6","Armoured Fighting Vehicles","BMP-1 or 2","Abandoned","Russia",NA,2024-01-03,"Kamianka","https://i.postimg.cc/L5DzPMjN/1013-unkn-bmp-aband-04-01-24.jpg","https://t.me/operativnoZSU/130474","48.178288,37.764795","Cope cage,Loitering","Russia","Armor",48.178288,37.764795
"7","Armoured Fighting Vehicles","BMP-1 or 2","Abandoned","Russia",NA,2023-12-28,"Vodiane","https://i.postimg.cc/Yqvc2rfn/1005-bmp1-dam-aband-29-12-23.jpg","https://t.me/WarArchive_ua/9019","48.113359960053316,37.69424146504352",NA,"Russia","Armor",48.1133599600533,37.6942414650435
"8","Armoured Fighting Vehicles","BMP-1 or 2","Abandoned","Russia",NA,2023-12-21,"Novomykhailivka","https://i.postimg.cc/gj51ZCzy/1045-unkn-bmp-aband-21-12-23.jpg","https://twitter.com/lisgenn/status/1739343239323279844","47.84144660463909,37.488046778226455",NA,"Russia","Armor",47.8414466046391,37.4880467782265
"9","Armoured Fighting Vehicles","BMP-1 or 2","Abandoned","Russia",NA,2023-10-24,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/fW0ms66W/1026-bmp1-dam-aband-24-10-23.jpg","https://t.me/lost_warinua/57030","48.22286043,37.72601312","Shattered,Cope cage,Loitering","Russia","Armor",48.22286043,37.72601312
"10","Armoured Fighting Vehicles","BMP-1AM","Abandoned","Russia",NA,2023-10-12,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/wx5Vnw3G/1052-bmp1am-dam-aband-12-10-23.jpg","https://twitter.com/OSINTua/status/1717624038615355565","48.21090243162336,37.72301859502789",NA,"Russia","Armor",48.2109024316234,37.7230185950279
"11","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-12-25,"Novomykhailivka","https://i.postimg.cc/LXx7RwqF/1041-bmp1-dam-aband-25-12-23.jpg","https://t.me/ua_dshv/1944","47.83627950633481,37.49227854233024","Cope cage","Russia","Armor",47.8362795063348,37.4922785423302
"12","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-12-24,"Stepove","https://i.postimg.cc/QM3GSZp0/1034-bmp1-aband-24-12-23.jpg","https://twitter.com/small10space/status/1738934628293968240","48.19783771135358,37.6857627695381",NA,"Russia","Armor",48.1978377113536,37.6857627695381
"13","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-12-21,"Novomykhailivka","https://i.postimg.cc/XNyrY1Gh/1029-bmp1-aband-21-12-23.jpg","https://t.me/skywar79/7?single","47.846757622356954,37.48866076320763","Cope cage,Damaged","Russia","Armor",47.846757622357,37.4886607632076
"14","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-12-10,"Sieverne","https://i.postimg.cc/zfRkDJvV/1014-bmp1-dam-aband-10-12-23.jpg","https://twitter.com/OSINTua/status/1736350466525495305",NA,"Damaged","Russia","Armor",NA,NA
"15","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-11-10,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/RZ9c8R8k/1001-bmp1-dam-aband-10-11-23.jpg","https://t.me/SBUkr/10340","48.19202137429071,37.72238342753275","Damaged","Russia","Armor",48.1920213742907,37.7223834275327
"16","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-11-09,"Vodiane","https://i.postimg.cc/DmVs4k1Q/1004-bmp1-aband-09-11-23.jpg","https://twitter.com/OSINTua/status/1723748961129779306/photo/3","48.096278,37.663972","Cope cage,Damaged","Russia","Armor",48.096278,37.663972
"17","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia","39th Separate Motor Rifle Brigade",2023-11-06,"Novomykhailivka","https://i.postimg.cc/CxMnZsGG/1002-bmp1-dam-aband-06-11-23.jpg","https://t.me/ua_dshv/1746","47.83102,37.48845","Cope cage","Russia","Armor",47.83102,37.48845
"18","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia","1st Separate Motor Rifle Brigade (DNR)",2023-10-31,"Sieverne","https://i.postimg.cc/HnPSzzXX/1028-1x-t64bv-1x-bmp1-destr-bmp1-aband-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940","48.11242449900839,37.680614113228316","Cope cage,Damaged","Russia","Armor",48.1124244990084,37.6806141132283
"19","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-10-31,"Sieverne","https://i.postimg.cc/L4brFcyz/1021-bmp1-aband-31-10-23.jpg","https://twitter.com/OSINTua/status/1719405081685114940",NA,"Cope cage,Damaged","Russia","Armor",NA,NA
"20","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-10-19,"Avdiivka","https://i.postimg.cc/QdJRqzw3/1019-bmp1-aband-03-12-23.jpg","https://twitter.com/OSINTua/status/1731359380379992564","48.1903674,37.7026069","Damaged,Loitering","Russia","Armor",48.1903674,37.7026069
"21","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-10-19,"Avdiivka","https://i.postimg.cc/9Xv5XZZv/1018-bmp1-dam-aband-03-12-23.jpg","https://twitter.com/OSINTua/status/1731359380379992564","48.1905969,37.7008925","Damaged","Russia","Armor",48.1905969,37.7008925
"22","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-10-19,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/2Sr4scV3/1049-1x-destr-1x-aband-t72b-obr-2022-1x-unkn-t72-dam-aband-1x-bmp1-destr-2x-bmp2-destr.jpg","https://t.me/BUAR110ombr/139","48.1980632,37.7080186","V,Cope cage,Damaged,☐","Russia","Armor",48.1980632,37.7080186
"23","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-10-12,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/9fnw5pbq/1056-bmp1-dam-aband-12-10-23.jpg","https://t.me/operativnoZSU/120223","48.19020197,37.71829590","Z,Cope cage,Damaged","Russia","Armor",48.19020197,37.7182959
"24","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia",NA,2023-10-10,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/FKxtNsb3/1041-bmp1-dam-aband-18-10-23.jpg","https://t.me/lost_warinua/53259","48.192722,37.726111","Z,Damaged","Russia","Armor",48.192722,37.726111
"25","Armoured Fighting Vehicles","BMP-1P","Abandoned","Russia","114th Separate Motor Rifle Brigade (DNR)",2023-10-10,"Krasnohorivka (Ocheretyne hromada)","https://i.postimg.cc/pVfdgvbT/1005-2x-bmp1-and-btr82a-destr-12-10-23.jpg","https://t.me/operativnoZSU/118492","48.192373,37.727124","Z,O,Damaged","Russia","Armor",48.192373,37.727124
"26","Armoured Fighting Vehicles","BMP-2 675-sb3KDZ","Abandoned","Russia",NA,2023-10-10,"Pervomaiske","https://twitter.com/UAWeapons/status/1712552062364561824","https://t.me/lost_warinua/53069","48.069744,37.635020","V,Damaged","Russia","Armor",48.069744,37.63502
"27","Armoured Fighting Vehicles","BMP-2 675-sb3KDZ","Abandoned","Russia",NA,2023-10-10,"Pervomaiske","https://twitter.com/UAWeapons/status/1712552062364561824","https://t.me/lost_warinua/53069","48.069806,37.635","Cope cage,Damaged","Russia","Armor",48.069806,37.635
"28","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2024-01-07,"Novomykhailivka","https://i.postimg.cc/T3JS7sdQ/1012-bmp2-and-mtlb-aband-08-01-24.jpg","https://t.me/Perun_Group/241",NA,"Damaged","Russia","Armor",NA,NA
"29","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2024-01-03,"Mariinka",NA,"https://t.me/lost_warinua/62055",NA,"Damaged","Russia","Armor",NA,NA
"30","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2024-01-03,"Kamianka","https://i.postimg.cc/SNQLhJp5/1014-bmp2-dam-aband-04-01-24.jpg","https://t.me/operativnoZSU/130474","48.178430,37.765486","Damaged","Russia","Armor",48.17843,37.765486
"31","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2024-01-02,"Vodiane","https://i.postimg.cc/C5cq1sV2/1041-bmp2-aband-02-01-24.jpg",NA,"48.102539,37.636966","Damaged","Russia","Armor",48.102539,37.636966
"32","Armoured Fighting Vehicles","BMP-2(K)","Abandoned","Russia",NA,2023-12-27,"Stepove","https://i.postimg.cc/g0gWjQ0S/1037-bmp2-aband-27-12-23.jpg","https://twitter.com/GloOouD/status/1739958698297196678","48.198668,37.691476","Damaged","Russia","Armor",48.198668,37.691476
