"","Type","Model","Status","Lost by","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Anti-aircraft systems","5P85SM2-01 launcher (for 40P6 S-400 'Triumf')","Destroyed","Russia",2024-06-02,"Kiselevo",NA,"https://t.me/lost_warinua/78921","50.735535,36.735985",NA,"Russia","Anti-aircraft systems",50.735535,36.735985
"2","Armoured Fighting Vehicles","BMP-1(P)","Destroyed","Russia",2024-05-10,"Vergilevka","https://i.postimg.cc/VkRv11tC/1000-bmp2-destr-10-05-24.jpg","https://t.me/gostrikartuzy/241","50.293444,36.528833","Improvised,◇,✕","Russia","Armor",50.293444,36.528833
"3","Armoured Fighting Vehicles","BMP-2 675-sb3KDZ","Destroyed","Russia",2024-05-22,"Hatyshche","https://i.postimg.cc/Mp17CB8R/1042-BMP-2-675-sb3-KDZ-destr-22-05-24.jpg",NA,"50.312057,36.876525","Turretless","Russia","Armor",50.312057,36.876525
"4","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-16,"Pletenivka",NA,"https://t.me/lost_warinua/77003","50.331389,36.926278","Cope cage","Russia","Armor",50.331389,36.926278
"5","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Krasne","https://i.postimg.cc/K4hS3K68/1024-bmp2-destr-10-05-24.jpg","https://t.me/lost_warinua/76225","50.311978,36.465578","Cope cage","Russia","Armor",50.311978,36.465578
"6","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Krasne","https://i.postimg.cc/250D9SZ0/1025-bmp2-destr-10-05-24.jpg","https://t.me/lost_warinua/76225","50.311851,36.465534","Cope cage","Russia","Armor",50.311851,36.465534
"7","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Vergilevka","https://i.postimg.cc/MHQJG0rL/1052-bmp2-destr-10-05-24.jpg","https://t.me/gostrikartuzy/241","50.293444,36.528833","Improvised","Russia","Armor",50.293444,36.528833
"8","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-10,"Vergilevka","https://i.postimg.cc/8zDcqs7G/1001-bmp2-destr-10-05-24.jpg","https://t.me/gostrikartuzy/241","50.293444,36.528833","Turretless,Flipped,Improvised","Russia","Armor",50.293444,36.528833
"9","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-23,"Hatyshche","https://i.postimg.cc/R0Sym1J8/1043-bmp2-destr-28-05-24.jpg","https://x.com/OSINTua/status/1797288951863972203/photo/2","50.307882,36.887222","Cope cage","Russia","Armor",50.307882,36.887222
"10","Armoured Fighting Vehicles","BMP-2(K)","Destroyed","Russia",2024-05-22,"Vergilevka","https://i.postimg.cc/k4GvhCQv/1000-bmp2-destr-22-05-24.jpg","https://www.youtube.com/watch?v=Vh1nYNa4Zg4&t=50s","50.293703,36.528661","Turretless,Cope cage,Improvised,✕,◇","Russia","Armor",50.293703,36.528661
"11","Armoured Fighting Vehicles","MT-LB","Destroyed","Russia",2024-05-22,"Kharkiv oblast","https://i.postimg.cc/RZLnzYG6/1051-MT-LB-destr-22-05-24.jpg","https://t.me/lost_warinua/77659",NA,"Cope cage","Russia","Armor",NA,NA
