"","Type","Model","Status","Lost by","Unit","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Anti-aircraft systems","9K35 'Strela-10'","Damaged","Russia",NA,2023-10-27,"Chelburda","https://i.postimg.cc/pLPqmSX0/1054-strela10-destr-27-10-23.jpg","https://t.me/lost_warinua/54554","46.601424,32.953585",NA,"Russia","Anti-aircraft systems",46.601424,32.953585
"2","Anti-aircraft systems","9A317M TELAR (for Buk-M3)","Destroyed","Russia",NA,2023-11-29,"Kherson oblast","https://twitter.com/bayraktar_1love/status/1729859704615055612","https://t.me/lost_warinua/57979",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"3","Anti-aircraft systems","9A33BM OSA-AKM TELAR","Destroyed","Russia",NA,2024-01-16,"Radensk",NA,"https://t.me/lost_warinua/62701","46.532509,32.955766",NA,"Russia","Anti-aircraft systems",46.532509,32.955766
"4","Anti-aircraft systems","9A33BM OSA-AKM TELAR","Destroyed","Russia",NA,2024-01-05,"Nova Zburiivka","https://i.postimg.cc/Dz8NvP3K/1009-9-K33-M3-OSA-AKM-destr-08-01-24.jpg","https://t.me/lost_warinua/61754","46.412917,32.420028",NA,"Russia","Anti-aircraft systems",46.412917,32.420028
"5","Anti-aircraft systems","9A33BM OSA-AKM TELAR","Destroyed","Russia",NA,2023-12-30,"Radensk","https://twitter.com/NOELreports/status/1741044540050448593","https://t.me/lost_warinua/61218","46.536639,32.940194",NA,"Russia","Anti-aircraft systems",46.536639,32.940194
"6","Anti-aircraft systems","9K35 'Strela-10'","Destroyed","Russia",NA,2024-01-04,"Radensk","https://i.postimg.cc/JnNJwB4s/1012-9-K35-Strela-10-destr-04-01-24.jpg","https://t.me/lost_warinua/61714","46.589944,32.942722","V","Russia","Anti-aircraft systems",46.589944,32.942722
"7","Anti-aircraft systems","Launcher for Buk","Destroyed","Russia",NA,2023-11-30,"Kalynivka","https://twitter.com/bayraktar_1love/status/1730205079389548852","https://t.me/lost_warinua/58051","46.16442,32.61074",NA,"Russia","Anti-aircraft systems",46.16442,32.61074
"8","Anti-aircraft systems","Pantsir-S1","Destroyed","Russia",NA,2023-11-17,"Chaplynka","https://i.postimg.cc/cCM7f15J/1016-pantsir-destr-17-11-23.jpg","https://t.me/SJTF_Odes/2894","46.338667,33.503083",NA,"Russia","Anti-aircraft systems",46.338667,33.503083
"9","Command Vehicles","APE-5 command post","Destroyed","Russia",NA,2023-12-19,"Kherson oblast","https://imgur.com/XezWkzY","https://t.me/lost_warinua/60167",NA,NA,"Russia","Command Vehicles",NA,NA
"10","Command Vehicles","MPUS-K mobile command post","Destroyed","Russia",NA,2023-11-29,"Nova Maiachka","https://i.postimg.cc/PxWY9TZ8/1008-MPUS-K-destr-29-11-23.jpg","https://t.me/lost_warinua/57973","46.60737,33.24981",NA,"Russia","Command Vehicles",46.60737,33.24981
