"","Type","Model","Status","Lost by","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Anti-aircraft systems","2S6M combat vehicle (for 2K22M 'Tunguska-M')","Damaged","Russia",2024-09-30,"Kursk oblast","https://i.postimg.cc/59DHsWmY/1039-2-K22-M-Tunguska-M-dam-30-09-24.jpg","https://t.me/lost_warinua/91977",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"2","Anti-aircraft systems","9A316 TEL (for 9K317 'Buk-M2')","Damaged","Russia",2024-09-23,"Oktyabrskoe","https://i.postimg.cc/Qd5H0F8G/1038-9-A317-TELAR-for-9-K317-Buk-M2-destr-23-09-24.jpg","https://t.me/raid_413/63","51.565161,34.781377",NA,"Russia","Anti-aircraft systems",51.565161,34.781377
"3","Anti-aircraft systems","9A317M TELAR (for 9K317M 'Buk-M3')","Damaged","Russia",2024-09-21,"Kursk oblast","https://i.postimg.cc/wTn1XXdQ/1033-9-A317-M-TELAR-for-9-K317-M-Buk-M3-destr-21-09-24.jpg","https://t.me/SBUkr/12950",NA,"Loitering","Russia","Anti-aircraft systems",NA,NA
"4","Anti-aircraft systems","9A317 TELAR (for 9K317 'Buk-M2')","Destroyed","Russia",2024-09-23,"Oktyabrskoe","https://i.postimg.cc/s2r183xB/1037-9-A317-TELAR-for-9-K317-Buk-M2-destr-23-09-24.jpg","https://t.me/raid_413/63","51.564966,34.780529",NA,"Russia","Anti-aircraft systems",51.564966,34.780529
"5","Armoured fighting vehicles","BMD-2","Abandoned","Russia",2024-09-29,"Veseloe","https://i.postimg.cc/X7bmP9Zr/1040-BMD-2-dam-aband-29-09-24.jpg","https://t.me/lost_warinua/91300","51.274924,34.567267","Cope cage,Damaged","Russia","Armoured fighting vehicles",51.274924,34.567267
"6","Armoured fighting vehicles","BMP-3","Abandoned","Russia",2024-10-15,"Novoivanovka","https://i.postimg.cc/G2R1fyJw/1047-BMP-3-aband-15-10-24.jpg","https://t.me/ssternenko/35306","51.323506,35.078044","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.323506,35.078044
"7","Armoured fighting vehicles","BTR-82A(M)","Abandoned","Russia",2024-10-18,"Pogrebki","https://i.postimg.cc/Tw9ptFNr/1315-BTR-82-AT-aband-18-10-24.jpg","https://t.me/ombr41/861","51.391111,35.166889","Improvised","Russia","Armoured fighting vehicles",51.391111,35.166889
"8","Armoured fighting vehicles","BTR-82A(M)","Abandoned","Russia",2024-10-18,"Zhuravli","https://i.postimg.cc/xCYXyn5f/1316-BTR-82-AT-aband-18-10-24.jpg","https://t.me/ombr41/861","51.400309,35.145126","Turretless,Damaged","Russia","Armoured fighting vehicles",51.400309,35.145126
"9","Armoured fighting vehicles","BTR-82A(M)","Abandoned","Russia",2024-10-10,"Korenevo","https://i.postimg.cc/Jz6jNQKY/1159-BTR-82-A-M-dam-aband-10-10-24.jpg","https://t.me/vorposte/63187 and https://t.me/rustroyka1945/18311","51.390934,34.965209","Damaged,Flipped","Russia","Armoured fighting vehicles",51.390934,34.965209
"10","Armoured fighting vehicles","BTR-82AT","Abandoned","Russia",2024-10-18,"Pogrebki","https://i.postimg.cc/rp5drKSZ/1314-BTR-82-AT-aband-18-10-24.jpg","https://t.me/ombr41/861","51.391083,35.166806",NA,"Russia","Armoured fighting vehicles",51.391083,35.166806
"11","Armoured fighting vehicles","BTR-82AT","Abandoned","Russia",2024-09-10,"Zhuravli","https://i.postimg.cc/HkyjZ8Tq/1057-BTR-82-A-M-dam-10-09-24.jpg","https://t.me/lost_warinua/89186","51.4148,35.12133","Cope cage,Damaged","Russia","Armoured fighting vehicles",51.4148,35.12133
"12","Armoured fighting vehicles","BMD-2","Captured","Russia",2024-08-19,"Kursk oblast",NA,"https://t.me/lost_warinua/87112",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"13","Armoured fighting vehicles","BTR-82AT","Captured","Russia",2024-09-14,"Kursk oblast","https://i.postimg.cc/c1jV7V0M/1018-BTR-82-AT-capt-14-09-24.jpg","https://t.me/lost_warinua/89482",NA,"Armour kit missing","Russia","Armoured fighting vehicles",NA,NA
"14","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-11-02,"Kursk oblast","https://i.postimg.cc/KYFqSrVN/1036-BMD-2-destr-02-11-24.jpg","https://t.me/ssternenko/35634",NA,"Cope cage","Russia","Armoured fighting vehicles",NA,NA
"15","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-31,"Kursk oblast","https://i.postimg.cc/3rXBYw1f/1036-BMD-2-destr-31-10-24.jpg","https://x.com/OSINTua/status/1852014840027467922",NA,"Turretless,Shattered,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"16","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-26,"Obukhovka","https://i.postimg.cc/DyH1KjQw/1026-BMD-4-M-destr-26-10-24.jpg","https://t.me/lost_warinua/94624","51.278030,34.958877","Cope cage,Turretless,Shattered,Jammer","Russia","Armoured fighting vehicles",51.27803,34.958877
"17","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-22,"Byakhovo","https://i.postimg.cc/P5LqkHSb/1004-BMD-2-destr-22-10-24.jpg","https://t.me/lost_warinua/94086","51.28020,34.90797","Cope cage,Jammer","Russia","Armoured fighting vehicles",51.2802,34.90797
"18","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-20,"Kursk oblast","https://i.postimg.cc/W3KF0PC3/1277-BMD-2-destr-20-10-24.jpg","https://t.me/chornyi_stryzh/86",NA,NA,"Russia","Armoured fighting vehicles",NA,NA
"19","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-20,"Glushkovo","https://i.postimg.cc/GtyBQ5nj/1281-BMD-2-destr-20-10-24.jpg","https://t.me/ssternenko/35133","51.309387,34.625676","Turretless,V,Cope cage","Russia","Armoured fighting vehicles",51.309387,34.625676
"20","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-16,"Lyubimovka","https://i.postimg.cc/pXPBTt1W/1048-BMD-2-desttr-16-10-24.jpg","https://t.me/russian_airborne/7654","51.3115,35.062917","Turretless,Shattered","Russia","Armoured fighting vehicles",51.3115,35.062917
"21","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-15,"Kursk oblast","https://i.postimg.cc/Bvm1QFC2/1170-BMD-2-destr-15-10-24.jpg","https://t.me/lost_warinua/93201",NA,"V,Cope cage","Russia","Armoured fighting vehicles",NA,NA
"22","Armoured fighting vehicles","BMD-2","Destroyed","Russia",2024-10-05,"Veseloe","https://i.postimg.cc/TPB90DyB/1046-BMD-2-destr-05-10-24.jpg","https://t.me/lost_warinua/91928","51.29004,34.60499","Cope cage,Turretless,Shattered","Russia","Armoured fighting vehicles",51.29004,34.60499
