"","Type","Model","Status","Lost by","Unit","Date","Nearest location","Oryx URL","Source","Geolocation","Tags","Country","GeneralType","lat","lng"
"1","Aircraft","Su-35S multirole aircraft","Destroyed","Russia",NA,2023-09-28,"Novomykolaivka (Molochansk hromada)","https://i.postimg.cc/L8dKFLD0/439.png","https://t.me/lost_warinua/51094","47.122267,35.699299",NA,"Russia","Aircraft",47.122267,35.699299
"2","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Damaged","Russia",NA,2023-07-25,"Zaporizhzhia oblast","https://i.postimg.cc/XJdFqjft/544.png","https://t.me/WS_videos/1570",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"3","Anti-aircraft systems","9A331M TLAR (for 9K332 Tor-M2)","Damaged","Russia",NA,2023-07-29,"Zaporizhzhia oblast","https://i.postimg.cc/8Csz5MZ2/1011-9-331-dam-29-07-23.jpg","https://t.me/lost_warinua/44006",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"4","Anti-aircraft systems","9A331M TLAR (for 9K332 Tor-M2)","Damaged","Russia",NA,2023-06-09,"Volnovakha raion","https://i.postimg.cc/pr4GN9Fz/1006-9-A330-Tor-TLAR-dam-09-06-23.jpg","https://www.facebook.com/photo.php?fbid=3546990428898775&set=pb.100007635584684.-2207520000.&type=3",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"5","Anti-aircraft systems","9K35 Strela-10","Damaged","Russia",NA,2023-09-27,"Polohy","https://i.postimg.cc/RVS3T4V7/1010-strela10-destr-27-09-23.jpg","https://t.me/WarArchive_ua/5785","47.47212,36.15914","Loitering","Russia","Anti-aircraft systems",47.47212,36.15914
"6","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Destroyed","Russia",NA,2023-07-15,"Husarka","https://i.postimg.cc/T1PbxkBg/1001-9-A310-M1-2-destr-25-07-23.jpg","https://t.me/lost_warinua/43488","47.374194,36.552361",NA,"Russia","Anti-aircraft systems",47.374194,36.552361
"7","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Destroyed","Russia",NA,2023-07-12,"Chervonoselivka","https://i.postimg.cc/254hpgvd/1012-9-A310-M1-2-TELAR-for-Buk-M1-2-destr-12-07-23.jpg","https://t.me/lost_warinua/41531","47.483278,36.731194",NA,"Russia","Anti-aircraft systems",47.483278,36.731194
"8","Anti-aircraft systems","9A310M1-2 TELAR (for Buk-M1-2)","Destroyed","Russia",NA,2023-06-04,"Druzhne","https://twitter.com/UAWeapons/status/1665345553096400899","https://t.me/lost_warinua/37535","47.406583,36.519528",NA,"Russia","Anti-aircraft systems",47.406583,36.519528
"9","Anti-aircraft systems","9A316 TEL (for Buk-M2)","Destroyed","Russia",NA,2023-07-31,"Urozhaine","https://i.postimg.cc/T3zcQ43j/4377.png","https://t.me/lost_warinua/48992","47.217873,35.977322",NA,"Russia","Anti-aircraft systems",47.217873,35.977322
"10","Anti-aircraft systems","9A316 TEL (for Buk-M2)","Destroyed","Russia",NA,2023-07-30,"Novopetrykivka","https://twitter.com/UAWeapons/status/1685581789169852416","https://t.me/lost_warinua/44053","47.590603,36.875529",NA,"Russia","Anti-aircraft systems",47.590603,36.875529
"11","Anti-aircraft systems","9A317 TELAR (for Buk-M2)","Destroyed","Russia",NA,2023-07-15,"Zapovitne","https://i.postimg.cc/vH4qwtb8/1008-buk-destr-24-07-23.jpg","https://t.me/lost_warinua/43274","47.325462,34.614258",NA,"Russia","Anti-aircraft systems",47.325462,34.614258
"12","Anti-aircraft systems","9A317M TELAR (for Buk-M3)","Destroyed","Russia",NA,2023-07-31,"Kamianka","https://i.postimg.cc/HsG5qygH/32651.png","https://t.me/lost_warinua/48999","47.216155,35.997382",NA,"Russia","Anti-aircraft systems",47.216155,35.997382
"13","Anti-aircraft systems","9A331M TLAR (for 9K332 Tor-M2)","Destroyed","Russia",NA,2023-07-14,"Vesele (Molochansk hromada)","https://twitter.com/UAWeapons/status/1679843262813679616","https://t.me/lost_warinua/41806","47.173222,35.725611",NA,"Russia","Anti-aircraft systems",47.173222,35.725611
"14","Anti-aircraft systems","9A331M TLAR (for 9K332 Tor-M2)","Destroyed","Russia",NA,2023-06-11,"Zaporizhzhia oblast","https://i.postimg.cc/gj3XFFD6/1003-Tor-M2-destr-11-06-23.jpg","https://t.me/lost_warinua/38188",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"15","Anti-aircraft systems","9K35 Strela-10","Destroyed","Russia",NA,2023-09-12,"Zaporizhzhia oblast","https://twitter.com/UAWeapons/status/1701634213504496009","https://t.me/lost_warinua/49480",NA,NA,"Russia","Anti-aircraft systems",NA,NA
"16","Anti-aircraft systems","9K35 Strela-10","Destroyed","Russia",NA,2023-07-02,"Liubymivka","https://i.postimg.cc/cJcqwY8y/1001-strela10-destr-02-07-23.jpg","https://t.me/lost_warinua/40373","47.649917,36.667917",NA,"Russia","Anti-aircraft systems",47.649917,36.667917
"17","Anti-aircraft systems","9K35 Strela-10","Destroyed","Russia",NA,2023-08-15,"Volnovakha raion","https://twitter.com/bayraktar_1love/status/1691154377291988992","https://t.me/lost_warinua/46127",NA,"Loitering","Russia","Anti-aircraft systems",NA,NA
"18","Anti-aircraft systems","Unknown Buk SAM system","Destroyed","Russia",NA,2023-08-03,"Vladivka","https://twitter.com/NOELreports/status/1687173104819163136","https://t.me/lost_warinua/45004","47.149851,36.013122",NA,"Russia","Anti-aircraft systems",47.149851,36.013122
"19","Command Vehicles","1V14(M) battery command and forward observer vehicle","Destroyed","Russia",NA,2023-08-02,"Zaporizhzhia oblast","https://i.postimg.cc/vmcPJT2K/1026-1-V14-destr-02-08-23.jpg","https://t.me/lost_warinua/44693",NA,"Turretless","Russia","Command Vehicles",NA,NA
"20","Command Vehicles","BMP-1KSh command and staff vehicle","Destroyed","Russia",NA,2023-08-27,"Mykilske","https://i.postimg.cc/JzPxY8b1/3.png","https://t.me/lost_warinua/47551","47.754167,37.30275","V","Russia","Command Vehicles",47.754167,37.30275
"21","Command Vehicles","Lancet launcher and control station","Destroyed","Russia",NA,2023-09-07,"Pokrovske","https://i.postimg.cc/Jh3ZJvRs/7648.png","https://twitter.com/externalPilot/status/1699676313823346811","47.328591,35.644886",NA,"Russia","Command Vehicles",47.328591,35.644886
"22","Drones","Eleron T28ME (Eleron-7) reconnaissance UAV","Captured","Russia",NA,2023-08-17,"Zaporizhzhia oblast","https://i.postimg.cc/Y2vVy97R/1039-Eleron-28-E-destr-17-08-23.jpg","https://t.me/lost_warinua/46624",NA,NA,"Russia","Drones",NA,NA
"23","Drones","Orlan-10 reconnaissance UAV","Captured","Russia",NA,2023-06-29,"Zaporizhzhia oblast","https://i.postimg.cc/fym1W9sr/1006-orlan10-capt-29-06-23.jpg","https://www.facebook.com/photo/?fbid=1405117170055593&set=pcb.1405117360055574",NA,NA,"Russia","Drones",NA,NA
"24","Drones","Supercam S350 reconnaissance UAV","Captured","Russia",NA,2023-09-17,"Zaporizhzhia oblast","https://i.postimg.cc/FHSdDJyk/246.png","https://t.me/lost_warinua/49953",NA,"Damaged","Russia","Drones",NA,NA
"25","Drones","Eleron-3 reconnaissance UAV","Destroyed","Russia",NA,2023-07-21,"Zaporizhzhia oblast",NA,"https://t.me/lost_warinua/42950",NA,NA,"Russia","Drones",NA,NA
"26","Drones","Eleron-3 reconnaissance UAV","Destroyed","Russia",NA,2023-07-10,"Zaporizhzhia oblast","https://i.postimg.cc/mZKHs7mz/1047-Eleron-3-destr-14-06-23.jpg","https://t.me/lost_warinua/41263",NA,NA,"Russia","Drones",NA,NA
"27","Drones","Eleron-3SV reconnaissance UAV","Destroyed","Russia",NA,2023-08-03,"Robotyne","https://i.postimg.cc/wMXHD0hD/1037-Eleron-capt-03-08-23.jpg","https://t.me/lost_warinua/44895",NA,NA,"Russia","Drones",NA,NA
"28","Drones","Supercam S350 reconnaissance UAV","Destroyed","Russia",NA,2023-10-14,"Zaporizhzhia oblast","https://i.postimg.cc/hv3qz9rV/1071-Supercam-S350-reconnaissance-UAV-destr-14-10-23.jpg","https://t.me/lost_warinua/52776",NA,NA,"Russia","Drones",NA,NA
"29","Drones","Supercam S350 reconnaissance UAV","Destroyed","Russia",NA,2023-10-10,"Kutuzivka","https://twitter.com/UAWeapons/status/1711812998359060514","https://x.com/externalPilot/status/1711837054550589871?s=20","47.215464,35.64231",NA,"Russia","Drones",47.215464,35.64231
"30","Drones","Supercam S350 reconnaissance UAV","Destroyed","Russia",NA,2023-09-05,"Zaporizhzhia oblast","https://i.postimg.cc/Hk5Z0ryV/2489.png","https://t.me/lost_warinua/48597",NA,NA,"Russia","Drones",NA,NA
"31","Drones","Supercam S350 reconnaissance UAV","Destroyed","Russia",NA,2023-08-19,"Polohy raion","https://i.postimg.cc/5tfScPC1/1018-Super-Cam-S350-destr-19-08-23.jpg","https://www.instagram.com/p/CwH5uewI9-8/",NA,NA,"Russia","Drones",NA,NA
"32","Drones","ZALA 421-16Е reconnaissance UAV","Destroyed","Russia",NA,2023-08-21,"Zaporizhzhia oblast","https://i.postimg.cc/Xqw4h8cj/1009-ZALA-421-16-reconnaissance-UAV-destr-21-08-23.jpg",NA,NA,NA,"Russia","Drones",NA,NA
"33","Drones","ZALA 421-16Е reconnaissance UAV","Destroyed","Russia",NA,2023-06-14,"Zaporizhzhia oblast","https://i.postimg.cc/J7skvp5C/1046-Zala-421-16-E-destr-14-06-23.jpg","https://t.me/lost_warinua/41264",NA,NA,"Russia","Drones",NA,NA
