"","country","origin","system","status","url","sysID","imageID","statusID","matID","Date"
"3",NA,"Soviet Union","T-72B","damaged","https://i.postimg.cc/8zz8WcH7/763.png",1,3,3,NA,"2022-02-27"
"4",NA,"Soviet Union","T-72B","abandoned","https://i.postimg.cc/8zz8WcH7/763.png",1,3,2,NA,"2022-02-27"
"5",NA,"Russia","T-72B Obr. 1989","abandoned","https://i.postimg.cc/rsFyfrR7/h8.png",2,4,2,NA,"2022-02-27"
"12",NA,"Soviet Union","MT-LB","destroyed","https://i.postimg.cc/XvpJbF2W/k9.png",6,11,1,NA,"2022-02-27"
"18",NA,"Soviet Union","2S1 Gvozdika with ZU-23 AA gun","captured","https://i.postimg.cc/Yq5q4HcW/88kj.png",9,17,4,NA,"2022-02-27"
"21",NA,"Russia","R-149MA1 unified command and staff vehicle","captured","https://i.postimg.cc/kgBKhrFT/884.png",11,20,4,NA,"2022-02-27"
"24",NA,"Soviet Union","BMP-2","destroyed","https://i.postimg.cc/TYZ72Ps8/77690.png",12,23,1,NA,"2022-02-27"
"33",NA,"Soviet Union","BMP-2","abandoned","https://i.postimg.cc/tJM8dQNL/h77.png",12,30,2,NA,"2022-02-27"
"34",NA,"Soviet Union","BMD-2","abandoned","https://i.postimg.cc/xjLsrGfV/79.png",13,31,2,NA,"2022-02-27"
"35",NA,"Soviet Union","BMD-2","captured","https://i.postimg.cc/rssnsRcT/5799.png",13,32,4,NA,"2022-02-27"
"36",NA,"Russia","BMD-4M","destroyed","https://i.postimg.cc/gjmtWttx/548.png",14,33,1,NA,"2022-02-27"
"38",NA,"Russia","BTR-82A","captured","https://i.postimg.cc/TYZ72Ps8/77690.png",15,23,4,NA,"2022-02-27"
"39",NA,"Soviet Union","BTR-80","destroyed","https://i.postimg.cc/Dwp3QN7Q/Screenshot-8275.png",16,35,1,NA,"2022-02-27"
"40",NA,"Soviet Union","BTR-80","destroyed","https://i.postimg.cc/nzTPBQHM/n1.png",16,36,1,NA,"2022-02-27"
"41",NA,"Soviet Union","BTR-80","captured","https://i.postimg.cc/cJCm25Z1/n2.png",16,37,4,NA,"2022-02-27"
"43",NA,"Soviet Union","BTR-D","captured","https://i.postimg.cc/kgBKhrFT/884.png",17,20,4,NA,"2022-02-27"
"44",NA,"Soviet Union","BTR-D","captured","https://i.postimg.cc/bN80m24w/6688.png",17,39,4,NA,"2022-02-27"
"50",NA,"Russia","GAZ Tigr-M","destroyed","https://postimg.cc/jnsX0hVw",19,45,1,NA,"2022-02-27"
"51",NA,"Russia","GAZ Tigr-M","destroyed","https://i.postimg.cc/26Q08q6c/m9.png",19,46,1,NA,"2022-02-27"
"52",NA,"Russia","GAZ Tigr-M","destroyed","https://i.postimg.cc/XYsxrSnW/Screenshot-8293.png",19,47,1,NA,"2022-02-27"
"54",NA,"Russia","GAZ Tigr-M","abandoned","https://postimg.cc/KKD3Shmf",19,49,2,NA,"2022-02-27"
"75",NA,"Soviet Union","9М131F Metis-M1","captured","https://i.postimg.cc/kMwP5WQ0/8k.png",30,68,4,NA,"2022-02-27"
"77",NA,"Soviet Union","120mm mortar","captured","https://i.postimg.cc/x11CC0NR/550.png",31,70,4,NA,"2022-02-27"
"87",NA,"Soviet Union","9K33 Osa","destroyed","https://i.postimg.cc/xChnM7jX/n2.png",34,79,1,NA,"2022-02-27"
"95",NA,"Soviet Union","Mi-24","destroyed","https://i.postimg.cc/x1B22Yvq/7755.png",41,86,1,NA,"2022-02-27"
"99",NA,"Soviet Union","9T452 transporter-loader (for BM-27 'Uragan' MRL)","destroyed","https://i.postimg.cc/QNzHJ4Yk/n2.png",44,90,1,NA,"2022-02-27"
"100",NA,"Russia","GAZ-3308","abandoned","https://postimg.cc/cg7mbbzG",45,91,2,NA,"2022-02-27"
"101",NA,"Russia","GAZ-3308","abandoned","https://postimg.cc/62xczXYh",45,92,2,NA,"2022-02-27"
"102",NA,"Russia","GAZ Sobol","destroyed","https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png",46,93,1,NA,"2022-02-27"
"103",NA,"Russia","GAZ Sobol","abandoned","https://postimg.cc/87FbS5YH",46,94,2,NA,"2022-02-27"
"108",NA,"Russia","Ural-4320","destroyed","https://postimg.cc/YvjdC8vQ",47,98,1,NA,"2022-02-27"
"109",NA,"Russia","Ural-4320","destroyed","https://postimg.cc/KR09bC8Z",47,99,1,NA,"2022-02-27"
"113",NA,"Russia","Ural-4320","abandoned","https://i.postimg.cc/R0KVpG33/Screenshot-8272.png",47,101,2,NA,"2022-02-27"
"118",NA,"Russia","Ural-4320","captured","https://i.postimg.cc/Jn500txp/55799.png",47,106,4,NA,"2022-02-27"
"119",NA,"Russia","Ural-43206","captured","https://i.postimg.cc/pdjsnMg9/c1.png",48,107,4,NA,"2022-02-27"
"120",NA,"Russia","Ural-43206","captured","https://i.postimg.cc/1tZJGYQv/c2.png",48,108,4,NA,"2022-02-27"
"121",NA,"Russia","Ural Federal","destroyed","https://postimg.cc/YvcvvC98",49,109,1,NA,"2022-02-27"
"122",NA,"Russia","Ural Federal","abandoned","https://postimg.cc/4nNVGy79",49,110,2,NA,"2022-02-27"
"123",NA,"Russia","Ural Federal","abandoned","https://postimg.cc/c6Hgjz27",49,111,2,NA,"2022-02-27"
"133",NA,"Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/dQmFbzNj/6888.png",22,121,1,NA,"2022-02-27"
"134",NA,"Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/zfp7Rm55/Screenshot-8276.png",22,122,1,NA,"2022-02-27"
"135",NA,"Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/nrMnttVL/7k.png",22,123,1,NA,"2022-02-27"
"136",NA,"Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/gkPg5HgC/Screenshot-8289.png",22,93,1,NA,"2022-02-27"
"137",NA,"Russia","KamAZ 6x6","destroyed","https://postimg.cc/5QNwkNv8",22,124,1,NA,"2022-02-27"
"138",NA,"Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/kXvznpZN/v7.png",22,125,1,NA,"2022-02-27"
"139",NA,"Russia","KamAZ 6x6","destroyed","https://postimg.cc/rd1xVtNS",22,126,1,NA,"2022-02-27"
"140",NA,"Russia","KamAZ 6x6","destroyed","https://postimg.cc/KRCMt59P",22,127,1,NA,"2022-02-27"
"143",NA,"Russia","KamAZ 6x6","abandoned","https://i.postimg.cc/RFmCkffg/Screenshot-8273.png",22,130,2,NA,"2022-02-27"
"144",NA,"Russia","KamAZ 6x6","abandoned","https://postimg.cc/zVzd9q5t",22,131,2,NA,"2022-02-27"
"145",NA,"Russia","KamAZ 6x6","abandoned","https://i.postimg.cc/Pq6cnvCm/Screenshot-8284.png",22,132,2,NA,"2022-02-27"
"146",NA,"Russia","KamAZ 6x6","abandoned","https://i.postimg.cc/bNQBNBGY/Screenshot-8285.png",22,133,2,NA,"2022-02-27"
"147",NA,"Russia","KamAZ 6x6","abandoned","https://postimg.cc/VS80VkP5",22,134,2,NA,"2022-02-27"
"148",NA,"Russia","KamAZ 6x6","abandoned","https://postimg.cc/CznZMqFz",22,135,2,NA,"2022-02-27"
"164",NA,"Russia","Unknown vehicle","destroyed","https://i.postimg.cc/v8Jyk5sf/4k.png",51,148,1,NA,"2022-02-27"
"182",NA,"Soviet Union","BRDM-2","abandoned","https://i.postimg.cc/cLp0yYYV/795.png",54,165,2,NA,"2022-02-27"
"183",NA,"Soviet Union","MT-LBu","abandoned","https://i.postimg.cc/D00sLq8C/Screenshot-8261.png",8,166,2,NA,"2022-02-27"
"185",NA,"Ukraine","BSEM-4K","destroyed","https://i.postimg.cc/5yjhTNPP/Screenshot-8306.png",56,168,1,NA,"2022-02-27"
"197",NA,"Ukraine","BTR-4","destroyed","https://i.postimg.cc/LXydxZVY/Screenshot-8305.png",58,178,1,NA,"2022-02-27"
"204",NA,"Ukraine","Unknown BTR","abandoned","https://i.postimg.cc/524HCBT8/b1.png",61,185,2,NA,"2022-02-27"
"206",NA,"Ukraine","Varta","captured","https://i.postimg.cc/rmJCSVgp/g1.png",63,187,4,NA,"2022-02-27"
"207",NA,"Ukraine","Varta","captured","https://i.postimg.cc/MpqsfLzt/66590.png",63,188,4,NA,"2022-02-27"
"217",NA,"Soviet Union","Buk-M1","destroyed","https://i.postimg.cc/65Hjk0rQ/5542.png",68,198,1,NA,"2022-02-27"
"239",NA,"Soviet Union","GAZ-66","abandoned","https://i.postimg.cc/qvyKsBvd/Screenshot-8260.png",43,217,2,NA,"2022-02-27"
"256",NA,"Belarus","MAZ","abandoned","https://i.postimg.cc/ZRVpWfKB/Screenshot-8260.png",79,234,2,NA,"2022-02-27"
