,country,origin,system,status,url,sysID,imageID,statusID,matID,Date
7,Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/T1X85D34/443fp.png,3,7,3,7-373,03/07/2022
11,Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/258nmcdH/443l.png,3,10,3,7-3103,03/07/2022
26,Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/8PQKDG7t/ta2.png,3,23,2,7-3232,03/07/2022
28,Russia,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/VLBGh0Lz/3dd1.jpg,4,25,3,7-4253,03/07/2022
44,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/zf1qWFGh/4f20.png,6,41,3,7-6413,03/07/2022
46,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/j5CJ7pm9/4fgh.png,6,43,3,7-6433,03/07/2022
47,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/cL1v8KKC/4fs.png,6,44,3,7-6443,03/07/2022
48,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/d0FgkBKX/34f.png,6,45,3,7-6453,03/07/2022
67,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/3wPF3jtz/331.png,6,63,2,7-6632,03/07/2022
68,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/WpJWQz1d/ta1.png,6,64,2,7-6642,03/07/2022
69,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/RFS7hm3f/d15.png,6,65,2,7-6652,03/07/2022
70,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/rpYCXVgJ/4436.png,6,66,2,7-6662,03/07/2022
71,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/43hnyXsw/d138.png,6,67,2,7-6672,03/07/2022
110,Russia,Russia,T-80U,captured,https://i.postimg.cc/nrLk93TH/d2c.png,8,104,2,7-81042,03/07/2022
111,Russia,Russia,T-80U,captured,https://i.postimg.cc/Kcg5Wc8N/o1.png,8,105,2,7-81052,03/07/2022
137,Russia,Russia,T-90A,captured,https://i.postimg.cc/907C3bwz/3324.png,11,128,2,7-111282,03/07/2022
140,Russia,Russia,Unknown tank,destroyed,https://i.postimg.cc/Tw5GDxqp/ff13.png,12,131,3,7-121313,03/07/2022
153,Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/x86mN0TW/c13.jpg,15,144,3,7-151443,03/07/2022
154,Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/CxNSkmyp/763.png,15,145,3,7-151453,03/07/2022
189,Russia,Soviet Union,MT-LB,captured,https://i.postimg.cc/zBynjsCc/k87.jpg,15,179,2,7-151792,03/07/2022
193,Russia,Soviet Union,MT-LB Ambulance,destroyed,https://i.postimg.cc/857p1Nfy/dd25.png,18,183,3,7-181833,03/07/2022
214,Russia,Soviet Union,1V119 artillery battalion fire direction vehicle,captured,https://i.postimg.cc/J7kqnFJ0/ff2v.jpg,24,203,2,7-242032,03/07/2022
224,Russia,Soviet Union,Unknown BTR-D/BMD-2,destroyed,https://i.postimg.cc/TwswzQQW/f69.png,26,213,3,7-262133,03/07/2022
