"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"3508","Russia","Soviet Union","811 BMP-2(K)","destroyed","https://i.postimg.cc/ydz8Z3P1/3217.png","2023-04-02",52,3209,2,"7-5232092","04/02/2023"
"6337","Russia","Soviet Union","53 122mm 2S1 Gvozdika","destroyed","https://i.postimg.cc/cJV6s5jb/1320.png","2023-04-02",190,5739,2,"7-19057392","04/02/2023"
"6615","Russia","Soviet Union","240mm 2S4 Tyulpan","destroyed","https://twitter.com/UAWeapons/status/1642464581237846016","2023-04-02",196,6001,2,"7-19660012","04/02/2023"
"7207","Russia","Russia","Orlan-10","destroyed","https://postimg.cc/gxYkrFV4","2023-04-02",281,6535,2,"7-28165352","04/02/2023"
"7384","Russia","Soviet Union","GAZ-66","destroyed","https://postlmg.cc/XZc3Z5q3","2023-04-02",308,6708,2,"7-30867082","04/02/2023"
"7398","Russia","Soviet Union","KrAZ-255B","destroyed","https://i.postimg.cc/FRMSBKN1/77690.png","2023-04-02",309,6722,2,"7-30967222","04/02/2023"
"7404","Russia","Soviet Union","KrAZ-255B tanker","destroyed","https://postlmg.cc/v1gYDv6k","2023-04-02",310,6728,2,"7-31067282","04/02/2023"
"7876","Russia","Russia","631 Ural-4320","abandoned","https://postimg.cc/VJT1p7p5","2023-04-02",320,7168,4,"7-32071684","04/02/2023"
"8179","Russia","Russia","155 Ural-4320 tanker","captured","https://i.postimg.cc/P5XS4SS9/669.jpg","2023-04-02",321,7441,1,"7-32174411","04/02/2023"
"8339","Russia","Russia","11 Ural-63704-0010 Tornado-U","destroyed","https://postlmg.cc/QFCFTbj3","2023-04-02",326,7583,2,"7-32675832","04/02/2023"
"8831","Russia","Russia","708 KamAZ 6x6","destroyed","https://postlmg.cc/3d2Q7pJv","2023-04-02",330,8033,2,"7-33080332","04/02/2023"
"8925","Russia","Russia","708 KamAZ 6x6","captured","https://postimg.cc/NKMzZjc7","2023-04-02",330,8110,1,"7-33081101","04/02/2023"
"8989","Russia","Russia","708 KamAZ 6x6","captured","https://i.postimg.cc/gkHWjBwT/66530.png","2023-04-02",330,8153,1,"7-33081531","04/02/2023"
"9013","Russia","Russia","708 KamAZ 6x6","captured","https://i.postimg.cc/0NDRgWqn/242.png","2023-04-02",330,8174,1,"7-33081741","04/02/2023"
"9019","Russia","Russia","118 KamAZ 6x6 tanker","destroyed","https://i.postimg.cc/Twdm8sDv/4357.png","2023-04-02",331,8180,2,"7-33181802","04/02/2023"
"9066","Russia","Russia","118 KamAZ 6x6 tanker","destroyed","https://postlmg.cc/kVZtRt48","2023-04-02",331,8226,2,"7-33182262","04/02/2023"
"9109","Russia","Russia","118 KamAZ 6x6 tanker","captured","https://postimg.cc/tYb8PhP1","2023-04-02",331,8264,1,"7-33182641","04/02/2023"
"9208","Russia","Russia","KamAZ-6350 8x8 artillery tractor","destroyed","https://postlmg.cc/68HGQW8g","2023-04-02",336,8352,2,"7-33683522","04/02/2023"
"9209","Russia","Russia","KamAZ-6350 8x8 artillery tractor","destroyed","https://postlmg.cc/LqngYcfX","2023-04-02",336,8353,2,"7-33683532","04/02/2023"
"9210","Russia","Russia","KamAZ-6350 8x8 artillery tractor","destroyed","https://postlmg.cc/v1kgW0Lv","2023-04-02",336,8354,2,"7-33683542","04/02/2023"
"9299","Russia","Russia","UAZ-23632 pickup truck","destroyed","https://i.postimg.cc/wMFWNrC6/4438.png","2023-04-02",344,8424,2,"7-34484242","04/02/2023"
"9326","Russia","Russia","(Unknown) truck","destroyed","https://postlmg.cc/v4bQxHt1","2023-04-02",349,8445,2,"7-34984452","04/02/2023"
"9345","Russia","Russia","(Unknown) truck","destroyed","https://postlmg.cc/DJ2hN2YC","2023-04-02",349,8460,2,"7-34984602","04/02/2023"
"9346","Russia","Russia","(Unknown) truck","destroyed","https://postlmg.cc/fSyNw8sm","2023-04-02",349,8461,2,"7-34984612","04/02/2023"
"10440","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/k5YyM9Fv/55410.png","2023-04-02",380,9476,2,"380-38094762","04/02/2023"
"10728","Ukraine","Ukraine","78 BTR-4","destroyed","https://i.postimg.cc/hGbybHBk/588.png","2023-04-02",391,9743,2,"380-39197432","04/02/2023"
"10821","Ukraine","Ukraine","BTR-70M","captured","https://i.postimg.cc/DyqN5JnJ/3f67.png","2023-04-02",394,9829,1,"380-39498291","04/02/2023"
"10962","Ukraine","United States","19 M113","destroyed","https://i.postimg.cc/MK9fJXpX/8755.png","2023-04-02",402,9960,2,"380-40299602","04/02/2023"
"11019","Ukraine","Germany","1 ATF Dingo","destroyed","https://i.postimg.cc/3ND29vGk/5480.png","2023-04-02",413,10013,2,"380-413100132","04/02/2023"
