"","country","system","captured","destroyed","abandoned","damaged","total","Date"
"1",NA,"120mm mortar",2,0,0,0,2,2022-02-27
"2",NA,"122mm 2S1 Gvozdika",2,0,0,0,2,2022-02-27
"3",NA,"122mm BM-21 'Grad'",2,2,0,0,4,2022-02-27
"4",NA,"152mm 2A65 Msta-B howitzer",2,2,2,1,7,2022-02-27
"5",NA,"1L22 'Parol'",0,1,0,1,2,2022-02-27
"6",NA,"2K22M1 Tunguska",0,0,1,1,2,2022-02-27
"7",NA,"2S1 Gvozdika with ZU-23 AA gun",1,0,0,0,1,2022-02-27
"8",NA,"5P85D (launcher for S-300PS)",0,1,0,0,1,2022-02-27
"9",NA,"9A310M1-2 TELAR (launcher and radar for Buk-M1-2)",0,0,0,1,1,2022-02-27
"10",NA,"9K33 Osa",0,3,0,0,3,2022-02-27
"11",NA,"9M113 Konkurs",1,0,0,0,1,2022-02-27
"12",NA,"9P149 Shturm-S ATGM carrier",0,1,0,0,1,2022-02-27
"13",NA,"9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,1,0,0,1,2022-02-27
"14",NA,"9М131F Metis-M1",1,0,0,0,1,2022-02-27
"15",NA,"An-26 transport aircraft",0,2,0,0,2,2022-02-27
"16",NA,"BMD-2",1,0,1,0,2,2022-02-27
"17",NA,"BMD-4M",0,1,1,0,2,2022-02-27
"18",NA,"BMP-1",0,2,4,0,6,2022-02-27
"19",NA,"BMP-2",3,3,5,2,13,2022-02-27
"20",NA,"BRDM-2",0,0,8,0,8,2022-02-27
"21",NA,"BREM-K armoured recovery vehicle",1,0,0,0,1,2022-02-27
"22",NA,"BRM-1K",1,0,0,0,1,2022-02-27
"23",NA,"BSEM-4K",0,1,0,0,1,2022-02-27
"24",NA,"BTR-3",1,0,0,0,1,2022-02-27
"25",NA,"BTR-4",2,3,1,0,6,2022-02-27
"26",NA,"BTR-70",1,0,1,0,2,2022-02-27
"27",NA,"BTR-80",1,2,0,0,3,2022-02-27
"28",NA,"BTR-82A",1,0,0,0,1,2022-02-27
"29",NA,"BTR-D",2,1,0,0,3,2022-02-27
"30",NA,"Buk-M1",0,1,0,0,1,2022-02-27
"31",NA,"GAZ Sobol",0,1,1,0,2,2022-02-27
"32",NA,"GAZ Tigr-M",2,6,1,1,10,2022-02-27
"33",NA,"GAZ-3308",0,0,2,0,2,2022-02-27
"34",NA,"GAZ-66",4,2,3,3,12,2022-02-27
