"","country","system","abandoned","captured","destroyed","damaged","total","Date"
"1",NA,"100mm MT-12 anti-tank gun",1,1,0,0,2,2022-03-03
"2",NA,"120mm 2B11/2S12",0,1,0,0,1,2022-03-03
"3",NA,"120mm 2B11/2S12A",0,1,0,0,1,2022-03-03
"4",NA,"120mm 2S9 Nona",1,0,1,0,2,2022-03-03
"5",NA,"122mm 2B17 Tornado-G",0,0,1,0,1,2022-03-03
"6",NA,"122mm 2S1 Gvozdika",1,3,2,0,6,2022-03-03
"7",NA,"122mm BM-21 'Grad'",1,3,3,1,8,2022-03-03
"8",NA,"122mm D-30 howitzer 2A18",3,0,1,0,4,2022-03-03
"9",NA,"152mm 2A65 Msta-B howitzer",2,2,2,1,7,2022-03-03
"10",NA,"152mm 2S19 Msta-S",4,1,1,0,6,2022-03-03
"11",NA,"152mm 2S3 Akatsiya",2,1,1,0,4,2022-03-03
"12",NA,"1L22 'Parol'",0,0,1,1,2,2022-03-03
"13",NA,"1V119 artillery battalion fire direction vehicle",0,1,0,0,1,2022-03-03
"14",NA,"1V13 battery fire control center",1,0,0,0,1,2022-03-03
"15",NA,"220mm TOS-1A",0,1,0,0,1,2022-03-03
"16",NA,"23mm ZU-23",0,1,0,0,1,2022-03-03
"17",NA,"2K22M1 Tunguska",2,1,0,1,4,2022-03-03
"18",NA,"2S1 with ZU-23 AA gun",0,1,0,0,1,2022-03-03
"19",NA,"5P85D (launcher for S-300PS)",0,0,1,0,1,2022-03-03
"20",NA,"9A310M1 TELAR (for Buk-M1-2)",0,0,1,1,2,2022-03-03
"21",NA,"9A310M2 TELAR (for Buk-M2)",0,0,1,0,1,2022-03-03
"22",NA,"9A39M1 TEL (for Buk-M1-2)",0,0,1,0,1,2022-03-03
"23",NA,"9A39M2 TEL (for Buk-M2)",0,0,1,0,1,2022-03-03
"24",NA,"9K310 Igla-1",0,3,0,0,3,2022-03-03
"25",NA,"9K33 Osa",1,2,5,0,8,2022-03-03
"26",NA,"9K35 Strela-10",3,1,1,0,5,2022-03-03
"27",NA,"9K38 Igla",0,3,0,0,3,2022-03-03
"28",NA,"9M113 Konkurs",0,5,0,0,5,2022-03-03
"29",NA,"9M114 Kokon",0,1,0,0,1,2022-03-03
"30",NA,"9P148 Konkurs ATGM carrier",0,1,2,0,3,2022-03-03
"31",NA,"9P149 Shturm-S ATGM carrier",1,0,1,0,2,2022-03-03
"32",NA,"9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,1,0,1,2022-03-03
"33",NA,"9М131F Metis-M1",0,1,0,0,1,2022-03-03
"34",NA,"An-26 transport aircraft",0,0,2,0,2,2022-03-03
"35",NA,"AT105A 'Saxon'",0,1,0,0,1,2022-03-03
"36",NA,"Barnaul-T 9С932-1 automated system for air defence units",1,0,0,0,1,2022-03-03
"37",NA,"BAT-2 heavy engineering vehicle",0,0,1,0,1,2022-03-03
"38",NA,"BMD-2",5,4,3,2,14,2022-03-03
"39",NA,"BMD-4M",1,1,1,0,3,2022-03-03
"40",NA,"BMP-1",5,0,3,1,9,2022-03-03
"41",NA,"BMP-1(P)",0,3,0,0,3,2022-03-03
"42",NA,"BMP-1Khs",1,0,1,0,2,2022-03-03
"43",NA,"BMP-2",11,5,9,5,30,2022-03-03
"44",NA,"BMP-2K",1,0,0,0,1,2022-03-03
"45",NA,"BMP-3",2,5,2,0,9,2022-03-03
"46",NA,"BRDM-2",8,4,3,0,15,2022-03-03
"47",NA,"BREM-K armoured recovery vehicle",0,2,0,0,2,2022-03-03
"48",NA,"BRM-1K",0,2,3,1,6,2022-03-03
"49",NA,"BSEM-4K",0,0,1,0,1,2022-03-03
"50",NA,"BTR-3",0,2,1,0,3,2022-03-03
"51",NA,"BTR-4",1,7,5,0,13,2022-03-03
"52",NA,"BTR-60",0,2,0,0,2,2022-03-03
"53",NA,"BTR-70",1,3,0,0,4,2022-03-03
"54",NA,"BTR-80",2,12,4,0,18,2022-03-03
"55",NA,"BTR-82A",5,7,5,2,19,2022-03-03
"56",NA,"BTR-D",7,1,4,0,12,2022-03-03
"57",NA,"BTR-MDM",0,1,0,0,1,2022-03-03
"58",NA,"Buk-M1",0,0,1,0,1,2022-03-03
"59",NA,"E95M (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",0,1,0,0,1,2022-03-03
"60",NA,"Fuel train",0,0,2,0,2,2022-03-03
"61",NA,"GAZ Sobol",1,0,1,0,2,2022-03-03
"62",NA,"GAZ Tigr-M",1,6,9,1,17,2022-03-03
"63",NA,"GAZ Tigr-M with Arbalet-DM turret",0,0,1,0,1,2022-03-03
"64",NA,"GAZ-3308",2,0,0,0,2,2022-03-03
"65",NA,"GAZ-66",3,5,2,3,13,2022-03-03
"66",NA,"HMMWV",0,0,1,0,1,2022-03-03
"67",NA,"IMR-2 combat engineering vehicle",0,0,1,0,1,2022-03-03
"68",NA,"Iveco LMV 'Rys'",1,1,3,0,5,2022-03-03
"69",NA,"K-4386 Typhoon-VDV",0,0,1,0,1,2022-03-03
"70",NA,"Ka-52 'Alligator'",2,0,1,2,5,2022-03-03
"71",NA,"KamAZ",0,0,1,0,1,2022-03-03
"72",NA,"KamAZ 6x6",13,16,37,3,69,2022-03-03
"73",NA,"KamAZ Avtozaks",0,1,3,0,4,2022-03-03
"74",NA,"KamAZ-5350 with crane",0,0,1,0,1,2022-03-03
"75",NA,"KamAZ-5350 with EOV-3523 excavator",0,3,1,0,4,2022-03-03
"76",NA,"KamAZ-5350 with KS-45719-7M crane",0,0,1,0,1,2022-03-03
"77",NA,"KamAZ-6350 8x8 artillery tractor",0,2,2,2,6,2022-03-03
"78",NA,"KamAZ-63968 Typhoon",0,2,1,0,3,2022-03-03
"79",NA,"Kozak-2",1,1,1,0,3,2022-03-03
"80",NA,"KrAZ-6322",0,5,1,0,6,2022-03-03
"81",NA,"MAZ",1,0,7,1,9,2022-03-03
"82",NA,"MAZ-537",0,0,1,0,1,2022-03-03
"83",NA,"MBT LAW 'NLAW'",0,3,0,0,3,2022-03-03
"84",NA,"Mi-24",0,0,1,0,1,2022-03-03
"85",NA,"Mi-35M",0,0,1,0,1,2022-03-03
"86",NA,"MP-2IM signals vehicle",1,0,0,0,1,2022-03-03
"87",NA,"MT-LB",8,12,8,0,28,2022-03-03
"88",NA,"MT-LB Ambulance",1,0,0,0,1,2022-03-03
"89",NA,"MT-LB with ZU-23 AA gun",0,0,1,0,1,2022-03-03
"90",NA,"MT-LBu",4,2,3,1,10,2022-03-03
"91",NA,"Novator",0,1,0,0,1,2022-03-03
"92",NA,"P-14 'Tall King'",0,0,0,1,1,2022-03-03
"93",NA,"P-35/37 'Bar Lock'",0,0,1,0,1,2022-03-03
"94",NA,"Pantsir-S1",0,1,1,0,2,2022-03-03
"95",NA,"PMP floating bridge",0,0,2,0,2,2022-03-03
"96",NA,"PRV-13 'Odd Pair'",0,0,1,0,1,2022-03-03
"97",NA,"R-149MA1 unified command and staff vehicle",2,2,1,1,6,2022-03-03
"98",NA,"R-166-0.5 signals vehicle",1,0,1,0,2,2022-03-03
"99",NA,"R-330BMV Borisoglebsk-2B",0,0,0,1,1,2022-03-03
"100",NA,"R-419L1 communications station",1,0,0,0,1,2022-03-03
"101",NA,"RK-3 Corsar",0,1,0,0,1,2022-03-03
"102",NA,"Su-25 attack aircraft",0,0,2,0,2,2022-03-03
"103",NA,"Su-25 strike aircraft",0,0,2,0,2,2022-03-03
"104",NA,"Su-27 fighter aircraft",0,0,2,0,2,2022-03-03
"105",NA,"Su-30SM",0,0,1,0,1,2022-03-03
"106",NA,"T-64BV",7,5,8,1,21,2022-03-03
"107",NA,"T-72A",0,1,0,0,1,2022-03-03
"108",NA,"T-72AV",0,1,0,0,1,2022-03-03
"109",NA,"T-72B",3,3,3,1,10,2022-03-03
"110",NA,"T-72B Obr. 1989",1,1,0,0,2,2022-03-03
"111",NA,"T-72B3",0,2,2,1,5,2022-03-03
"112",NA,"T-72B3M",6,4,6,0,16,2022-03-03
"113",NA,"T-80BV",3,3,1,1,8,2022-03-03
"114",NA,"T-80BVM",1,2,1,0,4,2022-03-03
"115",NA,"T-80U",9,3,4,0,16,2022-03-03
"116",NA,"T-80UD",1,1,1,0,3,2022-03-03
"117",NA,"T-90A",2,0,2,0,4,2022-03-03
"118",NA,"TMM-3 bridge layer",2,4,1,1,8,2022-03-03
"119",NA,"Tor-M2",0,1,1,0,2,2022-03-03
"120",NA,"UAZ Patriot",1,0,0,0,1,2022-03-03
"121",NA,"UAZ-469",0,1,0,0,1,2022-03-03
"122",NA,"Unknown AFV",0,0,1,0,1,2022-03-03
"123",NA,"Unknown BTR",1,0,0,0,1,2022-03-03
"124",NA,"Unknown BTR-D/BMD-2",0,0,7,0,7,2022-03-03
"125",NA,"Unknown communications station",0,0,1,0,1,2022-03-03
"126",NA,"Unknown communications station based on the KamAZ 6x6",0,1,0,1,2,2022-03-03
"127",NA,"Unknown Mi-24/35",0,0,1,1,2,2022-03-03
"128",NA,"Unknown tank",1,0,0,0,1,2022-03-03
"129",NA,"Unknown truck",3,3,10,2,18,2022-03-03
"130",NA,"Unknown vehicle",0,0,3,0,3,2022-03-03
"131",NA,"UR-77 'Meterorit'",1,1,0,0,2,2022-03-03
"132",NA,"Ural Federal",3,0,1,0,4,2022-03-03
"133",NA,"Ural-375D",0,1,1,0,2,2022-03-03
"134",NA,"Ural-4320",7,27,17,3,54,2022-03-03
"135",NA,"Ural-4320 Wrecker",0,1,0,1,2,2022-03-03
"136",NA,"Ural-43206",1,4,1,0,6,2022-03-03
"137",NA,"Ural-542301 tank transporter",1,0,0,0,1,2022-03-03
"138",NA,"Varta",0,6,0,0,6,2022-03-03
"139",NA,"ZiL-131",3,1,4,0,8,2022-03-03
