"","country","system","captured","abandoned","destroyed","damaged","total","Date"
"1","Russia","120mm 2B11/2S12",2,0,0,0,2,2022-03-06
"2","Russia","120mm 2B11/2S12A",1,0,0,0,1,2022-03-06
"3","Russia","120mm 2S9 Nona",1,1,1,0,3,2022-03-06
"4","Russia","122mm 2B17 Tornado-G",0,0,1,0,1,2022-03-06
"5","Russia","122mm 2S1 Gvozdika",0,1,0,0,1,2022-03-06
"6","Russia","122mm BM-21 'Grad'",6,2,4,1,13,2022-03-06
"7","Russia","122mm D-30 howitzer 2A18",2,3,1,0,6,2022-03-06
"8","Russia","152mm 2A65 Msta-B howitzer",2,0,3,1,6,2022-03-06
"9","Russia","152mm 2S19 Msta-S",3,5,1,0,9,2022-03-06
"10","Russia","152mm 2S3 Akatsiya",1,2,1,0,4,2022-03-06
"11","Russia","1V119 artillery battalion fire direction vehicle",1,0,0,0,1,2022-03-06
"12","Russia","1V13 battery fire control center",0,1,0,0,1,2022-03-06
"13","Russia","220mm TOS-1A",1,0,0,0,1,2022-03-06
"14","Russia","2K22M1 Tunguska",0,4,2,1,7,2022-03-06
"15","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,2022-03-06
"16","Russia","9A310M1 TELAR (for Buk-M1-2)",0,0,1,1,2,2022-03-06
"17","Russia","9A310M2 TELAR (for Buk-M2)",0,0,1,0,1,2022-03-06
"18","Russia","9A330 Tor TLAR (for 9K330 Tor-M)",2,0,0,0,2,2022-03-06
"19","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,0,0,0,1,2022-03-06
"20","Russia","9A331M TLAR (for 9K332 Tor-M2)",0,0,1,0,1,2022-03-06
"21","Russia","9A331MU TLAR (for 9K332MU Tor-M2U)",0,0,1,0,1,2022-03-06
"22","Russia","9A39M1 TEL (for Buk-M1-2)",0,0,1,0,1,2022-03-06
"23","Russia","9A39M2 TEL (for Buk-M2)",0,0,1,0,1,2022-03-06
"24","Russia","9K33 Osa",2,1,1,0,4,2022-03-06
"25","Russia","9K333 Verba",2,0,0,0,2,2022-03-06
"26","Russia","9K35 Strela-10",1,3,0,0,4,2022-03-06
"27","Russia","9K38 Igla",2,0,0,0,2,2022-03-06
"28","Russia","9M111 Fagot",3,0,0,0,3,2022-03-06
"29","Russia","9M113 Konkurs",13,0,0,0,13,2022-03-06
"30","Russia","9M113M Konkurs-M",1,0,0,0,1,2022-03-06
"31","Russia","9M114 Kokon",1,0,0,0,1,2022-03-06
"32","Russia","9P149 Shturm-S ATGM carrier",0,1,1,0,2,2022-03-06
"33","Russia","9S18М1(-1) (for Buk-M1-2)",0,0,1,0,1,2022-03-06
"34","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,1,0,1,2022-03-06
"35","Russia","9М131F Metis-M1",1,0,0,0,1,2022-03-06
"36","Russia","An-26 transport aircraft",0,0,1,0,1,2022-03-06
"37","Russia","Barnaul-T 9С932-1 automated system for air defence units",1,1,0,0,2,2022-03-06
"38","Russia","BAT-2 heavy engineering vehicle",0,0,1,0,1,2022-03-06
"39","Russia","BMD-2",18,5,10,2,35,2022-03-06
"40","Russia","BMD-4M",3,1,1,0,5,2022-03-06
"41","Russia","BMP-1(P)",3,0,4,0,7,2022-03-06
"42","Russia","BMP-1Khs",0,1,0,0,1,2022-03-06
"43","Russia","BMP-2",13,12,18,5,48,2022-03-06
"44","Russia","BMP-2K",0,1,0,0,1,2022-03-06
"45","Russia","BMP-3",7,0,4,1,12,2022-03-06
"46","Russia","BREM-1 armoured recovery vehicle",1,0,0,0,1,2022-03-06
"47","Russia","BREM-K armoured recovery vehicle",2,0,0,0,2,2022-03-06
"48","Russia","BRM-1K",0,0,3,0,3,2022-03-06
"49","Russia","BTR-80",13,2,7,1,23,2022-03-06
"50","Russia","BTR-82A",7,5,5,2,19,2022-03-06
"51","Russia","BTR-D",9,8,5,0,22,2022-03-06
"52","Russia","BTR-MDM 'Rakusha'",3,0,0,0,3,2022-03-06
"53","Russia","E95M (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",1,0,0,0,1,2022-03-06
"54","Russia","Fuel train",0,0,2,0,2,2022-03-06
"55","Russia","GAZ Sobol",0,1,1,0,2,2022-03-06
"56","Russia","GAZ Tigr-M",10,1,14,1,26,2022-03-06
"57","Russia","GAZ-3308",0,2,0,0,2,2022-03-06
"58","Russia","GAZ-66",1,0,0,0,1,2022-03-06
"59","Russia","GMZ-3 minelater",1,0,0,0,1,2022-03-06
"60","Russia","IMR-2 combat engineering vehicle",0,0,1,0,1,2022-03-06
"61","Russia","Iveco LMV 'Rys'",1,1,4,0,6,2022-03-06
"62","Russia","K-4386 Typhoon-VDV",0,0,1,0,1,2022-03-06
"63","Russia","Ka-52 'Alligator' attack helicopter",0,2,0,2,4,2022-03-06
"64","Russia","KamAZ 6x6",27,12,49,3,91,2022-03-06
"65","Russia","KamAZ Avtozaks",1,0,2,0,3,2022-03-06
"66","Russia","KamAZ with armoured cabin",0,1,1,0,2,2022-03-06
"67","Russia","KamAZ-5350 with crane",0,0,1,0,1,2022-03-06
"68","Russia","KamAZ-5350 with EOV-3523 excavator",3,0,1,0,4,2022-03-06
"69","Russia","KamAZ-5350 with KS-45719-7M crane",0,0,1,0,1,2022-03-06
"70","Russia","KamAZ-6350 8x8 artillery tractor",2,0,2,2,6,2022-03-06
"71","Russia","KamAZ-63968 Typhoon",2,0,1,0,3,2022-03-06
"72","Russia","Mi-24 attack helicopter",0,0,1,0,1,2022-03-06
"73","Russia","Mi-35M attack helicopter",0,0,2,0,2,2022-03-06
"74","Russia","Mi-8 transport helicopter",0,0,2,0,2,2022-03-06
