"","country","system","captured","damaged","destroyed","abandoned","total","Date"
"1","Russia","(Unknown) vehicle",1,2,21,0,24,"04/20/2022"
"2","Russia","100mm MT-12 anti-tank gun",1,0,0,0,1,"04/20/2022"
"3","Russia","120mm 2B11/2S12",5,0,3,0,8,"04/20/2022"
"4","Russia","120mm 2B11/2S12A",1,0,0,0,1,"04/20/2022"
"5","Russia","120mm 2B16 Nona-K howitzer",3,1,0,3,7,"04/20/2022"
"6","Russia","120mm 2S23 Nona-SVK",1,0,0,0,1,"04/20/2022"
"7","Russia","120mm 2S34 Khosta",2,0,0,0,2,"04/20/2022"
"8","Russia","120mm 2S9 Nona",4,0,2,1,7,"04/20/2022"
"9","Russia","122mm 2B17 Tornado-G",2,0,2,0,4,"04/20/2022"
"10","Russia","122mm 2S1 Gvozdika",3,0,6,1,10,"04/20/2022"
"11","Russia","122mm BM-21 'Grad'",18,2,15,5,40,"04/20/2022"
"12","Russia","122mm D-30 howitzer 2A18",8,0,1,2,11,"04/20/2022"
"13","Russia","152mm 2A65 Msta-B howitzer",8,3,6,1,18,"04/20/2022"
"14","Russia","152mm 2S19 Msta-S",18,1,20,9,48,"04/20/2022"
"15","Russia","152mm 2S3 Akatsiya",7,1,12,6,26,"04/20/2022"
"16","Russia","152mm 2S33 Msta-SM2",3,0,0,0,3,"04/20/2022"
"17","Russia","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",1,0,1,0,2,"04/20/2022"
"18","Russia","1L262E Rtut-BM",0,0,1,0,1,"04/20/2022"
"19","Russia","1RL257 Krasukha-4 (command post)",1,0,0,0,1,"04/20/2022"
"20","Russia","1V119 artillery fire direction vehicle",5,0,1,0,6,"04/20/2022"
"21","Russia","1V13 battery fire control center",3,0,3,3,9,"04/20/2022"
"22","Russia","1V14 battery command and forward observer vehicle",3,1,0,1,5,"04/20/2022"
"23","Russia","220mm BM-27 'Uragan'",3,0,5,0,8,"04/20/2022"
"24","Russia","220mm TOS-1A",4,2,0,1,7,"04/20/2022"
"25","Russia","23mm ZU-23",4,0,0,0,4,"04/20/2022"
"26","Russia","2K22M1 Tunguska",1,2,2,4,9,"04/20/2022"
"27","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,"04/20/2022"
"28","Russia","9A310M1-2 TELAR (for Buk-M1-2)",0,1,2,0,3,"04/20/2022"
"29","Russia","9A316 TEL (for Buk-M2)",2,0,1,0,3,"04/20/2022"
"30","Russia","9A317 TELAR (for Buk-M2)",1,0,5,0,6,"04/20/2022"
"31","Russia","9A330 Tor TLAR (for 9K330 Tor)",6,4,0,2,12,"04/20/2022"
"32","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,0,2,1,4,"04/20/2022"
"33","Russia","9A331M TLAR (for 9K332 Tor-M2)",1,0,1,0,2,"04/20/2022"
"34","Russia","9A39M1-2 TEL (for Buk-M1-2)",0,0,5,0,5,"04/20/2022"
"35","Russia","9K33 Osa",2,1,2,2,7,"04/20/2022"
"36","Russia","9K35 Strela-10",3,0,2,3,8,"04/20/2022"
"37","Russia","9P149 Shturm-S ATGM carrier",5,0,2,3,10,"04/20/2022"
"38","Russia","9P163M-1 'Kornet-T' ATGM carrier",0,0,1,0,1,"04/20/2022"
"39","Russia","9S18М1(-2) (for Buk-M2)",1,0,0,0,1,"04/20/2022"
"40","Russia","9S18М1(-3) (for Buk-M3)",0,0,1,0,1,"04/20/2022"
"41","Russia","9S36 (for Buk-M2)",1,0,1,0,2,"04/20/2022"
"42","Russia","9S470M1 (or variant thereof) command post (for Buk-M1/2)",0,0,1,0,1,"04/20/2022"
"43","Russia","9S932-2 intelligence, control and command vehicle (for Barnaul-T)",0,0,0,1,1,"04/20/2022"
"44","Russia","9T217 transloader (for 9K33 Osa)",1,0,1,0,2,"04/20/2022"
"45","Russia","9T244 transloader (for 9A330/1 Tor)",1,1,1,0,3,"04/20/2022"
"46","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",4,0,6,0,10,"04/20/2022"
"47","Russia","An-26 transport aircraft",0,0,1,0,1,"04/20/2022"
"48","Russia","APE-5 command post",0,0,1,0,1,"04/20/2022"
"49","Russia","Armoured SUV",1,1,0,0,2,"04/20/2022"
"50","Russia","Barnaul-T 9С932-1 automated system for air defence units",4,0,0,1,5,"04/20/2022"
"51","Russia","BAT-2 heavy engineering vehicle",1,0,2,0,3,"04/20/2022"
"52","Russia","BMD-1KSh-A command vehicle",0,0,2,0,2,"04/20/2022"
"53","Russia","BMD-2",41,2,47,7,97,"04/20/2022"
"54","Russia","BMD-4M",11,0,21,1,33,"04/20/2022"
"55","Russia","BMK-130M/BMK-150 towing and motor boat",0,0,0,1,1,"04/20/2022"
"56","Russia","BMO-T",0,0,1,0,1,"04/20/2022"
"57","Russia","BMP-1(P)",13,1,16,1,31,"04/20/2022"
"58","Russia","BMP-1KSh",3,0,1,0,4,"04/20/2022"
"59","Russia","BMP-2",47,9,119,19,194,"04/20/2022"
"60","Russia","BMP-2K",0,0,0,1,1,"04/20/2022"
"61","Russia","BMP-3",33,3,35,0,71,"04/20/2022"
"62","Russia","BRDM-2",0,0,1,0,1,"04/20/2022"
"63","Russia","BREM-1 armoured recovery vehicle",7,0,0,1,8,"04/20/2022"
"64","Russia","BREM-2 armoured recovery vehicle",1,0,0,0,1,"04/20/2022"
"65","Russia","BREM-Ch ''BREM-4'' armoured recovery vehicle",1,0,3,1,5,"04/20/2022"
"66","Russia","BREM-K armoured recovery vehicle",2,0,0,0,2,"04/20/2022"
"67","Russia","BRM-1K",1,0,7,0,8,"04/20/2022"
"68","Russia","BTR-60PU-12M air defence command vehicle",1,0,0,0,1,"04/20/2022"
"69","Russia","BTR-70",0,0,1,0,1,"04/20/2022"
"70","Russia","BTR-80",25,3,18,6,52,"04/20/2022"
"71","Russia","BTR-82A",39,4,57,7,107,"04/20/2022"
"72","Russia","BTR-D",21,1,10,7,39,"04/20/2022"
"73","Russia","BTR-MDM 'Rakushka'",7,1,2,0,10,"04/20/2022"
"74","Russia","BTR-ZD 'Skrezhet'",2,0,0,0,2,"04/20/2022"
"75","Russia","BTS-4A armoured recovery vehicle",1,0,0,0,1,"04/20/2022"
"76","Russia","Civilian KamAZ 6x6 converted for military use",2,0,1,0,3,"04/20/2022"
"77","Russia","E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",1,0,0,0,1,"04/20/2022"
"78","Russia","Eleron-3 reconnaissance UAV",5,0,0,0,5,"04/20/2022"
"79","Russia","Fara ground surveillance radar",1,0,0,0,1,"04/20/2022"
"80","Russia","Forpost reconnaissance UAV",0,0,1,0,1,"04/20/2022"
"81","Russia","Fuel train",0,0,2,0,2,"04/20/2022"
"82","Russia","GAZ Sobol",0,0,1,1,2,"04/20/2022"
"83","Russia","GAZ Tigr",2,0,1,1,4,"04/20/2022"
"84","Russia","GAZ Tigr-M",24,5,39,3,71,"04/20/2022"
"85","Russia","GAZ-3308",0,0,0,3,3,"04/20/2022"
"86","Russia","GAZ-3344-20 'Aleut' articulated tracked carrier",0,0,2,0,2,"04/20/2022"
"87","Russia","GAZ-66",5,0,5,1,11,"04/20/2022"
"88","Russia","GMZ-3 minelayer",1,0,0,0,1,"04/20/2022"
"89","Russia","IMR-2 combat engineering vehicle",4,0,2,2,8,"04/20/2022"
"90","Russia","IMR-3 combat engineering vehicle",1,0,0,0,1,"04/20/2022"
"91","Russia","Iveco LMV 'Rys'",3,2,16,1,22,"04/20/2022"
"92","Russia","K-53949 'Linza'",2,0,1,0,3,"04/20/2022"
"93","Russia","K-53949 'Typhoon-K'",2,0,5,1,8,"04/20/2022"
"94","Russia","Ka-52 'Alligator' attack helicopter",1,3,8,1,13,"04/20/2022"
"95","Russia","KamAZ 4x4",3,0,2,1,6,"04/20/2022"
"96","Russia","KamAZ 6x6",68,12,81,16,177,"04/20/2022"
