"","country","system","damaged","captured","abandoned","destroyed","total","Date"
"1","Russia","1 T-55A",1,0,0,0,1,"12/27/2023"
"2","Russia","1 T-62 Obr. 1967",0,1,0,0,1,"12/27/2023"
"3","Russia","1 T-62 Obr. 1972",0,0,1,0,1,"12/27/2023"
"4","Russia","1 T-62MV Obr. 2022",0,0,0,1,1,"12/27/2023"
"5","Russia","1 Unknown T-54/55",0,0,0,1,1,"12/27/2023"
"6","Russia","17 T-62MV",3,8,1,6,18,"12/27/2023"
"7","Russia","3 T-64A",1,0,0,2,3,"12/27/2023"
"8","Russia","66 T-62M",7,35,0,24,66,"12/27/2023"
"9","Russia","81 T-64BV",11,4,5,61,81,"12/27/2023"
"10","Russia","T-62M Obr. 2022",1,0,1,4,6,"12/27/2023"
"11","Ukraine","(Unknown) truck",6,11,2,133,152,"12/27/2023"
"12","Ukraine","1 120mm 2B16 Nona-K gun mortar",0,0,0,1,1,"12/27/2023"
"13","Ukraine","1 120mm ?1064?3",0,0,0,1,1,"12/27/2023"
"14","Ukraine","1 122mm Bastion-1",0,0,0,1,1,"12/27/2023"
"15","Ukraine","1 130mm M-46 field gun",1,0,0,0,1,"12/27/2023"
"16","Ukraine","1 155mm Panzerhaubitze 2000",1,0,0,0,1,"12/27/2023"
"17","Ukraine","1 155mm ShKH Zuzana 2",0,0,0,1,1,"12/27/2023"
"18","Ukraine","1 1B44-1 (RPMK-1) radiosonde weather radar",0,0,0,1,1,"12/27/2023"
"19","Ukraine","1 1L119 Nebo-SVU VHF multi-functional radar",0,0,0,1,1,"12/27/2023"
"20","Ukraine","1 1L220UK Zoopark-3 counter-battery radar",1,0,0,0,1,"12/27/2023"
"21","Ukraine","1 1RL239 Ark-1(M) counter-battery radar",0,0,0,1,1,"12/27/2023"
"22","Ukraine","1 1V1003 command and observation vehicle (for 1V198 artillery fire control system)",0,1,0,0,1,"12/27/2023"
"23","Ukraine","1 1V110 BM-21 Grad battery command vehicle",0,1,0,1,2,"12/27/2023"
"24","Ukraine","1 1V16 battalion fire direction vehicle",0,1,0,0,1,"12/27/2023"
"25","Ukraine","1 1V16M artillery battalion command and staff vehicle",0,0,0,1,1,"12/27/2023"
"26","Ukraine","1 220mm Bureviy",0,0,0,1,1,"12/27/2023"
"27","Ukraine","1 23mm 23 ItK 61",0,1,0,0,1,"12/27/2023"
"28","Ukraine","1 2F77M transloading vehicle for 2K22M Tunguska-M",1,1,0,0,2,"12/27/2023"
"29","Ukraine","1 2K22M Tunguska-M",0,1,0,0,1,"12/27/2023"
"30","Ukraine","1 55K6A command post for S-400",0,0,0,1,1,"12/27/2023"
"31","Ukraine","1 55Zh6U Nebo-U air surveillance radar",1,0,0,0,1,"12/27/2023"
"32","Ukraine","1 5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT)",0,1,0,0,1,"12/27/2023"
"33","Ukraine","1 5N63S ""Flap Lid B"" engagement and tracking radar of the S-300",0,0,0,1,1,"12/27/2023"
"34","Ukraine","1 79K6 'Pelikan' 3D surveillance radar",0,0,0,1,1,"12/27/2023"
"35","Ukraine","1 80K6M Mobile 3D Radar",0,0,0,1,1,"12/27/2023"
"36","Ukraine","1 80mm B-8 makeshift MRL",0,0,0,1,1,"12/27/2023"
"37","Ukraine","1 92N6A (for S-400)",0,0,0,1,1,"12/27/2023"
"38","Ukraine","1 9A330 Tor TLAR (for 9K330 Tor)",1,0,0,0,1,"12/27/2023"
"39","Ukraine","1 9A331MU TLAR for 9K331MU Tor-M1-2U (Tor-M2U)",0,0,0,1,1,"12/27/2023"
"40","Ukraine","1 9K132 Shturm-SM",0,0,0,1,1,"12/27/2023"
"41","Ukraine","1 9S18 Kupol (for Buk-M1-2/M2)",0,0,0,2,2,"12/27/2023"
"42","Ukraine","1 9S19M2 (for S-300V)",1,0,0,0,1,"12/27/2023"
"43","Ukraine","1 9S32M1 (for S-300V)",1,0,0,0,1,"12/27/2023"
"44","Ukraine","1 9S470M1 command vehicle for Buk-M1",0,0,0,1,1,"12/27/2023"
"45","Ukraine","1 AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320",0,0,0,1,1,"12/27/2023"
"46","Ukraine","1 AN-MPQ-64 Sentinel radr",0,0,0,1,1,"12/27/2023"
"47","Ukraine","1 APA-80 engine starting vehicle",0,0,0,1,1,"12/27/2023"
"48","Ukraine","1 ARTHUR counter-battery radar",0,0,0,1,1,"12/27/2023"
"49","Ukraine","1 ATs-10-260 Fuel Tanker",0,0,0,1,1,"12/27/2023"
"50","Ukraine","1 AeroVironment Quantix Recon UAV",0,1,0,0,1,"12/27/2023"
"51","Ukraine","1 Avenger",0,0,0,1,1,"12/27/2023"
"52","Ukraine","1 BMP-1U 'Shkval'",0,0,0,1,1,"12/27/2023"
"53","Ukraine","1 BMP-1U Shkval",0,1,0,0,1,"12/27/2023"
"54","Ukraine","1 BMR-2 mine-clearing tank",0,0,1,0,1,"12/27/2023"
"55","Ukraine","1 BREM-L armoured recovery vehicle",0,0,0,1,1,"12/27/2023"
"56","Ukraine","1 BTR-50",0,0,0,1,1,"12/27/2023"
"57","Ukraine","1 BTR-60PB",1,0,0,0,1,"12/27/2023"
"58","Ukraine","1 BTR-60PU-12command vehicle",0,1,0,0,1,"12/27/2023"
"59","Ukraine","1 BTR-80 with 57mm UB-32 unguided aircraft rocket pods",1,0,0,0,1,"12/27/2023"
"60","Ukraine","1 BTR-80-based ZS-88 PsyOps vehicle",0,0,0,1,1,"12/27/2023"
"61","Ukraine","1 BTR-90",1,0,1,0,2,"12/27/2023"
"62","Ukraine","1 BTR-ZD Skrezhet",0,1,0,1,2,"12/27/2023"
"63","Ukraine","1 Bergepanzer 2 armoured recovery vehicle",1,0,0,0,1,"12/27/2023"
"64","Ukraine","1 Command vehicle for Podlet-K1 low-altitude S-band surveillance radar",0,0,0,1,1,"12/27/2023"
