"","country","system","abandoned","damaged","captured","destroyed","total","Date"
"1","Russia","1 T-54-3M",1,1,0,0,2,"02/28/2024"
"2","Russia","1 T-62 Obr. 1967",0,0,1,0,1,"02/28/2024"
"3","Russia","1 T-62 Obr. 1972",1,0,0,0,1,"02/28/2024"
"4","Russia","19 T-62MV",2,4,8,7,21,"02/28/2024"
"5","Russia","2 T-55A",0,1,0,1,2,"02/28/2024"
"6","Russia","2 Unknown T-54/55",0,0,0,2,2,"02/28/2024"
"7","Russia","3 T-64A",0,1,0,2,3,"02/28/2024"
"8","Russia","4 T-62MV Obr. 2022",0,1,0,3,4,"02/28/2024"
"9","Russia","76 T-62M",3,11,35,29,78,"02/28/2024"
"10","Russia","80 T-64BV",6,13,4,60,83,"02/28/2024"
"11","Russia","T-62M Obr. 2022",2,1,0,4,7,"02/28/2024"
"12","Russia","Unknown T-62",0,0,0,1,1,"02/28/2024"
"13","Ukraine","(Unknown) truck",2,6,11,133,152,"02/28/2024"
"14","Ukraine","1 120mm 2B16 Nona-K gun mortar",0,0,0,1,1,"02/28/2024"
"15","Ukraine","1 122mm Bastion-1",0,0,0,1,1,"02/28/2024"
"16","Ukraine","1 130mm M-46 field gun",0,1,0,0,1,"02/28/2024"
"17","Ukraine","1 155mm Panzerhaubitze 2000",0,1,0,0,1,"02/28/2024"
"18","Ukraine","1 1B44-1 (RPMK-1) radiosonde weather radar",0,0,0,1,1,"02/28/2024"
"19","Ukraine","1 1L119 Nebo-SVU VHF multi-functional radar",0,0,0,1,1,"02/28/2024"
"20","Ukraine","1 1L220UK Zoopark-3 counter-battery radar",0,1,0,0,1,"02/28/2024"
"21","Ukraine","1 1RL239 Ark-1(M) counter-battery radar",0,0,0,1,1,"02/28/2024"
"22","Ukraine","1 1V1003 command and observation vehicle (for 1V198 artillery fire control system)",0,0,1,0,1,"02/28/2024"
"23","Ukraine","1 1V110 BM-21 Grad battery command vehicle",0,0,1,1,2,"02/28/2024"
"24","Ukraine","1 1V16 battalion fire direction vehicle",0,0,1,0,1,"02/28/2024"
"25","Ukraine","1 220mm Bureviy",0,0,0,1,1,"02/28/2024"
"26","Ukraine","1 227mm M142 HIMARS",0,1,0,0,1,"02/28/2024"
"27","Ukraine","1 23mm 23 ItK 61",0,0,1,0,1,"02/28/2024"
"28","Ukraine","1 2F77M transloading vehicle for 2K22M Tunguska-M",0,1,1,0,2,"02/28/2024"
"29","Ukraine","1 50P6E TEL (for S-350)",0,1,0,0,1,"02/28/2024"
"30","Ukraine","1 55K6A command post for S-400",0,0,0,1,1,"02/28/2024"
"31","Ukraine","1 55Zh6U Nebo-U air surveillance radar",0,1,0,0,1,"02/28/2024"
"32","Ukraine","1 5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT)",0,0,1,0,1,"02/28/2024"
"33","Ukraine","1 5N63S <U+201C>Flap Lid B<U+201D> engagement and tracking radar of the S-300",0,0,0,1,1,"02/28/2024"
"34","Ukraine","1 79K6 'Pelikan' 3D surveillance radar",0,0,0,1,1,"02/28/2024"
"35","Ukraine","1 80K6M Mobile 3D Radar",0,0,0,1,1,"02/28/2024"
"36","Ukraine","1 80mm B-8 makeshift MRL",0,0,0,1,1,"02/28/2024"
"37","Ukraine","1 92N6A (for S-400)",0,0,0,1,1,"02/28/2024"
"38","Ukraine","1 9A330 Tor TLAR (for 9K330 Tor)",0,1,0,0,1,"02/28/2024"
"39","Ukraine","1 9A331MU TLAR for 9K331MU Tor-M1-2U (Tor-M2U)",0,0,0,1,1,"02/28/2024"
"40","Ukraine","1 9K132 Shturm-SM",0,0,0,1,1,"02/28/2024"
"41","Ukraine","1 9K334 Gibka-S",0,0,0,1,1,"02/28/2024"
"42","Ukraine","1 9S19M2 (for S-300V)",0,1,0,0,1,"02/28/2024"
"43","Ukraine","1 9S32M1 (for S-300V)",0,1,0,0,1,"02/28/2024"
"44","Ukraine","1 9S470M1 command vehicle for Buk-M1",0,0,0,1,1,"02/28/2024"
"45","Ukraine","1 AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320",0,0,0,1,1,"02/28/2024"
"46","Ukraine","1 AN-MPQ-64 Sentinel radr",0,0,0,1,1,"02/28/2024"
"47","Ukraine","1 APA-80 engine starting vehicle",0,0,0,1,1,"02/28/2024"
"48","Ukraine","1 ARTHUR counter-battery radar",0,0,0,1,1,"02/28/2024"
"49","Ukraine","1 AS-4350.1 medical vehicle",0,0,0,1,1,"02/28/2024"
"50","Ukraine","1 ATs-10-260 Fuel Tanker",0,0,0,1,1,"02/28/2024"
"51","Ukraine","1 AeroVironment Quantix Recon UAV",0,0,1,0,1,"02/28/2024"
"52","Ukraine","1 Avenger",0,0,0,1,1,"02/28/2024"
"53","Ukraine","1 BATT UMG",0,1,0,0,1,"02/28/2024"
"54","Ukraine","1 BMP-1U 'Shkval'",0,0,0,1,1,"02/28/2024"
"55","Ukraine","1 BMP-1U Shkval",0,0,1,0,1,"02/28/2024"
"56","Ukraine","1 BMR-2 mine-clearing tank",1,0,0,0,1,"02/28/2024"
"57","Ukraine","1 BTR-60PB",0,1,0,0,1,"02/28/2024"
"58","Ukraine","1 BTR-60PU-12command vehicle",0,0,1,0,1,"02/28/2024"
"59","Ukraine","1 BTR-80 with 57mm UB-32 unguided aircraft rocket pods",0,1,0,0,1,"02/28/2024"
"60","Ukraine","1 BTR-80-based ZS-88 PsyOps vehicle",0,0,0,1,1,"02/28/2024"
"61","Ukraine","1 BTR-90",1,1,0,0,2,"02/28/2024"
"62","Ukraine","1 BTR-ZD Skrezhet",0,0,1,1,2,"02/28/2024"
"63","Ukraine","1 Bandvagn BvS 10",0,0,0,1,1,"02/28/2024"
"64","Ukraine","1 Bergepanzer 2 armoured recovery vehicle",0,1,0,0,1,"02/28/2024"
"65","Ukraine","1 Command vehicle for Podlet-K1 low-altitude S-band surveillance radar",0,0,0,1,1,"02/28/2024"
"66","Ukraine","1 Downgraded Mowag Eagle II",0,0,0,1,1,"02/28/2024"
