,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,Date
1,Russia,All Types,709,222,574,27,1532,2022-03-18
2,Russia,Tanks,93,41,106,4,244,2022-03-18
3,Russia,Armoured Fighting Vehicles,65,33,65,0,163,2022-03-18
4,Russia,Infantry Fighting Vehicles,110,32,81,2,225,2022-03-18
5,Russia,Armoured Personnel Carriers,18,15,37,0,70,2022-03-18
6,Russia,Mine-Resistant Ambush Protected,3,3,5,0,11,2022-03-18
7,Russia,Infantry Mobility Vehicles,29,5,16,2,52,2022-03-18
8,Russia,Communications Stations,2,4,3,0,9,2022-03-18
9,Russia,Engineering Vehicles,13,8,22,0,43,2022-03-18
10,Russia,Anti-Tank Guided Missiles,0,24,37,0,61,2022-03-18
11,Russia,"Man-Portable Air Defence Systems
",0,0,24,0,24,2022-03-18
12,Russia,Heavy Mortars,0,0,5,0,5,2022-03-18
13,Russia,Towed Artillery,4,4,23,2,33,2022-03-18
14,Russia,Self-Propelled Artillery,10,12,15,0,37,2022-03-18
15,Russia,Multiple Rocket Launchers,11,4,12,0,27,2022-03-18
16,Russia,Anti-Aircraft Guns,0,0,2,0,2,2022-03-18
17,Russia,Self-Propelled Anti-Aircraft Guns,5,3,1,0,9,2022-03-18
18,Russia,Surface-To-Air Missile Systems,16,7,11,1,35,2022-03-18
19,Russia,Radars,1,0,1,0,2,2022-03-18
20,Russia,Jammers And Deception Systems,1,0,1,2,4,2022-03-18
21,Russia,Aircraft,12,0,0,1,13,2022-03-18
22,Russia,Unmanned Aerial Vehicles,5,0,4,0,9,2022-03-18
23,Russia,Helicopters,29,2,0,3,34,2022-03-18
24,Russia,Logistics Trains,2,0,0,0,2,2022-03-18
25,Russia,"Trucks, Vehicles and Jeeps",277,58,152,12,499,2022-03-18
26,Ukraine,All Types,151,49,181,5,386,2022-03-18
27,Ukraine,Tanks,23,11,31,0,65,2022-03-18
28,Ukraine,Armoured Fighting Vehicles,12,11,24,0,47,2022-03-18
29,Ukraine,Infantry Fighting Vehicles,18,9,20,0,47,2022-03-18
30,Ukraine,Armoured Personnel Carriers,5,2,17,0,24,2022-03-18
31,Ukraine,Infantry Mobility Vehicles,5,1,20,1,27,2022-03-18
32,Ukraine,Engineering Vehicles,0,0,1,0,1,2022-03-18
33,Ukraine,Anti-tank Guided Missiles,0,0,50,0,50,2022-03-18
34,Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16,2022-03-18
35,Ukraine,Towed Artillery,1,3,11,0,15,2022-03-18
36,Ukraine,Self-Propelled Artillery,5,1,4,0,10,2022-03-18
37,Ukraine,Multiple Rocket Launchers,0,0,3,0,3,2022-03-18
38,Ukraine,Anti-Aircraft Guns,0,0,1,0,1,2022-03-18
39,Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1,2022-03-18
40,Ukraine,"Surface-To-Air Missile Systems
",11,2,0,0,13,2022-03-18
41,Ukraine,Radars,4,0,1,2,7,2022-03-18
42,Ukraine,Aircraft,10,0,0,0,10,2022-03-18
43,Ukraine,Unmanned Aerial Vehicles,5,0,2,0,7,2022-03-18
44,Ukraine,Helicopters,1,0,0,0,1,2022-03-18
45,Ukraine,Naval Ships,2,0,11,0,13,2022-03-18
46,Ukraine,"Trucks, Vehicles and Jeeps",37,8,42,2,89,2022-03-18
