"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",1041,235,771,38,2085,"2022-03-29"
"2","Russia","Tanks",149,43,142,6,340,"2022-03-29"
"3","Russia","Armoured Fighting Vehicles",114,34,92,0,240,"2022-03-29"
"4","Russia","Infantry Fighting Vehicles",176,30,114,2,322,"2022-03-29"
"5","Russia","Armoured Personnel Carriers",21,17,41,1,80,"2022-03-29"
"6","Russia","Mine-Resistant Ambush Protected",5,3,5,0,13,"2022-03-29"
"7","Russia","Infantry Mobility Vehicles",39,5,20,2,66,"2022-03-29"
"8","Russia","Communications Stations",3,4,6,0,13,"2022-03-29"
"9","Russia","Engineering Vehicles And Equipment",20,12,32,0,64,"2022-03-29"
"10","Russia","Anti-Tank Guided Missiles",0,24,39,0,63,"2022-03-29"
"11","Russia","Man-Portable Air Defence Systems
",0,0,24,0,24,"2022-03-29"
"12","Russia","Heavy Mortars",1,0,8,0,9,"2022-03-29"
"13","Russia","Towed Artillery",8,5,28,2,43,"2022-03-29"
"14","Russia","Self-Propelled Artillery",18,15,25,2,60,"2022-03-29"
"15","Russia","Multiple Rocket Launchers",16,5,16,0,37,"2022-03-29"
"16","Russia","Anti-Aircraft Guns",0,0,3,0,3,"2022-03-29"
"17","Russia","Self-Propelled Anti-Aircraft Guns",5,3,1,0,9,"2022-03-29"
"18","Russia","Surface-To-Air Missile Systems",20,7,12,1,40,"2022-03-29"
"19","Russia","Radars",1,0,2,0,3,"2022-03-29"
"20","Russia","Jammers And Deception Systems",2,0,2,2,6,"2022-03-29"
"21","Russia","Aircraft",16,0,0,1,17,"2022-03-29"
"22","Russia","Helicopters",30,2,0,3,35,"2022-03-29"
"23","Russia","Unmanned Aerial Vehicles",12,0,6,0,18,"2022-03-29"
"24","Russia","Naval Ships",1,0,0,2,3,"2022-03-29"
"25","Russia","Logistics Trains",2,0,0,0,2,"2022-03-29"
"26","Russia","Trucks, Vehicles and Jeeps",379,59,196,16,650,"2022-03-29"
"27","Ukraine","All Types",229,37,296,16,578,"2022-03-29"
"28","Ukraine","Tanks",26,9,42,0,77,"2022-03-29"
"29","Ukraine","Armoured Fighting Vehicles",22,4,35,0,61,"2022-03-29"
"30","Ukraine","Infantry Fighting Vehicles",26,9,23,2,60,"2022-03-29"
"31","Ukraine","Armoured Personnel Carriers",5,2,21,0,28,"2022-03-29"
"32","Ukraine","Infantry Mobility Vehicles",8,1,25,1,35,"2022-03-29"
"33","Ukraine","Engineering Vehicles",1,0,6,0,7,"2022-03-29"
"34","Ukraine","Anti-tank Guided Missiles",0,0,51,0,51,"2022-03-29"
"35","Ukraine","Man-Portable Air Defence Systems
",0,0,16,0,16,"2022-03-29"
"36","Ukraine","Towed Artillery",8,3,11,3,25,"2022-03-29"
"37","Ukraine","Self-Propelled Artillery",7,1,7,1,16,"2022-03-29"
"38","Ukraine","Multiple Rocket Launchers",1,0,5,0,6,"2022-03-29"
"39","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,"2022-03-29"
"40","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1,"2022-03-29"
"41","Ukraine","Surface-To-Air Missile Systems
",15,2,4,0,21,"2022-03-29"
"42","Ukraine","Radars",6,0,1,3,10,"2022-03-29"
"43","Ukraine","Aircraft",11,0,0,1,12,"2022-03-29"
"44","Ukraine","Helicopters",1,0,0,0,1,"2022-03-29"
"45","Ukraine","Unmanned Aerial Vehicles",7,0,2,0,9,"2022-03-29"
"46","Ukraine","Naval Ships",2,0,11,0,13,"2022-03-29"
"47","Ukraine","Trucks, Vehicles and Jeeps",68,5,109,5,187,"2022-03-29"
