"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",16905,1178,3064,898,22045,1,"2025-06-04"
"2","Russia","Losses excluding Recon Drones and Trucks - 17379, of which: destroyed: 13221, damaged: 793, abandoned: 1122, captured: 2243",13221,1122,2243,793,17379,2,"2025-06-04"
"3","Russia","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 12940, of which: destroyed: 10002, damaged: 373, abandoned: 1023, captured: 1542",10002,1023,1542,373,12940,3,"2025-06-04"
"4","Russia","Tanks",2953,393,533,158,4037,4,"2025-06-04"
"5","Russia","Armoured Fighting Vehicles",1742,112,275,36,2165,5,"2025-06-04"
"6","Russia","Infantry Fighting Vehicles",4752,474,629,156,6011,6,"2025-06-04"
"7","Russia","Armoured Personnel Carriers",512,43,94,18,667,7,"2025-06-04"
"8","Russia","Mine-Resistant Ambush Protected",43,1,11,5,60,8,"2025-06-04"
"9","Russia","Infantry Mobility Vehicles",310,12,52,18,392,9,"2025-06-04"
"10","Russia","Command Posts And Communications Stations",209,2,86,5,302,10,"2025-06-04"
"11","Russia","Engineering Vehicles And Equipment",401,60,154,48,663,11,"2025-06-04"
"12","Russia","Unmanned Ground Vehicles",6,0,0,0,6,12,"2025-06-04"
"13","Russia","Self-Propelled Anti-Tank Missile Systems",22,4,20,1,47,13,"2025-06-04"
"14","Russia","Artillery Support Vehicles And Equipment",84,1,55,0,140,14,"2025-06-04"
"15","Russia","Towed Artillery",275,5,98,94,472,15,"2025-06-04"
"16","Russia","Self-Propelled Artillery",778,7,109,51,945,16,"2025-06-04"
"17","Russia","Multiple Rocket Launchers",398,2,54,43,497,17,"2025-06-04"
"18","Russia","Anti-Aircraft Guns",43,0,18,1,62,18,"2025-06-04"
"19","Russia","Self-Propelled Anti-Aircraft Guns",16,2,7,2,27,19,"2025-06-04"
"20","Russia","Surface-To-Air Missile Systems",250,4,24,56,334,20,"2025-06-04"
"21","Russia","Radars",64,0,10,30,104,21,"2025-06-04"
"22","Russia","Jammers And Deception Systems",69,0,9,12,90,22,"2025-06-04"
"23","Russia","Aircraft",136,0,0,19,155,23,"2025-06-04"
"24","Russia","Helicopters",122,0,2,32,156,24,"2025-06-04"
"25","Russia","Unmanned Combat Aerial Vehicles",15,0,3,1,19,25,"2025-06-04"
"26","Russia","Reconnaissance Unmanned Aerial Vehicles",403,1,239,0,643,26,"2025-06-04"
"27","Russia","Naval Ships and Submarines",21,0,0,7,28,27,"2025-06-04"
"28","Russia","Trucks, Vehicles, Jeeps, and Trains",3281,55,582,105,4023,28,"2025-06-04"
"29","Ukraine","All Types",6657,523,1314,573,9067,1,"2025-06-04"
"30","Ukraine","Losses excluding Recon Drones and Trucks - 7436, of which: destroyed: 5459, damaged: 539, abandoned: 507, captured: 931",5459,507,931,539,7436,2,"2025-06-04"
"31","Ukraine","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 4641, of which: destroyed: 3410, damaged: 237, abandoned: 403, captured: 591",3410,403,591,237,4641,3,"2025-06-04"
"32","Ukraine","Tanks",872,98,145,80,1195,4,"2025-06-04"
"33","Ukraine","Armoured Fighting Vehicles",349,13,86,16,464,5,"2025-06-04"
"34","Ukraine","Infantry Fighting Vehicles",1028,133,160,64,1385,6,"2025-06-04"
"35","Ukraine","Armoured Personnel Carriers",698,110,146,39,993,7,"2025-06-04"
"36","Ukraine","Mine-Resistant Ambush Protected",463,49,54,38,604,8,"2025-06-04"
"37","Ukraine","Infantry Mobility Vehicles",688,61,163,46,958,9,"2025-06-04"
"38","Ukraine","Command Posts And Communications Stations",36,9,7,0,52,10,"2025-06-04"
"39","Ukraine","Engineering Vehicles And Equipment",164,27,34,25,250,11,"2025-06-04"
"40","Ukraine","Unmanned Ground Vehicles",1,0,0,0,1,12,"2025-06-04"
"41","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,0,18,13,"2025-06-04"
"42","Ukraine","Artillery Support Vehicles And Equipment",18,0,13,0,31,14,"2025-06-04"
"43","Ukraine","Towed Artillery",138,3,22,77,240,15,"2025-06-04"
"44","Ukraine","Self-Propelled Artillery",466,0,26,74,566,16,"2025-06-04"
"45","Ukraine","Multiple Rocket Launchers",60,0,9,18,87,17,"2025-06-04"
"46","Ukraine","Anti-Aircraft Guns",0,0,7,0,7,18,"2025-06-04"
"47","Ukraine","Self-Propelled Anti-Aircraft Guns",29,1,4,5,39,19,"2025-06-04"
"48","Ukraine","Surface-To-Air Missile Systems
",145,1,6,19,171,20,"2025-06-04"
"49","Ukraine","Radars And Communications Equipment",101,1,14,21,137,21,"2025-06-04"
"50","Ukraine","Jammers And Deception Systems",6,0,1,2,9,22,"2025-06-04"
"51","Ukraine","Aircraft",103,0,1,4,108,23,"2025-06-04"
"52","Ukraine","Helicopters",45,0,3,3,51,24,"2025-06-04"
"53","Ukraine","Unmanned Combat Aerial Vehicles",28,0,1,0,29,25,"2025-06-04"
"54","Ukraine","Reconnaissance Unmanned Aerial Vehicles",317,0,181,1,499,26,"2025-06-04"
"55","Ukraine","Naval Ships",14,0,19,8,41,27,"2025-06-04"
"56","Ukraine","Trucks, Vehicles, and Jeeps",881,16,202,33,1132,28,"2025-06-04"
