system,class
(Unknown) vehicle,"Trucks, Vehicles, and Jeeps"
120mm 2B11/2S12,Heavy Mortars
120mm 2B11/2S12A,Heavy Mortars
120mm 2B16 Nona-K howitzer,Towed Artillery
120mm 2S9 Nona,Self-Propelled Artillery
122mm 2B17 Tornado-G,Multiple Rocket Launchers
122mm 2S1 Gvozdika,Self-Propelled Artillery
122mm BM-21 'Grad',Multiple Rocket Launchers
122mm D-30 howitzer 2A18,Towed Artillery
152mm 2A65 Msta-B howitzer,Towed Artillery
152mm 2S19 Msta-S,Self-Propelled Artillery
152mm 2S3 Akatsiya,Self-Propelled Artillery
1V119 artillery battalion fire direction vehicle,Armoured Fighting Vehicles
1V13 battery fire control center,Armoured Fighting Vehicles
220mm BM-27 'Uragan',Multiple Rocket Launchers
220mm TOS-1A,Multiple Rocket Launchers
23mm ZU-23,Anti-Aircraft Guns
2K22M1 Tunguska,Self-Propelled Anti-Aircraft Guns
2S1 with ZU-23 AA gun,Armoured Fighting Vehicles
9A310M1 TELAR (for Buk-M1-2),Surface-To-Air Missile Systems
9A310M2 TELAR (for Buk-M2),Surface-To-Air Missile Systems
9A330 Tor TLAR (for 9K330 Tor-M),Surface-To-Air Missile Systems
9A331 TLAR (for 9K331 Tor-M1),Surface-To-Air Missile Systems
9A331M TLAR (for 9K332 Tor-M2),Surface-To-Air Missile Systems
9A39M1 TEL (for Buk-M1-2),Surface-To-Air Missile Systems
9A39M2 TEL (for Buk-M2),Surface-To-Air Missile Systems
9K33 Osa,"Trucks, Vehicles, and Jeeps"
9K333 Verba,Man-Portable Air Defense Systems
9K35 Strela-10,Surface-To-Air Missile Systems
9K38 Igla,Man-Portable Air Defense Systems
9M111 Fagot,Anti-Tank Guided Missiles
9M113 Konkurs,Anti-Tank Guided Missiles
9M113M Konkurs-M,Anti-Tank Guided Missiles
9M114 Kokon,Anti-Tank Guided Missiles
9P149 Shturm-S ATGM carrier,Armoured Fighting Vehicles
9S18М1(-3) (for Buk-M3),Radars
9T217 transloader (for 9K33 Osa),"Trucks, Vehicles, and Jeeps"
9T452 transporter-loader (for BM-27 'Uragan' MRL),"Trucks, Vehicles, and Jeeps"
9М131F Metis-M1,Anti-Tank Guided Missiles
An-26 transport aircraft,Aircraft
Armoured SUV,"Trucks, Vehicles, and Jeeps"
Barnaul-T 9С932-1 automated system for air defence units,Communications Stations
BAT-2 heavy engineering vehicle,Engineering Vehicles
-BMD 2.00,Armoured Fighting Vehicles
BMD-4M,Infantry Fighting Vehicles
BMP-1(P),Infantry Fighting Vehicles
BMP-1Khs,Armoured Fighting Vehicles
BMP-2,Infantry Fighting Vehicles
BMP-2K,Infantry Fighting Vehicles
BMP-3,Infantry Fighting Vehicles
BREM-1 armoured recovery vehicle,Engineering Vehicles
BREM-Ch ''BREM-4'' armoured recovery vehicle,Engineering Vehicles
BREM-K armoured recovery vehicle,Engineering Vehicles
BRM-1K,Armoured Fighting Vehicles
BTR-80,Armoured Personnel Carriers
BTR-82A,Infantry Fighting Vehicles
BTR-D,Armoured Personnel Carriers
BTR-D APC with UR-67 mine clearing charge,Engineering Vehicles
BTR-MDM 'Rakushka',Armoured Personnel Carriers
BTR-ZD 'Skrezhet',Self-Propelled Anti-Aircraft Guns
E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems),Unmanned Aerial Vehicles
Eleron-3 reconnaissance UAV,Unmanned Aerial Vehicles
Forpost reconnaissance UAV,Unmanned Aerial Vehicles
Fuel train,Logistics Trains
GAZ Sobol,"Trucks, Vehicles, and Jeeps"
GAZ Tigr-M,Infantry Mobility Vehicles
GAZ-3308,"Trucks, Vehicles, and Jeeps"
GAZ-66,"Trucks, Vehicles, and Jeeps"
GMZ-3 minelayer,Engineering Vehicles
IMR-2 combat engineering vehicle,Engineering Vehicles
Iveco LMV 'Rys',Infantry Mobility Vehicles
K-4386 Typhoon-VDV,Mine-Resistant Ambush Protected (MRAP) Vehicles
K-53949 'Linza',Mine-Resistant Ambush Protected (MRAP) Vehicles
K-53949 Typhoon-K,Mine-Resistant Ambush Protected (MRAP) Vehicles
Ka-52 'Alligator' attack helicopter,Helicopters
KamAZ 4x4,"Trucks, Vehicles, and Jeeps"
KamAZ 6x6,Communications Stations
KamAZ Avtozaks,"Trucks, Vehicles, and Jeeps"
KamAZ with armoured cabin,"Trucks, Vehicles, and Jeeps"
KamAZ-5350 with crane,Engineering Vehicles
KamAZ-5350 with EOV-3523 excavator,Engineering Vehicles
KamAZ-5350 with KS-45719-7M crane,Engineering Vehicles
KamAZ-6350 8x8 artillery tractor,"Trucks, Vehicles, and Jeeps"
