system,class,country
(Unknown) truck,Unknown,Russia
1L271 portable mortar locating reconnaissance radar,Radars,Russia
1V1003 command and observation vehicle (for 1V198 artillery fire control system),Artillery Support Vehicles And Equipment,Russia
1V110 BM-21 Grad battery command vehicle,Artillery Support Vehicles And Equipment,Russia
1V15M fire control and observation vehicle,Artillery Support Vehicles And Equipment,Russia
1V16 battalion fire direction vehicle,Artillery Support Vehicles And Equipment,Russia
1V18 'Klyon-1' artillery command and forward observer vehicle,Artillery Support Vehicles And Equipment,Russia
2F77M transloading vehicle for 2K22M Tunguska-M,Artillery Support Vehicles And Equipment,Russia
300mm BM-30 Smerch,Multiple Rocket Launchers,Russia
5P85SM (launcher for S-300 PMU-1),Surface-To-Air Missile Systems,Russia
9S18 Kupol TUBE ARM Search and Acquisition Radar for Buk-M2,Radars,Russia
APA-80 engine starting vehicle,Engineering Vehicles And Equipment,Russia
BMK-MO towing and motor boat,Engineering Vehicles And Equipment,Russia
BTR-60PB,Armoured Personnel Carriers,Russia
BTR-70M,Armoured Personnel Carriers,Russia
BTR-80-based ZS-88 PsyOps vehicle,Armoured Fighting Vehicles,Russia
Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,Command Posts And Communications Stations,Russia
ED2x30-T400-3RA mobile generator,Engineering Vehicles And Equipment,Russia
Eleron T28ME,Reconnaissance Unmanned Aerial Vehicles,Russia
GAZ-51,"Trucks, Vehicles and Jeeps",Russia
Grifon-12,Reconnaissance Unmanned Aerial Vehicles,Russia
KamAZ-395800 'Gorets',"Trucks, Vehicles and Jeeps",Russia
KamAZ-63501 with KS-55729-7M 32-ton crane,Engineering Vehicles And Equipment,Russia
Leer-2 electronic warfare system,Jammers And Deception Systems,Russia
MSh-5350.1 command vehicle,Infantry Mobility Vehicles,Russia
MTO-AG-3M,Engineering Vehicles And Equipment,Russia
Mobile generator for Podlet-K1 low-altitude S-band surveillance radar,Engineering Vehicles And Equipment,Russia
Orlan-10 'Moskit' jamming UAV,Reconnaissance Unmanned Aerial Vehicles,Russia
Orlan-10 UAV control station,Command Posts And Communications Stations,Russia
P-18-2 2D VHF surveillance radar,Radars,Russia
P-18T,Radars,Russia
P-240 digital communications vehicle,Command Posts And Communications Stations,Russia
P-260 Redut-2US communication system,Command Posts And Communications Stations,Russia
PRP-4A Argus artillery reconnaissance vehicle,Artillery Support Vehicles And Equipment,Russia
PZM-2 trench-digging vehicle,Engineering Vehicles And Equipment ,Russia
Project 266M Natya-class minesweeper,Naval Ships,Russia
R-145BM command vehicle,Command Posts And Communications Stations,Russia
R-145BMA command vehicle,Command Posts And Communications Stations,Russia
R-431AM antenna module for the Redut-2US communications system,Command Posts And Communications Stations,Russia
R-441 SatCom station,Command Posts And Communications Stations,Russia
RB-636AM2 Svet-KU EW system,Jammers And Deception Systems,Russia
RLK-MC-A (ROSC-1) counter-UAV system,Jammers And Deception Systems,Russia
Su-24MR tactical reconnaissance aircraft,Aircraft,Russia
Su-34M strike aircraft,Aircraft,Russia
Su-35S multirole aircraft,Aircraft,Russia
Supercam S150,Reconnaissance Unmanned Aerial Vehicles,Russia
T-62 Obr. 1967,Tanks,Russia
T-80BVK,Tanks,Russia
Tu-22M3 strategic bomber,Aircraft,Russia
Tu-95MS strategic bomber,Aircraft,Russia
UAZ-31514,"Trucks, Vehicles and Jeeps",Russia
UAZ-515195 'Esaul',"Trucks, Vehicles and Jeeps",Russia
Unknown EW system,Jammers And Deception Systems,Russia
Unknown Su-30/Su-34/Su-35,Aircraft,Russia
Uran-6 mine-clearing robotic system,Engineering Vehicles And Equipment,Russia
ZALA 421-16EM,Reconnaissance Unmanned Aerial Vehicles,Russia
120mm 2B16 Nona-K howitzer,Towed Artillery,Russia
152mm 2A36 Giatsint-B,Towed Artillery,Russia
BMP-2M,Infantry Fighting Vehicles,Russia
PMP floating bridge,Engineering Vehicles And Equipment,Russia
R-149AKSh-1 command and signals vehicle,Command Posts And Communications Stations,Russia
Ural-63704-0010 Tornado-U,"Trucks, Vehicles and Jeeps",Russia
KamAZ 6x6 tanker,"Trucks, Vehicles and Jeeps",Russia
