,country,origin,system,status,url,sysID,imageID,statusID,matID,Date
1,Russia,Soviet Union,T-64BV,damaged,https://i.postimg.cc/DfYzLMQ3/v60.png,1,1,1,7-111,03/04/2022
6,Russia,Soviet Union,T-72B,destroyed,https://i.postimg.cc/nVC3Hb5N/v90.png,4,6,3,7-463,03/04/2022
15,Russia,Soviet Union,T-72B,captured,https://i.postimg.cc/PJknPwNV/1245.png,4,13,2,7-4132,03/04/2022
20,Russia,Russia,T-72B3,destroyed,https://i.postimg.cc/y6wWVgL9/4432.png,6,18,3,7-6183,03/04/2022
22,Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/fLmkGMYm/5g6.png,6,20,4,7-6204,03/04/2022
23,Russia,Russia,T-72B3,abandoned,https://i.postimg.cc/QdqN23SW/48.png,6,21,4,7-6214,03/04/2022
26,Russia,Russia,T-72B3,captured,https://postimg.cc/BthpbCF0,6,24,2,7-6242,03/04/2022
31,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/brSLcD3L/h65.png,7,29,3,7-7293,03/04/2022
32,Russia,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/W1gVNw2Z/463.png,7,30,3,7-7303,03/04/2022
38,Russia,Russia,T-72B3 Obr. 2016,abandoned,https://i.postimg.cc/dDMfD2xh/d27.png,7,35,4,7-7354,03/04/2022
42,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/P5zVKDLk/579.png,7,39,2,7-7392,03/04/2022
45,Russia,Russia,T-72B3 Obr. 2016,captured,https://postimg.cc/nM5FPWSC,7,42,2,7-7422,03/04/2022
46,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/85dw1Jvb/n9.png,7,43,2,7-7432,03/04/2022
47,Russia,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/NFgDLs7v/1d3.png,7,44,2,7-7442,03/04/2022
53,Russia,Soviet Union,T-80BV,captured,https://i.postimg.cc/4yWGbC6D/578.png,8,50,2,7-8502,03/04/2022
57,Russia,Russia,T-80U,destroyed,https://i.postimg.cc/tRFL7Tj8/h7.jpg,9,54,3,7-9543,03/04/2022
68,Russia,Russia,T-80U,damaged,https://i.postimg.cc/Pf2gzrfP/f5.png,9,64,1,7-9641,03/04/2022
69,Russia,Russia,T-80U,captured,https://i.postimg.cc/Pf2gzrfP/f5.png,9,64,2,7-9642,03/04/2022
73,Russia,Russia,T-80U,captured,https://i.postimg.cc/GtdbBMjV/4f7.png,9,68,2,7-9682,03/04/2022
74,Russia,Russia,T-80U,captured,https://i.postimg.cc/GmVvVvpf/8k.png,9,69,2,7-9692,03/04/2022
75,Russia,Russia,T-80U,captured,https://i.postimg.cc/7PWhmmcg/u8.jpg,9,70,2,7-9702,03/04/2022
76,Russia,Russia,T-80U,captured,https://i.postimg.cc/7PgrKTDY/s1.jpg,9,71,2,7-9712,03/04/2022
77,Russia,Russia,T-80U,captured,https://i.postimg.cc/Ls88PXB9/74.png,9,72,2,7-9722,03/04/2022
80,Russia,Russia,T-80UD,captured,https://i.postimg.cc/JnK0gXrB/763.png,10,74,2,7-10742,03/04/2022
85,Russia,Russia,T-80BVM,captured,https://i.postimg.cc/fLpZW20x/d35.png,11,79,2,7-11792,03/04/2022
86,Russia,Russia,T-80BVM,captured,https://i.postimg.cc/jdKNRZQV/v6.jpg,11,80,2,7-11802,03/04/2022
87,Russia,Russia,T-80BVM,captured,https://i.postimg.cc/BQnQ8tqm/5799.png,11,81,2,7-11812,03/04/2022
88,Russia,Russia,T-90A,destroyed,https://i.postimg.cc/4dtYkZVp/43.png,12,82,3,7-12823,03/04/2022
90,Russia,Russia,T-90A,destroyed,https://i.postimg.cc/VsC0bQZ3/541.png,12,84,3,7-12843,03/04/2022
91,Russia,Russia,T-90A,abandoned,https://i.postimg.cc/90XRZvq9/4432.png,12,85,4,7-12854,03/04/2022
