"","country","origin","system","status","url","sysID","imageID","statusID","matID","Date"
"36","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/63jq82dV/467.png",4,35,1,"7-4351","2022-03-23"
"80","Russia","Russia","T-72B Obr. 1989","captured","https://i.postimg.cc/HLjXBgBt/4431.png",5,75,3,"7-5753","2022-03-23"
"88","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/nVW5kF23/t2.png",6,83,1,"7-6831","2022-03-23"
"89","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/J0S24x0f/t1.png",6,84,1,"7-6841","2022-03-23"
"166","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/DyJM89qR/33113.png",7,157,3,"7-71573","2022-03-23"
"238","Russia","Russia","T-80BVM","captured","https://i.postimg.cc/QdggKrXd/877.jpg",12,225,3,"7-122253","2022-03-23"
"286","Russia","Soviet Union","BRM-1K","destroyed","https://i.postimg.cc/yYnZX0Xs/488.png",15,271,1,"7-152711","2022-03-23"
"287","Russia","Soviet Union","BMP-1Khs","destroyed","https://i.postimg.cc/0yvPnDBt/570.png",16,272,1,"7-162721","2022-03-23"
"293","Russia","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/PqKBYrNJ/357.png",17,278,1,"7-172781","2022-03-23"
"314","Russia","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/RVhPKyj1/480.png",17,299,1,"7-172991","2022-03-23"
"337","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/NMDmQSNW/330.png",17,321,3,"7-173213","2022-03-23"
"346","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/W43P9JBg/311.png",17,330,3,"7-173303","2022-03-23"
"351","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/gj6zg66N/43y.jpg",17,335,3,"7-173353","2022-03-23"
"361","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/yd17Cb3g/556.png",17,345,3,"7-173453","2022-03-23"
"385","Russia","Soviet Union","1V13 battery fire control center","destroyed","https://i.postimg.cc/6pHdsDmg/13.png",22,369,1,"7-223691","2022-03-23"
"412","Russia","Russia","R-149MA1 command and staff vehicle","destroyed","https://i.postimg.cc/76946Frp/441.png",29,396,1,"7-293961","2022-03-23"
"421","Russia","Russia","R-149MA1 command and staff vehicle","captured","https://i.postimg.cc/P5zsqGHT/3313.png",29,404,3,"7-294043","2022-03-23"
"424","Russia","Russia","R-149MA3 command and staff vehicle","destroyed","https://i.postimg.cc/BQJHLH9D/3t.png",30,407,1,"7-304071","2022-03-23"
"425","Russia","Russia","R-149MA3 command and staff vehicle","destroyed","https://i.postimg.cc/rFdc9YkL/328.png",30,408,1,"7-304081","2022-03-23"
"429","Russia","Russia","R-149MA3 command and staff vehicle","damaged","https://i.postimg.cc/65LWg9tK/554.jpg",30,411,2,"7-304112","2022-03-23"
"430","Russia","Russia","R-149MA3 command and staff vehicle","captured","https://i.postimg.cc/65LWg9tK/554.jpg",30,411,3,"7-304113","2022-03-23"
"433","Russia","Russia","9S470M1 (or variant thereof) command post (for Buk-M1/2)","destroyed","https://i.postimg.cc/yxDmxzSd/59.png",31,414,1,"7-314141","2022-03-23"
"467","Russia","Russia","Unknown AFV","destroyed","https://twitter.com/UAWeapons/status/1506024208018649090",35,446,1,"7-354461","2022-03-23"
"597","Russia","Russia","BMP-3","destroyed","https://i.postimg.cc/y8DnDGDJ/44.jpg",39,570,1,"7-395701","2022-03-23"
"611","Russia","Russia","BMP-3","captured","https://i.postimg.cc/SKwPQhVN/3311.jpg",39,583,3,"7-395833","2022-03-23"
"612","Russia","Russia","BMP-3","captured","https://i.postimg.cc/jjmjsLGw/dd1.jpg",39,584,3,"7-395843","2022-03-23"
"705","Russia","Russia","BTR-82A","destroyed","https://i.postimg.cc/hG3hjQ8L/448.png",42,673,1,"7-426731","2022-03-23"
"706","Russia","Russia","BTR-82A","destroyed","https://twitter.com/UAWeapons/status/1506219574508892165",42,674,1,"7-426741","2022-03-23"
"834","Russia","Russia","GAZ Tigr-M","destroyed","https://i.postimg.cc/RVhPKyj1/480.png",51,299,1,"7-512991","2022-03-23"
"835","Russia","Russia","GAZ Tigr-M","destroyed","https://i.postimg.cc/j5dqRyjh/331.png",51,795,1,"7-517951","2022-03-23"
"953","Russia","Russia","9М133 Kornet","captured","https://i.postimg.cc/85dBMQdH/3319.png",83,897,3,"7-838973","2022-03-23"
"994","Russia","Soviet Union","120mm 2S9 Nona","captured","https://i.postimg.cc/RhCMLMTS/t9.png",93,935,3,"7-939353","2022-03-23"
"1008","Russia","Soviet Union","152mm 2S3 Akatsiya","abandoned","https://i.postimg.cc/wxDRxYgf/3316.png",96,948,4,"7-969484","2022-03-23"
"1066","Russia","Russia","220mm TOS-1A","abandoned","https://i.postimg.cc/FHk1HzFy/r1.jpg",102,1000,4,"7-10210004","2022-03-23"
"1096","Russia","Russia","9A39M1 TEL (for Buk-M1-2)","destroyed","https://i.postimg.cc/TwCHLk7D/3322.png",109,1026,1,"7-10910261","2022-03-23"
"1128","Russia","Russia","R-330ZH Zhitel","destroyed","https://i.postimg.cc/wjc6Cwkr/31.png",119,1054,1,"7-11910541","2022-03-23"
"1130","Russia","Russia","1RL257 Krasukha-4 command post","captured","https://i.postimg.cc/G3y10MLj/87.png",121,1056,3,"7-12110563","2022-03-23"
"1174","Russia","Russia","Orlan-10 reconnaissance UAV","destroyed","https://i.postimg.cc/6QVsMf3H/6522.png",134,1098,1,"7-13410981","2022-03-23"
"1175","Russia","Russia","Orlan-10 reconnaissance UAV","destroyed","https://i.postimg.cc/tgR0mVxp/331.png",134,1099,1,"7-13410991","2022-03-23"
"1177","Russia","Russia","Orlan-10 reconnaissance UAV","captured","https://i.postimg.cc/vH8mfDPF/178.png",134,1101,3,"7-13411013","2022-03-23"
"1184","Russia","Russia","ZALA Aero KUB-BLA loitering munition","destroyed","https://i.postimg.cc/j5Z1r7WP/36.png",136,1108,1,"7-13611081","2022-03-23"
"1276","Russia","Russia","Ural-4320","destroyed","https://i.postimg.cc/KzBF210v/447.png",148,1197,1,"7-14811971","2022-03-23"
"1277","Russia","Russia","Ural-4320","destroyed","https://i.postimg.cc/qqrrMpFc/3322.png",148,1198,1,"7-14811981","2022-03-23"
"1469","Russia","Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/hG3hjQ8L/448.png",154,673,1,"7-1546731","2022-03-23"
"1470","Russia","Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/yxFnTHvN/Screenshot-9428.png",154,1378,1,"7-15413781","2022-03-23"
"1471","Russia","Russia","KamAZ 6x6","destroyed","https://i.postimg.cc/59vPJBbM/Screenshot-9429.png",154,1379,1,"7-15413791","2022-03-23"
"1560","Russia","Russia","KamAZ 6x6","captured","https://i.postimg.cc/hhRXrfSQ/115.png",154,1460,3,"7-15414603","2022-03-23"
"1561","Russia","Russia","KamAZ 6x6","captured","https://i.postimg.cc/762Bt7mX/114.png",154,1461,3,"7-15414613","2022-03-23"
"1562","Russia","Russia","KamAZ 6x6","captured","https://i.postimg.cc/mkRgtYn5/224.png",154,1462,3,"7-15414623","2022-03-23"
"1563","Russia","Russia","KamAZ 6x6","captured","https://i.postimg.cc/pL6VDhrq/3318.png",154,1463,3,"7-15414633","2022-03-23"
"1582","Russia","Soviet Union","UAZ-452","destroyed","https://i.postimg.cc/ZKzJYxNP/33118.png",159,1481,1,"7-15914811","2022-03-23"
"1628","Russia","Russia","Unknown truck","destroyed","https://i.postimg.cc/hhRXrfSQ/115.png",163,1460,1,"7-16314601","2022-03-23"
"1629","Russia","Russia","Unknown truck","destroyed","https://twitter.com/UAWeapons/status/1506600986944671749",163,1521,1,"7-16315211","2022-03-23"
"1630","Russia","Russia","Unknown truck","destroyed","https://i.postimg.cc/2SygFqR9/113.png",163,1522,1,"7-16315221","2022-03-23"
"1644","Russia","Russia","Unknown truck","captured","https://i.postimg.cc/GtMVCs56/7i.jpg",163,1532,3,"7-16315323","2022-03-23"
"1651","Russia","Russia","(Unknown) vehicle","destroyed","https://twitter.com/UAWeapons/status/1506354334229049345",164,1539,1,"7-16415391","2022-03-23"
"1711","Ukraine","Ukraine","T-72AMT","destroyed","https://i.postimg.cc/3JdLkxCn/52.png",166,1596,1,"380-16615961","2022-03-23"
"1712","Ukraine","Ukraine","T-72AMT","captured","https://i.postimg.cc/nzS4xq5Z/310.png",166,1597,3,"380-16615973","2022-03-23"
"1728","Ukraine","Soviet Union","BRDM-2","destroyed","https://i.postimg.cc/QxWzY2nh/t2.png",167,1611,1,"380-16716111","2022-03-23"
"1746","Ukraine","Soviet Union","BRDM-2","captured","https://i.postimg.cc/fRy80Tc8/542.png",167,1629,3,"380-16716293","2022-03-23"
"1862","Ukraine","Ukraine","Varta","destroyed","https://i.postimg.cc/hPpt3yPt/7u.png",186,1741,1,"380-18617411","2022-03-23"
"1935","Ukraine","Soviet Union","23mm ZU-23","captured","https://i.postimg.cc/W1NsGMGc/480.png",103,1806,3,"380-10318063","2022-03-23"
"1974","Ukraine","Soviet Union","Su-25 attack aircraft","damaged","https://twitter.com/UAWeapons/status/1506317219000721412",210,1844,2,"380-21018442","2022-03-23"
"2015","Ukraine","Ukraine","KrAZ-5233","captured","https://i.postimg.cc/vmpRN9VB/480.png",225,1884,3,"380-22518843","2022-03-23"
"2016","Ukraine","Ukraine","KrAZ-5233","captured","https://i.postimg.cc/jq49zBZC/480.png",225,1885,3,"380-22518853","2022-03-23"
"2028","Ukraine","Soviet Union","GAZ-66","destroyed","https://i.postimg.cc/0QFPwLNj/33180.png",140,1897,1,"380-14018971","2022-03-23"
"2115","Ukraine","Soviet Union","KamAZ","damaged","https://i.postimg.cc/yx42BBdm/u1.png",228,1978,2,"380-22819782","2022-03-23"
"2116","Ukraine","Soviet Union","KamAZ","captured","https://i.postimg.cc/yx42BBdm/u1.png",228,1978,3,"380-22819783","2022-03-23"
"2153","Ukraine","Ukraine","Unknown vehicle","destroyed","https://twitter.com/UAWeapons/status/1506224014498357252",231,2006,1,"380-23120061","2022-03-23"
