"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"187","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/SjbR66Mq/1007-t72b.jpg","2022-09-23",6,182,1,"7-61821","09/23/2022"
"188","Russia","Soviet Union","T-72B","destroyed","https://twitter.com/UAWeapons/status/1573343531221106688","2022-09-23",6,183,1,"7-61831","09/23/2022"
"308","Russia","Soviet Union","T-72B Obr. 1989","abandoned","https://i.postimg.cc/Twf33VDW/1009-t72b1989.jpg","2022-09-23",7,295,2,"7-72952","09/23/2022"
"436","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/fkncTHrS/2022-09-23-T-72-B3.jpg","2022-09-23",9,419,1,"7-94191","09/23/2022"
"466","Russia","Russia","T-72B3","captured","https://i.postimg.cc/CxHJ9YSH/1500-t72b3-orel.jpg","2022-09-23",9,442,3,"7-94423","09/23/2022"
"1294","Russia","Soviet Union","MT-LB","destroyed","https://twitter.com/UAWeapons/status/1573414860775624704","2022-09-23",26,1200,1,"7-2612001","09/23/2022"
"1393","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/PqSCgvBz/1003-mtlb.jpg","2022-09-23",26,1287,3,"7-2612873","09/23/2022"
"1394","Russia","Soviet Union","MT-LB","damaged","https://i.postimg.cc/XqCXBHXQ/1005-mtlb.jpg","2022-09-23",26,1288,4,"7-2612884","09/23/2022"
"1395","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/XqCXBHXQ/1005-mtlb.jpg","2022-09-23",26,1288,3,"7-2612883","09/23/2022"
"1396","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/dQ8GPxT2/2022-09-18-MT-LB-245.jpg","2022-09-23",26,1289,3,"7-2612893","09/23/2022"
"1698","Russia","Russia","Unknown AFV","destroyed","https://twitter.com/UAWeapons/status/1573230184525975552","2022-09-23",37,1575,1,"7-3715751","09/23/2022"
"2334","Russia","Soviet Union","BMP-2(K)","captured","https://i.postimg.cc/qMK1XyFF/1004-bmp2-ural-tanker-kamaz6x6.png","2022-09-23",40,2139,3,"7-4021393","09/23/2022"
"2336","Russia","Russia","5 BMP-2M","destroyed","https://i.postimg.cc/QM8BYJnd/1000-bmp2m-2x.jpg","2022-09-23",41,2141,1,"7-4121411","09/23/2022"
"2398","Russia","Soviet Union","70 Unknown BMP-1/2","destroyed","https://twitter.com/UAWeapons/status/1573410715679035392","2022-09-23",43,2197,1,"7-4321971","09/23/2022"
"3009","Russia","Soviet Union","92 BTR-80","destroyed","https://twitter.com/UAWeapons/status/1573229951393964033","2022-09-23",52,2763,1,"7-5227631","09/23/2022"
"3397","Russia","Russia","26 R-149MA3 command and staff vehicle","captured","https://twitter.com/UAWeapons/status/1573257821952610305","2022-09-23",68,3113,3,"7-6831133","09/23/2022"
"3490","Russia","Soviet Union","1 PZM-2 trench-digging vehicle","captured","https://i.postimg.cc/pTRdMqjT/2022-05-16-PZM-2.jpg","2022-09-23",95,3196,3,"7-9531963","09/23/2022"
"3839","Russia","Soviet Union","43 152mm 2A65 Msta-B howitzer","captured","https://twitter.com/UAWeapons/status/1573080312158076929","2022-09-23",149,3511,3,"7-14935113","09/23/2022"
"4032","Russia","Soviet Union","2 203mm 2S7M Malka","captured","https://i.postimg.cc/QtVFhxDL/1001-2s7-malka.jpg","2022-09-23",160,3689,3,"7-16036893","09/23/2022"
"4387","Russia","Iran","1 Mohajer-6 UCAV","destroyed","https://twitter.com/UAWeapons/status/1573369579430354944","2022-09-23",219,4001,1,"7-21940011","09/23/2022"
"4470","Russia","Russia","Orlan-10 reconnaissance UAV","captured","https://twitter.com/UAWeapons/status/1573271316521787392","2022-09-23",220,4084,3,"7-22040843","09/23/2022"
"4486","Russia","Russia","Orlan-30 reconnaissance UAV","captured","https://twitter.com/UAWeapons/status/1573271316521787392","2022-09-23",223,4084,3,"7-22340843","09/23/2022"
"4538","Russia","Soviet Union","GAZ-66","captured","https://i.postimg.cc/jdSY0Bkm/2022-09-22-GAZ-66.jpg","2022-09-23",241,4150,3,"7-24141503","09/23/2022"
"4813","Russia","Russia","420 Ural-4320","destroyed","https://twitter.com/UAWeapons/status/1573265046607908865","2022-09-23",252,4404,1,"7-25244041","09/23/2022"
"4819","Russia","Russia","420 Ural-4320","damaged","https://twitter.com/UAWeapons/status/1573229914483998720","2022-09-23",252,4408,4,"7-25244084","09/23/2022"
"4928","Russia","Russia","420 Ural-4320","damaged","https://i.postimg.cc/4dMmdk4Y/1006-ural4320.jpg","2022-09-23",252,4507,4,"7-25245074","09/23/2022"
"4929","Russia","Russia","420 Ural-4320","captured","https://i.postimg.cc/4dMmdk4Y/1006-ural4320.jpg","2022-09-23",252,4507,3,"7-25245073","09/23/2022"
"4977","Russia","Russia","101 Ural-4320 tanker","destroyed","https://i.postimg.cc/T3rrGNSM/2022-09-22-Ural-4320-tanker.jpg","2022-09-23",253,4554,1,"7-25345541","09/23/2022"
"4978","Russia","Russia","101 Ural-4320 tanker","destroyed","https://i.postimg.cc/hvkdRV1t/2022-09-22-Kam-AZ-x2-Ural-4320-tanker.jpg","2022-09-23",253,4555,1,"7-25345551","09/23/2022"
"5025","Russia","Russia","101 Ural-4320 tanker","captured","https://i.postimg.cc/qMK1XyFF/1004-bmp2-ural-tanker-kamaz6x6.png","2022-09-23",253,2139,3,"7-25321393","09/23/2022"
"5402","Russia","Russia","440 KamAZ 6x6","destroyed","https://i.postimg.cc/hvkdRV1t/2022-09-22-Kam-AZ-x2-Ural-4320-tanker.jpg","2022-09-23",262,4555,1,"7-26245551","09/23/2022"
"5528","Russia","Russia","440 KamAZ 6x6","captured","https://i.postimg.cc/qMK1XyFF/1004-bmp2-ural-tanker-kamaz6x6.png","2022-09-23",262,2139,3,"7-26221393","09/23/2022"
"5529","Russia","Russia","440 KamAZ 6x6","captured","https://i.postimg.cc/TP5xjp4q/2022-09-17-Kam-AZ-6x6-2.jpg","2022-09-23",262,5037,3,"7-26250373","09/23/2022"
"5857","Russia","Russia","(Unknown) truck","destroyed","https://twitter.com/UAWeapons/status/1573229951393964033","2022-09-23",279,2763,1,"7-27927631","09/23/2022"
"6462","Ukraine","Soviet Union","45 BMP-2(K)","destroyed","https://i.postimg.cc/bwj36dcw/2000-bmp2.jpg","2022-09-23",307,5870,1,"380-30758701","09/23/2022"
