"","country","system","captured","destroyed","damaged","abandoned","total","Date"
"1",NA,"120mm mortar",1,0,0,0,1,2022-02-25
"2",NA,"122mm 2S1 Gvozdika",2,0,0,0,2,2022-02-25
"3",NA,"122mm BM-21 'Grad'",1,2,0,0,3,2022-02-25
"4",NA,"152mm 2A65 Msta-B howitzer",2,2,1,0,5,2022-02-25
"5",NA,"1L22 'Parol'",0,1,1,0,2,2022-02-25
"6",NA,"2K22M1 Tunguska",0,0,1,1,2,2022-02-25
"7",NA,"5P85D (launcher for S-300PS)",0,1,0,0,1,2022-02-25
"8",NA,"9K33 Osa",0,1,0,0,1,2022-02-25
"9",NA,"9P149 Shturm-S ATGM carrier",0,1,0,0,1,2022-02-25
"10",NA,"An-26 transport aircraft",0,2,0,0,2,2022-02-25
"11",NA,"BMD-2",0,1,0,0,1,2022-02-25
"12",NA,"BMP-1",0,1,0,3,4,2022-02-25
"13",NA,"BMP-2",1,1,1,1,4,2022-02-25
"14",NA,"BRM-1K",1,0,0,0,1,2022-02-25
"15",NA,"BTR-4",2,2,0,1,5,2022-02-25
"16",NA,"BTR-70",1,0,0,1,2,2022-02-25
"17",NA,"Buk-M1",0,1,0,0,1,2022-02-25
"18",NA,"GAZ Tigr-M",2,1,1,0,4,2022-02-25
"19",NA,"GAZ-66",4,2,1,0,7,2022-02-25
"20",NA,"IMR-2 combat engineering vehicle",0,1,0,0,1,2022-02-25
"21",NA,"Iveco LMV 'Rys'",1,0,0,0,1,2022-02-25
"22",NA,"Ka-52 'Alligator'",0,1,1,0,2,2022-02-25
"23",NA,"KamAZ",5,4,1,0,10,2022-02-25
"24",NA,"KamAZ-5350 with EOV-3523 excavator",1,0,0,0,1,2022-02-25
"25",NA,"KamAZ-6350 8x8",2,2,2,0,6,2022-02-25
"26",NA,"KamAZ-63968 Typhoon",1,0,0,0,1,2022-02-25
"27",NA,"Kozak-2",0,1,0,0,1,2022-02-25
"28",NA,"KrAZ-6322",5,1,0,0,6,2022-02-25
"29",NA,"MAZ",0,1,1,0,2,2022-02-25
"30",NA,"MAZ-537",0,1,0,0,1,2022-02-25
"31",NA,"MBT LAW 'NLAW'",1,0,0,0,1,2022-02-25
"32",NA,"MT-LB",2,1,0,0,3,2022-02-25
"33",NA,"MT-LB with ZU-23 AA gun",0,1,0,0,1,2022-02-25
"34",NA,"MT-LBu",1,0,1,1,3,2022-02-25
"35",NA,"P-14 'Tall King'",0,0,1,0,1,2022-02-25
"36",NA,"P-35/37 'Bar Lock'",0,1,0,0,1,2022-02-25
"37",NA,"PRV-13 'Odd Pair'",0,1,0,0,1,2022-02-25
"38",NA,"R-149MA1 unified command and staff vehicle",1,0,0,0,1,2022-02-25
"39",NA,"Su-25 strike aircraft",0,1,0,0,1,2022-02-25
"40",NA,"Su-27 fighter aircraft",0,2,0,0,2,2022-02-25
"41",NA,"Su-30SM",0,1,0,0,1,2022-02-25
"42",NA,"T-64BV",0,2,1,1,4,2022-02-25
"43",NA,"T-80BV",1,0,0,0,1,2022-02-25
"44",NA,"T-80BVM",0,1,0,0,1,2022-02-25
"45",NA,"TMM-3 bridge layer",1,0,0,0,1,2022-02-25
"46",NA,"Tor-M2",0,1,0,0,1,2022-02-25
"47",NA,"UAZ-469",1,0,0,0,1,2022-02-25
"48",NA,"Unknown truck",0,4,0,1,5,2022-02-25
"49",NA,"Ural-375D",1,1,0,0,2,2022-02-25
"50",NA,"Ural-4320",2,1,1,0,4,2022-02-25
"51",NA,"ZiL-131",0,3,0,1,4,2022-02-25
