"","country","system","captured","abandoned","destroyed","damaged","total","Date"
"1","Russia","120mm 2B11/2S12",2,0,0,0,2,2022-03-05
"2","Russia","120mm 2B11/2S12A",1,0,0,0,1,2022-03-05
"3","Russia","120mm 2S9 Nona",0,1,1,0,2,2022-03-05
"4","Russia","122mm 2B17 Tornado-G",0,0,1,0,1,2022-03-05
"5","Russia","122mm 2S1 Gvozdika",0,1,0,0,1,2022-03-05
"6","Russia","122mm BM-21 'Grad'",5,2,4,1,12,2022-03-05
"7","Russia","122mm D-30 howitzer 2A18",0,3,1,0,4,2022-03-05
"8","Russia","152mm 2A65 Msta-B howitzer",2,0,3,1,6,2022-03-05
"9","Russia","152mm 2S19 Msta-S",2,4,1,0,7,2022-03-05
"10","Russia","152mm 2S3 Akatsiya",1,2,1,0,4,2022-03-05
"11","Russia","1V119 artillery battalion fire direction vehicle",1,0,0,0,1,2022-03-05
"12","Russia","1V13 battery fire control center",0,1,0,0,1,2022-03-05
"13","Russia","220mm TOS-1A",1,0,0,0,1,2022-03-05
"14","Russia","2K22M1 Tunguska",0,4,2,1,7,2022-03-05
"15","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,2022-03-05
"16","Russia","9A310M1 TELAR (for Buk-M1-2)",0,0,1,1,2,2022-03-05
"17","Russia","9A310M2 TELAR (for Buk-M2)",0,0,1,0,1,2022-03-05
"18","Russia","9A39M1 TEL (for Buk-M1-2)",0,0,1,0,1,2022-03-05
"19","Russia","9A39M2 TEL (for Buk-M2)",0,0,1,0,1,2022-03-05
"20","Russia","9K33 Osa",2,1,1,0,4,2022-03-05
"21","Russia","9K330 Tor",2,0,0,0,2,2022-03-05
"22","Russia","9K332 Tor-M2",1,0,1,0,2,2022-03-05
"23","Russia","9K333 Verba",1,0,0,0,1,2022-03-05
"24","Russia","9K35 Strela-10",1,3,0,0,4,2022-03-05
"25","Russia","9K38 Igla",1,0,0,0,1,2022-03-05
"26","Russia","9M111 Fagot",2,0,0,0,2,2022-03-05
"27","Russia","9M113 Konkurs",6,0,0,0,6,2022-03-05
"28","Russia","9M113M Konkurs-M",1,0,0,0,1,2022-03-05
"29","Russia","9M114 Kokon",1,0,0,0,1,2022-03-05
"30","Russia","9P149 Shturm-S ATGM carrier",0,1,1,0,2,2022-03-05
"31","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,1,0,1,2022-03-05
"32","Russia","9М131F Metis-M1",1,0,0,0,1,2022-03-05
"33","Russia","An-26 transport aircraft",0,0,1,0,1,2022-03-05
"34","Russia","Barnaul-T 9С932-1 automated system for air defence units",1,1,0,0,2,2022-03-05
"35","Russia","BAT-2 heavy engineering vehicle",0,0,1,0,1,2022-03-05
"36","Russia","BMD-2",13,5,10,2,30,2022-03-05
"37","Russia","BMD-4M",3,1,1,0,5,2022-03-05
"38","Russia","BMP-1(P)",3,0,3,0,6,2022-03-05
"39","Russia","BMP-1Khs",0,1,0,0,1,2022-03-05
"40","Russia","BMP-2",11,11,15,5,42,2022-03-05
"41","Russia","BMP-2K",0,1,0,0,1,2022-03-05
"42","Russia","BMP-3",7,0,3,1,11,2022-03-05
"43","Russia","BREM-K armoured recovery vehicle",2,0,0,0,2,2022-03-05
"44","Russia","BRM-1K",0,0,3,0,3,2022-03-05
"45","Russia","BTR-80",11,2,6,1,20,2022-03-05
"46","Russia","BTR-82A",7,5,5,2,19,2022-03-05
"47","Russia","BTR-D",5,7,5,0,17,2022-03-05
"48","Russia","BTR-MDM 'Rakusha'",3,0,0,0,3,2022-03-05
"49","Russia","E95M (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",1,0,0,0,1,2022-03-05
"50","Russia","Fuel train",0,0,2,0,2,2022-03-05
"51","Russia","GAZ Sobol",0,1,1,0,2,2022-03-05
"52","Russia","GAZ Tigr-M",8,1,12,1,22,2022-03-05
"53","Russia","GAZ-3308",0,2,0,0,2,2022-03-05
"54","Russia","GAZ-66",1,0,0,0,1,2022-03-05
"55","Russia","IMR-2 combat engineering vehicle",0,0,1,0,1,2022-03-05
"56","Russia","Iveco LMV 'Rys'",1,1,4,0,6,2022-03-05
"57","Russia","K-4386 Typhoon-VDV",0,0,1,0,1,2022-03-05
"58","Russia","Ka-52 'Alligator' attack helicopter",0,2,0,2,4,2022-03-05
"59","Russia","KamAZ 6x6",24,12,44,3,83,2022-03-05
"60","Russia","KamAZ Avtozaks",1,0,2,0,3,2022-03-05
"61","Russia","KamAZ with armoured cabin",0,1,1,0,2,2022-03-05
"62","Russia","KamAZ-5350 with crane",0,0,1,0,1,2022-03-05
"63","Russia","KamAZ-5350 with EOV-3523 excavator",3,0,1,0,4,2022-03-05
"64","Russia","KamAZ-5350 with KS-45719-7M crane",0,0,1,0,1,2022-03-05
"65","Russia","KamAZ-6350 8x8 artillery tractor",2,0,2,2,6,2022-03-05
"66","Russia","KamAZ-63968 Typhoon",2,0,1,0,3,2022-03-05
"67","Russia","Mi-24 attack helicopter",0,0,1,0,1,2022-03-05
"68","Russia","Mi-35M attack helicopter",0,0,2,0,2,2022-03-05
"69","Russia","Mi-8 transport helicopter",0,0,2,0,2,2022-03-05
"70","Russia","MP-2IM signals vehicle",0,1,0,0,1,2022-03-05
"71","Russia","MT-LB",24,7,8,0,39,2022-03-05
"72","Russia","MT-LB with ZU-23 AA gun",0,0,2,0,2,2022-03-05
"73","Russia","MT-LBu",2,3,3,0,8,2022-03-05
"74","Russia","Orlan-10",0,0,1,0,1,2022-03-05
"75","Russia","Pantsir-S1",2,0,1,0,3,2022-03-05
"76","Russia","PMP floating bridge",0,2,2,0,4,2022-03-05
"77","Russia","PTS-3 tracked amphibious transport",0,2,0,0,2,2022-03-05
"78","Russia","R-149MA1 unified command and staff vehicle",3,2,1,1,7,2022-03-05
"79","Russia","R-166-0.5 signals vehicle",0,1,1,0,2,2022-03-05
"80","Russia","R-330BMV Borisoglebsk-2B",0,0,0,1,1,2022-03-05
"81","Russia","R-419L1 communications station",0,1,0,0,1,2022-03-05
"82","Russia","REM-KL armoured recovery vehicle",1,0,0,0,1,2022-03-05
"83","Russia","Su-25 close air support aircraft",0,0,4,0,4,2022-03-05
"84","Russia","Su-30SM multirole aircraft",0,0,2,0,2,2022-03-05
"85","Russia","Su-34 strike aircraft",0,0,3,0,3,2022-03-05
"86","Russia","T-64BV",0,0,0,1,1,2022-03-05
"87","Russia","T-72A",1,0,0,0,1,2022-03-05
"88","Russia","T-72AV",1,0,0,0,1,2022-03-05
"89","Russia","T-72B",7,3,6,3,19,2022-03-05
"90","Russia","T-72B Obr. 1989",1,1,0,0,2,2022-03-05
"91","Russia","T-72B3",2,2,3,1,8,2022-03-05
"92","Russia","T-72B3 Obr. 2016",9,5,7,0,21,2022-03-05
"93","Russia","T-80BV",3,2,1,0,6,2022-03-05
"94","Russia","T-80BVM",7,1,1,0,9,2022-03-05
"95","Russia","T-80U",11,10,5,1,27,2022-03-05
"96","Russia","T-80UD",1,1,1,0,3,2022-03-05
"97","Russia","T-90A",4,3,6,0,13,2022-03-05
"98","Russia","TMM-3 bridge layer",4,3,1,1,9,2022-03-05
"99","Russia","TZM-T reloader vehicle (for TOS-1A)",1,0,0,0,1,2022-03-05
"100","Russia","UAZ Patriot",0,1,0,0,1,2022-03-05
"101","Russia","UAZ-469",0,1,1,0,2,2022-03-05
"102","Russia","Unknown AFV",0,0,1,0,1,2022-03-05
"103","Russia","Unknown BTR-D/BMD-2",0,0,8,0,8,2022-03-05
"104","Russia","Unknown communications station",0,0,1,0,1,2022-03-05
"105","Russia","Unknown communications station based on the KamAZ 6x6",1,0,0,1,2,2022-03-05
"106","Russia","Unknown Mi-24/35 attack helicopter",0,0,2,1,3,2022-03-05
"107","Russia","Unknown tank",0,2,0,0,2,2022-03-05
"108","Russia","Unknown truck",3,1,9,1,14,2022-03-05
"109","Russia","Unknown vehicle",1,0,3,0,4,2022-03-05
"110","Russia","UR-77 'Meterorit'",2,1,0,0,3,2022-03-05
"111","Russia","Ural Federal",0,3,1,0,4,2022-03-05
"112","Russia","Ural-4320",35,9,20,3,67,2022-03-05
"113","Russia","Ural-4320 Wrecker",1,0,0,1,2,2022-03-05
"114","Russia","Ural-43206",6,1,1,0,8,2022-03-05
"115","Russia","Ural-542301 tank transporter",0,1,0,0,1,2022-03-05
"116","Russia","ZiL-131",0,2,2,0,4,2022-03-05
"117","Ukraine","100mm MT-12 anti-tank gun",1,1,0,0,2,2022-03-05
"118","Ukraine","122mm 2S1 Gvozdika",3,1,3,0,7,2022-03-05
"119","Ukraine","152mm 2A65 Msta-B howitzer",0,2,0,0,2,2022-03-05
"120","Ukraine","1L22 'Parol'",0,0,1,1,2,2022-03-05
"121","Ukraine","23mm ZU-23",1,0,0,0,1,2022-03-05
"122","Ukraine","5P85D (launcher for S-300PS)",0,0,1,0,1,2022-03-05
"123","Ukraine","9K310 Igla-1",4,0,0,0,4,2022-03-05
"124","Ukraine","9K33 Osa",0,0,5,0,5,2022-03-05
"125","Ukraine","9K35 Strela-10",0,0,1,0,1,2022-03-05
"126","Ukraine","9K38 Igla",2,0,0,0,2,2022-03-05
"127","Ukraine","9M111 Fagot",1,0,0,0,1,2022-03-05
"128","Ukraine","9M113 Konkurs",2,0,0,0,2,2022-03-05
