"","country","system","abandoned","captured","damaged","destroyed","total","Date"
"1","Russia","-BMD 2.00",7,28,2,25,62,"2022-03-29"
"2","Russia","(Unknown) vehicle",0,1,0,11,12,"2022-03-29"
"3","Russia","100mm MT-12 anti-tank gun",0,1,0,0,1,"2022-03-29"
"4","Russia","120mm 2B11/2S12",0,5,0,1,6,"2022-03-29"
"5","Russia","120mm 2B11/2S12A",0,1,0,0,1,"2022-03-29"
"6","Russia","120mm 2B16 Nona-K howitzer",2,2,0,0,4,"2022-03-29"
"7","Russia","120mm 2S23 Nona-SVK",0,9,0,0,9,"2022-03-29"
"8","Russia","120mm 2S34 Khosta",0,1,0,0,1,"2022-03-29"
"9","Russia","120mm 2S9 Nona",1,4,0,2,7,"2022-03-29"
"10","Russia","122mm 2B17 Tornado-G",0,0,0,2,2,"2022-03-29"
"11","Russia","122mm 2S1 Gvozdika",1,3,0,2,6,"2022-03-29"
"12","Russia","122mm BM-21 'Grad'",6,12,2,11,31,"2022-03-29"
"13","Russia","122mm D-30 howitzer 2A18",4,5,0,1,10,"2022-03-29"
"14","Russia","152mm 2A65 Msta-B howitzer",1,3,2,4,10,"2022-03-29"
"15","Russia","152mm 2S19 Msta-S",10,11,0,8,29,"2022-03-29"
"16","Russia","152mm 2S3 Akatsiya",6,2,2,6,16,"2022-03-29"
"17","Russia","152mm 2S33 Msta-SM2",0,3,0,0,3,"2022-03-29"
"18","Russia","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",0,1,0,0,1,"2022-03-29"
"19","Russia","1RL257 Krasukha-4 command post",0,1,0,0,1,"2022-03-29"
"20","Russia","1V119 artillery fire direction vehicle",0,5,0,1,6,"2022-03-29"
"21","Russia","1V13 battery fire control center",3,2,0,1,6,"2022-03-29"
"22","Russia","1V14 battery command and forward observer vehicle",1,1,0,0,2,"2022-03-29"
"23","Russia","220mm BM-27 'Uragan'",0,3,0,4,7,"2022-03-29"
"24","Russia","220mm TOS-1A",1,1,0,0,2,"2022-03-29"
"25","Russia","23mm ZU-23",0,3,0,0,3,"2022-03-29"
"26","Russia","2K22M1 Tunguska",5,0,1,2,8,"2022-03-29"
"27","Russia","2S1 with ZU-23 AA gun",0,1,0,0,1,"2022-03-29"
"28","Russia","9A310M1 TELAR (for Buk-M1-2)",0,0,1,2,3,"2022-03-29"
"29","Russia","9A310M2 TELAR (for Buk-M2)",0,0,0,5,5,"2022-03-29"
"30","Russia","9A330 Tor TLAR (for 9K330 Tor-M)",2,2,1,0,5,"2022-03-29"
"31","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,1,0,4,6,"2022-03-29"
"32","Russia","9A331M TLAR (for 9K332 Tor-M2)",0,2,0,1,3,"2022-03-29"
"33","Russia","9A39M1 TEL (for Buk-M1-2)",0,0,0,2,2,"2022-03-29"
"34","Russia","9A39M2 TEL (for Buk-M2)",0,0,0,2,2,"2022-03-29"
"35","Russia","9K33 Osa",2,2,1,2,7,"2022-03-29"
"36","Russia","9K333 Verba",0,1,0,0,1,"2022-03-29"
"37","Russia","9K35 Strela-10",3,3,0,0,6,"2022-03-29"
"38","Russia","9K38 Igla",0,4,0,0,4,"2022-03-29"
"39","Russia","9M111 Fagot",0,3,0,0,3,"2022-03-29"
"40","Russia","9M113 Konkurs",0,14,0,0,14,"2022-03-29"
"41","Russia","9M113M Konkurs-M",0,1,0,0,1,"2022-03-29"
"42","Russia","9M114 Kokon",2,0,0,0,2,"2022-03-29"
"43","Russia","9P149 Shturm-S ATGM carrier",3,2,0,3,8,"2022-03-29"
"44","Russia","9S18М1(-3) (for Buk-M3)",0,0,0,1,1,"2022-03-29"
"45","Russia","9S470M1 (or variant thereof) command post (for Buk-M1/2)",0,0,0,1,1,"2022-03-29"
"46","Russia","9T217 transloader (for 9K33 Osa)",0,1,0,1,2,"2022-03-29"
"47","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,0,2,2,"2022-03-29"
"48","Russia","9М131 Metis-M",0,2,0,0,2,"2022-03-29"
"49","Russia","9М131F Metis-M1",0,1,0,0,1,"2022-03-29"
"50","Russia","9М133 Kornet",0,1,0,0,1,"2022-03-29"
"51","Russia","An-26 transport aircraft",0,0,0,1,1,"2022-03-29"
"52","Russia","Armoured SUV",0,1,1,0,2,"2022-03-29"
"53","Russia","Barnaul-T 9С932-1 automated system for air defence units",1,3,0,0,4,"2022-03-29"
"54","Russia","BAT-2 heavy engineering vehicle",0,0,0,1,1,"2022-03-29"
"55","Russia","BMD-1KSh-A command vehicle",0,0,0,1,1,"2022-03-29"
"56","Russia","BMD-4M",1,10,0,9,20,"2022-03-29"
"57","Russia","BMK-130M/BMK-150 towing and motor boat",1,0,0,0,1,"2022-03-29"
"58","Russia","BMP-1(P)",0,11,1,11,23,"2022-03-29"
"59","Russia","BMP-1Khs",1,1,0,1,3,"2022-03-29"
"60","Russia","BMP-2",14,32,7,65,118,"2022-03-29"
"61","Russia","BMP-2K",1,0,0,0,1,"2022-03-29"
"62","Russia","BMP-3",1,16,1,25,43,"2022-03-29"
"63","Russia","BRDM-2",0,0,0,1,1,"2022-03-29"
"64","Russia","BREM-1 armoured recovery vehicle",0,2,0,0,2,"2022-03-29"
"65","Russia","BREM-Ch ''BREM-4'' armoured recovery vehicle",0,1,0,1,2,"2022-03-29"
"66","Russia","BREM-K armoured recovery vehicle",0,2,0,0,2,"2022-03-29"
"67","Russia","BRM-1K",0,0,0,7,7,"2022-03-29"
"68","Russia","BTR-70",0,0,0,1,1,"2022-03-29"
"69","Russia","BTR-80",6,26,1,19,52,"2022-03-29"
"70","Russia","BTR-82A",8,18,3,32,61,"2022-03-29"
"71","Russia","BTR-D",11,14,0,6,31,"2022-03-29"
"72","Russia","BTR-D APC with UR-67 mine clearing charge",0,1,0,0,1,"2022-03-29"
"73","Russia","BTR-MDM 'Rakushka'",0,5,1,0,6,"2022-03-29"
"74","Russia","BTR-ZD 'Skrezhet'",0,1,0,0,1,"2022-03-29"
"75","Russia","Civilian KamAZ 6x6 converted for military use",0,0,0,1,1,"2022-03-29"
"76","Russia","E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",0,1,0,0,1,"2022-03-29"
"77","Russia","Eleron-3 reconnaissance UAV",0,4,0,0,4,"2022-03-29"
"78","Russia","Fara ground surveillance radar",0,1,0,0,1,"2022-03-29"
"79","Russia","Forpost reconnaissance UAV",0,0,0,1,1,"2022-03-29"
"80","Russia","Fuel train",0,0,0,2,2,"2022-03-29"
"81","Russia","GAZ Sobol",1,0,0,1,2,"2022-03-29"
"82","Russia","GAZ Tigr",1,0,0,0,1,"2022-03-29"
"83","Russia","GAZ Tigr-M",3,18,4,24,49,"2022-03-29"
"84","Russia","GAZ-3308",3,0,0,0,3,"2022-03-29"
"85","Russia","GAZ-66",1,4,0,3,8,"2022-03-29"
"86","Russia","GMZ-3 minelayer",0,1,0,0,1,"2022-03-29"
"87","Russia","IMR-2 combat engineering vehicle",2,3,0,1,6,"2022-03-29"
"88","Russia","Iveco LMV 'Rys'",1,2,2,15,20,"2022-03-29"
"89","Russia","K-53949 'Linza'",0,1,0,0,1,"2022-03-29"
"90","Russia","K-53949 Typhoon-K",1,2,0,1,4,"2022-03-29"
"91","Russia","Ka-52 'Alligator' attack helicopter",2,0,3,4,9,"2022-03-29"
"92","Russia","KamAZ 4x4",1,2,0,2,5,"2022-03-29"
"93","Russia","KamAZ 6x6",20,77,14,97,208,"2022-03-29"
"94","Russia","KamAZ 8x8",0,0,0,3,3,"2022-03-29"
"95","Russia","KamAZ Avtozaks",1,1,0,3,5,"2022-03-29"
"96","Russia","KamAZ with armoured cabin",2,2,0,1,5,"2022-03-29"
