"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",139,72,103,7,321,2022-02-28
"2","Russia","Tanks",13,16,11,1,41,2022-02-28
"3","Russia","Armoured Fighting Vehicles",15,6,10,0,31,2022-02-28
"4","Russia","Infantry Fighting Vehicles",13,20,10,0,43,2022-02-28
"5","Russia","Armoured Personnel Carriers",5,5,4,0,14,2022-02-28
"6","Russia","Mine-Resistant Ambush Protected",1,0,2,0,3,2022-02-28
"7","Russia","Infantry Mobility Vehicles",11,1,7,1,20,2022-02-28
"8","Russia","Communications Vehicles",0,1,1,0,2,2022-02-28
"9","Russia","Engineering Vehicles",6,1,9,0,16,2022-02-28
"10","Russia","Anti-tank Guided Missiles",0,0,5,0,5,2022-02-28
"11","Russia","Man-Portable Air Defence Systems
",0,0,1,0,1,2022-02-28
"12","Russia","Heavy Mortars",0,0,2,0,2,2022-02-28
"13","Russia","Towed Artillery",2,0,2,0,4,2022-02-28
"14","Russia","Self-propelled artillery",1,3,1,0,5,2022-02-28
"15","Russia","Multiple Rocket Launchers",3,0,5,0,8,2022-02-28
"16","Russia","Self-propelled Anti-Aircraft Guns",0,2,0,0,2,2022-02-28
"17","Russia","Surface-To-Air Missile Systems",6,4,2,1,13,2022-02-28
"18","Russia","Jammers And Deception Systems",0,0,0,1,1,2022-02-28
"19","Russia","
",0,0,0,0,0,2022-02-28
"20","Russia","Aircraft",3,0,0,0,3,2022-02-28
"21","Russia","Helicopters",3,0,0,1,4,2022-02-28
"22","Russia","Trucks, Vehicles and Jeeps",54,18,34,2,108,2022-02-28
"23","Ukraine","All Types",53,38,52,4,147,2022-02-28
"24","Ukraine","Tanks",5,9,1,0,15,2022-02-28
"25","Ukraine","Armoured Fighting Vehicles",5,11,5,0,21,2022-02-28
"26","Ukraine","Infantry Fighting Vehicles",0,6,3,0,9,2022-02-28
"27","Ukraine","Armoured Personnel Carriers",1,2,6,0,9,2022-02-28
"28","Ukraine","Infantry Mobility Vehicles",2,0,4,0,6,2022-02-28
"29","Ukraine","Anti-tank Guided Missiles",0,0,12,0,12,2022-02-28
"30","Ukraine","Man-Portable Air Defence Systems
",0,0,7,0,7,2022-02-28
"31","Ukraine","Towed Artillery",0,2,0,0,2,2022-02-28
"32","Ukraine","Self-Propelled Artillery",2,1,2,0,5,2022-02-28
"33","Ukraine","Surface-To-Air Missile Systems
",6,0,0,0,6,2022-02-28
"34","Ukraine","Radars",3,0,0,2,5,2022-02-28
"35","Ukraine","Aircraft",5,0,0,0,5,2022-02-28
"36","Ukraine","Trucks, Vehicles and Jeeps",15,5,13,2,35,2022-02-28
