"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",1653,253,1169,51,3126,1,"2022-04-23"
"2","Russia","Tanks",272,47,212,12,543,2,"2022-04-23"
"3","Russia","Armoured Fighting Vehicles",149,34,132,0,315,3,"2022-04-23"
"4","Russia","Infantry Fighting Vehicles",340,39,192,5,576,4,"2022-04-23"
"5","Russia","Armoured Personnel Carriers",34,14,52,2,102,5,"2022-04-23"
"6","Russia","Mine-Resistant Ambush Protected",13,3,8,1,25,6,"2022-04-23"
"7","Russia","Infantry Mobility Vehicles",61,5,31,2,99,7,"2022-04-23"
"8","Russia","Command Posts And Communications Stations",31,8,26,0,65,8,"2022-04-23"
"9","Russia","Engineering Vehicles And Equipment",34,15,65,0,114,9,"2022-04-23"
"10","Russia","Heavy Mortars",4,0,8,0,12,10,"2022-04-23"
"11","Russia","Towed Artillery",10,5,38,4,57,11,"2022-04-23"
"12","Russia","Self-Propelled Artillery",42,15,40,2,99,12,"2022-04-23"
"13","Russia","Multiple Rocket Launchers",26,5,27,0,58,13,"2022-04-23"
"14","Russia","Anti-Aircraft Guns",0,0,4,0,4,14,"2022-04-23"
"15","Russia","Self-Propelled Anti-Aircraft Guns",5,2,7,0,14,15,"2022-04-23"
"16","Russia","Surface-To-Air Missile Systems",26,7,19,1,53,16,"2022-04-23"
"17","Russia","Radars",4,0,6,0,10,17,"2022-04-23"
"18","Russia","Jammers And Deception Systems",3,0,2,2,7,18,"2022-04-23"
"19","Russia","Aircraft",23,0,0,1,24,19,"2022-04-23"
"20","Russia","Helicopters",33,1,1,1,36,20,"2022-04-23"
"21","Russia","Unmanned Aerial Vehicles",28,0,17,0,45,21,"2022-04-23"
"22","Russia","Naval Ships",2,0,0,2,4,22,"2022-04-23"
"23","Russia","Logistics Trains",2,0,0,0,2,23,"2022-04-23"
"24","Russia","Trucks, Vehicles and Jeeps",527,63,249,18,857,24,"2022-04-23"
"25","Ukraine","All Types",403,35,419,22,879,1,"2022-04-23"
"26","Ukraine","Tanks",53,8,72,1,134,2,"2022-04-23"
"27","Ukraine","Armoured Fighting Vehicles",29,4,47,0,80,3,"2022-04-23"
"28","Ukraine","Infantry Fighting Vehicles",46,9,35,3,93,4,"2022-04-23"
"29","Ukraine","Armoured Personnel Carriers",12,3,37,1,53,5,"2022-04-23"
"30","Ukraine","Infantry Mobility Vehicles",23,1,46,1,71,6,"2022-04-23"
"31","Ukraine","Engineering Vehicles",2,0,10,0,12,7,"2022-04-23"
"32","Ukraine","Towed Artillery",8,3,12,3,26,8,"2022-04-23"
"33","Ukraine","Self-Propelled Artillery",10,1,10,4,25,9,"2022-04-23"
"34","Ukraine","Multiple Rocket Launchers",10,0,5,0,15,10,"2022-04-23"
"35","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,11,"2022-04-23"
"36","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,2,0,2,12,"2022-04-23"
"37","Ukraine","Surface-To-Air Missile Systems
",36,1,6,0,43,13,"2022-04-23"
"38","Ukraine","Radars And Communications Equipment",9,1,5,3,18,14,"2022-04-23"
"39","Ukraine","Aircraft",18,0,0,1,19,15,"2022-04-23"
"40","Ukraine","Helicopters",4,0,1,0,5,16,"2022-04-23"
"41","Ukraine","Unmanned Aerial Vehicles",12,0,2,0,14,17,"2022-04-23"
"42","Ukraine","Naval Ships",4,0,13,0,17,18,"2022-04-23"
"43","Ukraine","Trucks, Vehicles and Jeeps",113,5,126,5,249,19,"2022-04-23"
