"","system","class"
"1","An-26 transport aircraft","Aircraft"
"5","Il-76 transport aircraft","Aircraft"
"6","MiG-29 fighter aircraft","Aircraft"
"7","MiG-31BM fighter aircraft","Aircraft"
"8","Su-24M strike aircraft","Aircraft"
"9","Su-24M/MR strike/tactical reconnaissance aircraft","Aircraft"
"10","Su-24MR tactical reconnaissance aircraft","Aircraft"
"11","Su-25 close air support aircraft","Aircraft"
"15","Su-27 fighter aircraft","Aircraft"
"16","Su-30SM multirole aircraft","Aircraft"
"17","Su-34 strike aircraft","Aircraft"
"18","Su-34M strike aircraft","Aircraft"
"19","Su-35S multirole aircraft","Aircraft"
"20","Tu-22M3 strategic bomber","Aircraft"
"21","Tu-95MS strategic bomber","Aircraft"
"22","Unknown fighter/strike aircraft","Aircraft"
"23","Unknown Su-30/Su-34/Su-35","Aircraft"
"24","Il-22 airborne command post","Aircraft"
"25","Su-27 multirole aircraft","Aircraft"
"26","23mm 23 ItK 61","Anti-Aircraft Guns"
"27","23mm ZU-23","Anti-Aircraft Guns"
"28","23mm ZU-23-2","Anti-Aircraft Guns"
"29","2S1 with ZU-23 AA gun","Armoured Fighting Vehicles"
"30","BMM-4C Ambulance","Armoured Fighting Vehicles"
"31","BMM-70 Ambulance","Armoured Fighting Vehicles"
"32","BRDM-2","Armoured Fighting Vehicles"
"36","BRDM-2-based ZS-82 PsyOps vehicle","Armoured Fighting Vehicles"
"37","BRDM-2L1","Armoured Fighting Vehicles"
"38","BRDM-2RKhb chemical reconnaissance vehicle","Armoured Fighting Vehicles"
"42","BRM-1K reconnaissance vehicle","Armoured Fighting Vehicles"
"44","BTR-80-based ZS-88 PsyOps vehicle","Armoured Fighting Vehicles"
"45","BTR-D","Armoured Fighting Vehicles"
"47","BTS-4 ARV with ZU-23 AA gun","Armoured Fighting Vehicles"
"48","GAZ-3344-20 'Aleut' articulated tracked carrier","Armoured Fighting Vehicles"
"49","MT-LB","Armoured Fighting Vehicles"
"53","MT-LB with ZU-23 AA gun","Armoured Fighting Vehicles"
"57","MT-LB-S Ambulance","Armoured Fighting Vehicles"
"58","MT-LBu","Armoured Fighting Vehicles"
"62","MT-LBVM and MT-LBVMK","Armoured Fighting Vehicles"
"63","MT-T multi-purpose tracked transporter","Armoured Fighting Vehicles"
"64","Unknown AFV","Armoured Fighting Vehicles"
"68","Unknown BTR-D/BMD-2","Armoured Fighting Vehicles"
"69","Vepr","Armoured Fighting Vehicles"
"70","Vityaz DT-10PM articulated tracked carrier","Armoured Fighting Vehicles"
"71","Vityaz DT-30 articulated tracked carrier","Armoured Fighting Vehicles"
"72","BMM-80 ambulance","Armoured Fighting Vehicles"
"73","BMPT Terminator","Armoured Fighting Vehicles"
"74","BRM-1(K) reconnaissance vehicle","Armoured Fighting Vehicles"
"75","BRM-1K Obr. 2021","Armoured Fighting Vehicles"
"76","MT-LB with 14.5mm 2M-7 naval gun mount","Armoured Fighting Vehicles"
"77","MT-LB with BPU-1 turret","Armoured Fighting Vehicles"
"78","BTR-60PB","Armoured Personnel Carriers"
"82","BTR-7","Armoured Personnel Carriers"
"83","BTR-70","Armoured Personnel Carriers"
"87","BTR-70M","Armoured Personnel Carriers"
"91","BTR-80","Armoured Personnel Carriers"
"95","BTR-80M","Armoured Personnel Carriers"
"96","BTR-D","Armoured Personnel Carriers"
"98","BTR-MDM 'Rakushka'","Armoured Personnel Carriers"
"99","GT-MU AFV converted to APC","Armoured Personnel Carriers"
"100","M113","Armoured Personnel Carriers"
"101","Remdiesel Z-STS Akhmat","Armoured Personnel Carriers"
"102","Sisu XA-185","Armoured Personnel Carriers"
"103","Unknown BTR","Armoured Personnel Carriers"
"104","Unknown BTR-80/BTR-82A","Armoured Personnel Carriers"
"105","Ural-4320VV","Armoured Personnel Carriers"
"106","YPR-765","Armoured Personnel Carriers"
"107","BTR-MDM Rakushka","Armoured Personnel Carriers"
"108","FV103 Spartan","Armoured Personnel Carriers"
"109","M113AS4","Armoured Personnel Carriers"
"110","M113G3DK/G4DK","Armoured Personnel Carriers"
"111","Mara-2M","Armoured Personnel Carriers"
"112","VAB","Armoured Personnel Carriers"
"113","152mm D-20 gun-howitzer","Artillery Support Vehicles And Equipment"
"115","1V1003 command and observation vehicle (for 1V198 artillery fire control system)","Artillery Support Vehicles And Equipment"
"116","1V110 BM-21 Grad battery command vehicle","Artillery Support Vehicles And Equipment"
"117","1V13 battery command and forward observer vehicle","Artillery Support Vehicles And Equipment"
"118","1V13(M) battery fire control center","Artillery Support Vehicles And Equipment"
"119","1V14 battery command and forward observer vehicle","Artillery Support Vehicles And Equipment"
"123","1V15 battery command and forward observer vehicle","Artillery Support Vehicles And Equipment"
"124","1V15M fire control and observation vehicle","Artillery Support Vehicles And Equipment"
"125","1V16 battalion fire direction vehicle","Artillery Support Vehicles And Equipment"
"126","1V16M artillery battalion command and staff vehicle","Artillery Support Vehicles And Equipment"
"127","1V18 'Klyon-1' artillery command and forward observer vehicle","Artillery Support Vehicles And Equipment"
"131","2F77M transloading vehicle for 2K22M Tunguska-M","Artillery Support Vehicles And Equipment"
"132","9T452 transporter-loader (for BM-27 'Uragan' MRL)","Artillery Support Vehicles And Equipment"
"136","PRP-4A Argus artillery reconnaissance vehicle","Artillery Support Vehicles And Equipment"
"137","TZM-T reloader vehicle (for TOS-1A)","Artillery Support Vehicles And Equipment"
"138","V119 artillery fire direction vehicle","Artillery Support Vehicles And Equipment"
"139","1V119 artillery fire direction vehicle","Artillery Support Vehicles And Equipment"
"140","PRP-4(M) artillery reconnaissance vehicle","Artillery Support Vehicles And Equipment"
"141","TZM 9T234-2 transporter-loader (for BM-30 Smerch)","Artillery Support Vehicles And Equipment"
"142","9S470M1 (or variant thereof) command post (for Buk-M1/2)","Command Posts And Communications Stations"
"143","9S470M1 command vehicle for Buk-M1","Command Posts And Communications Stations"
"144","9S932-2 intelligence, control and command vehicle (for Barnaul-T)","Command Posts And Communications Stations"
"145","APE-5 command post","Command Posts And Communications Stations"
"146","Auriga-1.2V portable satellite communications station","Command Posts And Communications Stations"
"147","Barnaul-T 9 C932-1 automated system for air defence units","Command Posts And Communications Stations"
"148","BMD-1KSh-A command vehicle","Command Posts And Communications Stations"
"149","BMP-1KSh command and staff vehicle","Command Posts And Communications Stations"
"153","BTR-60PU-12 air defence command vehicle","Command Posts And Communications Stations"
"154","BTR-60PU-12M air defence command vehicle","Command Posts And Communications Stations"
"155","Command vehicle for Podlet-K1 low-altitude S-band surveillance radar","Command Posts And Communications Stations"
"156","K1Sh1 command and staff vehicle","Command Posts And Communications Stations"
"157","MP-1IM signals vehicle","Command Posts And Communications Stations"
"158","MP-2IM signals vehicle","Command Posts And Communications Stations"
"159","Orlan-10 UAV control station","Command Posts And Communications Stations"
"160","P-230T command vehicle","Command Posts And Communications Stations"
"161","P-240 digital communications vehicle","Command Posts And Communications Stations"
"162","P-260 Redut-2US communication system","Command Posts And Communications Stations"
"163","P-260-U signals vehicle (for Redut-2US signal and communications system)","Command Posts And Communications Stations"
"164","R-145BM command vehicle","Command Posts And Communications Stations"
"168","R-145BM1 command vehicle","Command Posts And Communications Stations"
"169","R-145BMA command vehicle","Command Posts And Communications Stations"
"170","R-149AKSh-1 command and signals vehicle","Command Posts And Communications Stations"
"171","R-149MA1 command and staff vehicle","Command Posts And Communications Stations"
"172","R-149MA3 command and staff vehicle","Command Posts And Communications Stations"
"173","R-166-0.5 signals vehicle","Command Posts And Communications Stations"
"174","R-381T2M 1.5-3000 MHz radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex","Command Posts And Communications Stations"
"175","R-405M radio station vehicle","Command Posts And Communications Stations"
"176","R-409A radio station vehicle","Command Posts And Communications Stations"
"177","R-419L1 communications station","Command Posts And Communications Stations"
"178","R-431AM antenna module for the Redut-2US communications system","Command Posts And Communications Stations"
"179","R-439-MD2 SatCom Station","Command Posts And Communications Stations"
"180","R-441 SatCom station","Command Posts And Communications Stations"
"181","Radio relay station for the TB2 UCAV","Command Posts And Communications Stations"
"182","Unknown communications station","Command Posts And Communications Stations"
"183","Unknown communications station based on the KamAZ 6x6","Command Posts And Communications Stations"
"184","BTR-60PU-12command vehicle","Command Posts And Communications Stations"
"185","BTR-70DI-02 'Svityaz' command and staff vehicle","Command Posts And Communications Stations"
"186","MPUS-K mobile command post","Command Posts And Communications Stations"
"187","R-142N command and staff vehicle","Command Posts And Communications Stations"
"188","R-381T2M radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex","Command Posts And Communications Stations"
"189","APA-80 engine starting vehicle","Engineering Vehicles And Equipment"
"190","ARS-14 decontamination and degassing vehicle","Engineering Vehicles And Equipment"
"192","BAT-2 heavy engineering vehicle","Engineering Vehicles And Equipment"
"196","BMK-130M/BMK-150 towing and motor boat","Engineering Vehicles And Equipment"
"197","BMK-460 towing and motor boat","Engineering Vehicles And Equipment"
"199","BMK-MO towing and motor boat","Engineering Vehicles And Equipment"
"200","BMK-MT towing and motor boat","Engineering Vehicles And Equipment"
"201","BREM-1 armoured recovery vehicle","Engineering Vehicles And Equipment"
"205","BREM-2 armoured recovery vehicle","Engineering Vehicles And Equipment"
"206","BREM-Ch ''BREM-4'' armoured recovery vehicle","Engineering Vehicles And Equipment"
"210","BREM-D armoured recovery vehicle","Engineering Vehicles And Equipment"
"211","BREM-K armoured recovery vehicle","Engineering Vehicles And Equipment"
"212","BTS-4 armoured recovery vehicle","Engineering Vehicles And Equipment"
"213","BTS-4A armoured recovery vehicle","Engineering Vehicles And Equipment"
"214","ED2x30-T400-3RA mobile generator","Engineering Vehicles And Equipment"
"215","GMZ-3 minelayer","Engineering Vehicles And Equipment"
"219","IMR-2 combat engineering vehicle","Engineering Vehicles And Equipment"
"220","IMR-2(M) combat engineering vehicle","Engineering Vehicles And Equipment"
"221","IMR-3M combat engineering vehicle","Engineering Vehicles And Equipment"
"222","IRM 'Zhuk' Engineer Reconnaissance Vehicle","Engineering Vehicles And Equipment"
"223","KamAZ KMV-10V boom crane truck","Engineering Vehicles And Equipment"
"224","KamAZ-5350 with EOV-3523 excavator","Engineering Vehicles And Equipment"
"225","KamAZ-5350 with KS-45719-7M crane","Engineering Vehicles And Equipment"
"226","KamAZ-63501 with KS-55729-7M 32-ton crane","Engineering Vehicles And Equipment"
"227","KrAZ-255B","Engineering Vehicles And Equipment"
"229","KrAZ-255B pontoon bridge layer","Engineering Vehicles And Equipment"
"230","KrAZ-255B with excavator","Engineering Vehicles And Equipment"
"234","KrAZ-260","Engineering Vehicles And Equipment"
"235","KrAZ-260 pontoon bridge layer","Engineering Vehicles And Equipment"
"236","MDK-3 trench-digging vehicle","Engineering Vehicles And Equipment"
"240","Mobile generator for Podlet-K1 low-altitude S-band surveillance radar","Engineering Vehicles And Equipment"
"241","MTO-AG-3M","Engineering Vehicles And Equipment"
"242","MTO-AT mobile workshop","Engineering Vehicles And Equipment"
"246","MTO-UB1 maintenance vehicle","Engineering Vehicles And Equipment"
"247","MTP-A2 recovery vehicle","Engineering Vehicles And Equipment"
"248","MTP-A2.1 recovery vehicle","Engineering Vehicles And Equipment"
"249","MTU-72 bridge layer","Engineering Vehicles And Equipment"
"250","PMP floating bridge","Engineering Vehicles And Equipment"
"254","Pontoon bridge","Engineering Vehicles And Equipment"
"258","PP-2005 floating bridge","Engineering Vehicles And Equipment"
"259","PTS-2 tracked amphibious transport","Engineering Vehicles And Equipment"
"263","PZM-2 trench-digging vehicle","Engineering Vehicles And Equipment"
"265","REM-KL recovery vehicle","Engineering Vehicles And Equipment"
"266","RKhM 'Kashalot'","Engineering Vehicles And Equipment"
"267","RKhM-6 CBRN reconnaissance vehicle","Engineering Vehicles And Equipment"
"268","RKhM-6 Povozka","Engineering Vehicles And Equipment"
"269","T-64 mine clearing roller tank","Engineering Vehicles And Equipment"
"270","TMM-3 bridge layer","Engineering Vehicles And Equipment"
"271","TMM-3M1 bridge layer","Engineering Vehicles And Equipment"
"272","UMP-350 engine heater","Engineering Vehicles And Equipment"
"273","UR-67 mine clearing charge on BTR-D APC","Engineering Vehicles And Equipment"
"274","UR-77 'Meteorit' mine clearing vehicle","Engineering Vehicles And Equipment"
"275","Ural-4320 KET-L recovery vehicle","Engineering Vehicles And Equipment"
"279","Ural-4320 KT-L recovery vehicle","Engineering Vehicles And Equipment"
"281","Ural-4320 with excavator","Engineering Vehicles And Equipment"
"282","Ural-4320 with KS-3574M3 or KS-3574M crane","Engineering Vehicles And Equipment"
"283","Uran-6 mine-clearing robotic system","Engineering Vehicles And Equipment"
"284","IRM 'Zhuk' engineer reconnaissance vehicle","Engineering Vehicles And Equipment"
"285","ISDM Zemledeliye remote mine-laying system","Engineering Vehicles And Equipment"
"286","KrAZ-6322 Master mobile workshop","Engineering Vehicles And Equipment"
"287","MZA-M.1 battery charge and repair workshop","Engineering Vehicles And Equipment"
"288","RKhM-6 Povozka CBRN reconnaissance vehicle","Engineering Vehicles And Equipment"
"289","TDA-3 mobile smoke generator","Engineering Vehicles And Equipment"
"292","Ka-52 'Alligator' attack helicopter","Helicopters"
"293","Mi-14 maritime helicopter","Helicopters"
"294","Mi-2 training helicopter","Helicopters"
"295","Mi-24 attack helicopter","Helicopters"
"296","Mi-24P attack helicopter","Helicopters"
"300","Mi-24P/35M attack helicopter","Helicopters"
"301","Mi-24V/P attack helicopter","Helicopters"
"302","Mi-28 attack helicopter","Helicopters"
"303","Mi-35M attack helicopter","Helicopters"
"304","Mi-8 transport helicopter","Helicopters"
"308","Unknown helicopter","Helicopters"
"309","Airbus H225 transport helicopter","Helicopters"
"310","Mi-24V/P/35M attack helicopter","Helicopters"
"311","BMD-4M","Infantry Fighting Vehicles"
"312","BMO-T","Infantry Fighting Vehicles"
"313","BMP-1(P)","Infantry Fighting Vehicles"
"317","BMP-1AM","Infantry Fighting Vehicles"
"318","BMP-1TS","Infantry Fighting Vehicles"
"319","BMP-1U 'Shkval'","Infantry Fighting Vehicles"
"320","BMP-2 675-sb3KDZ","Infantry Fighting Vehicles"
"321","BMP-2(K)","Infantry Fighting Vehicles"
"325","BMP-2M","Infantry Fighting Vehicles"
"326","BMP-3","Infantry Fighting Vehicles"
"327","BTR-3","Infantry Fighting Vehicles"
"328","BTR-4","Infantry Fighting Vehicles"
"329","BTR-82A(M)","Infantry Fighting Vehicles"
"330","BTR-ZD:","Infantry Fighting Vehicles"
"331","BVP M-80A","Infantry Fighting Vehicles"
"333","MT-LBM 6MB","Infantry Fighting Vehicles"
"334","Pbv 501A","Infantry Fighting Vehicles"
"335","Unknown BMP-1/2","Infantry Fighting Vehicles"
"339","BMP-2M Berezhok","Infantry Fighting Vehicles"
"340","BMP-3 688M sb. 3KDZ","Infantry Fighting Vehicles"
"341","PRP-3 with a BMD-2 turret","Infantry Fighting Vehicles"
"342","AMN-590951","Infantry Mobility Vehicles"
"343","AT105A Saxon","Infantry Mobility Vehicles"
"344","GAZ Tigr","Infantry Mobility Vehicles"
"345","GAZ Tigr-M","Infantry Mobility Vehicles"
"346","HMMWV Ambulance","Infantry Mobility Vehicles"
"347","Husky Tactical Support Vehicle","Infantry Mobility Vehicles"
"348","Iveco LMV","Infantry Mobility Vehicles"
"349","Iveco LMV Rys","Infantry Mobility Vehicles"
"350","Kozak-2","Infantry Mobility Vehicles"
"351","Kozak-2M1","Infantry Mobility Vehicles"
"352","Kozak-5","Infantry Mobility Vehicles"
"353","KrAZ Cobra","Infantry Mobility Vehicles"
"354","KrAZ Cougar","Infantry Mobility Vehicles"
"355","KrAZ Spartan","Infantry Mobility Vehicles"
