"","system","country","origin","status","url","sysID","imageID","statusID","matID","Date","class"
"1","NA","Ukraine","Australia","destroyed","https://i.postimg.cc/3NDHL10C/3328.png",252,4119,1,"380-25241191","05/28/2022",NA
"2","NA","Russia","Soviet Union","destroyed","https://i.postimg.cc/0NDDS05c/1043-R-142-NSA.jpg",66,2417,1,"7-6624171","07/27/2022",NA
"3","NA","Ukraine","Australia","destroyed","https://i.postimg.cc/FHCTpggb/2000-bushmaster.jpg",61,5110,1,"380-6151101","08/18/2022",NA
"4","NA","Ukraine","Australia","damaged","https://i.postimg.cc/x8krj1Zk/2000-bushmaster.jpg",61,5125,2,"380-6151252","08/19/2022",NA
"5","'Orlan-20' ''Kartograf'' reconnaissance UAV","Russia","Russia","destroyed","https://i.postimg.cc/nrJ7kC7g/51.png",172,2830,1,"7-17228301","06/13/2022",NA
"6","'Orlan-20' reconnaissance UAV","Russia","Russia","destroyed","https://i.postimg.cc/wjfQ6sKd/7j.jpg",164,2322,1,"7-16423221","05/05/2022",NA
"7","'Orlan-20' reconnaissance UAV","Russia","Russia","captured","https://i.postimg.cc/hPPz5cxF/877.jpg",170,2584,3,"7-17025843","05/22/2022",NA
"8","'Orlan-20' reconnaissance UAV","Russia","Russia","destroyed","https://i.postimg.cc/tgwcwDnq/544.png",170,2747,1,"7-17027471","06/02/2022",NA
"9","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1521566968943370240",207,2951,1,"7-20729511","05/04/2022","Unknown"
"10","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1522658651516850176",209,2998,1,"7-20929981","05/06/2022","Unknown"
"11","(Unknown) truck","Russia","Russia","destroyed","https://i.postimg.cc/RCKLgpzq/d7.png",213,3088,1,"7-21330881","05/09/2022","Unknown"
"12","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1523774073813168129",213,674,1,"7-2136741","05/11/2022","Unknown"
"13","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1524477975361732608",213,2212,1,"7-21322121","05/11/2022","Unknown"
"14","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1524786224266887168",214,3158,1,"7-21431581","05/13/2022","Unknown"
"15","(Unknown) truck","Russia","Russia","damaged","https://twitter.com/UAWeapons/status/1524489058235387912",214,3161,2,"7-21431612","05/13/2022","Unknown"
"16","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1528326529700200448",215,641,1,"7-2156411","05/22/2022","Unknown"
"17","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1527624405009977344",215,705,1,"7-2157051","05/22/2022","Unknown"
"18","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1527607537041801216",215,3005,1,"7-21530051","05/22/2022","Unknown"
"19","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1528848194179833857",216,3458,1,"7-21634581","05/24/2022","Unknown"
"20","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1528845503433252866",216,3285,1,"7-21632851","05/24/2022","Unknown"
"21","(Unknown) truck","Russia","Russia","abandoned","https://i.postimg.cc/prhtMJt6/gg4.jpg",216,3552,4,"7-21635524","05/26/2022","Unknown"
"22","(Unknown) truck","Russia","Russia","destroyed","https://i.postimg.cc/13KYvW8K/gg5.jpg",216,3555,1,"7-21635551","05/27/2022","Unknown"
"23","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1530525109781422082",216,3568,1,"7-21635681","05/28/2022","Unknown"
"24","(Unknown) truck","Russia","Russia","destroyed","https://twitter.com/UAWeapons/status/1531310897590829059",213,3578,1,"7-21335781","05/30/2022","Unknown"
